strategy,symbol,name,industry,entry_date,exit_date,shares,entry_price,exit_price,gross_pnl,cost,net_pnl,gross_return,net_return,exit_reason
baseline_full_liquidity_detail_vol_position,300364,中文在线,出版业,2024-11-27,2024-12-11,2700,28.0,30.68,7235.999999999999,118.827,7117.172999999999,0.0957142857142857,0.09414249999999999,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300377,赢时胜,软件服务,2024-12-03,2024-12-17,2200,36.0,31.6,-9679.999999999996,111.53999999999999,-9791.539999999997,-0.12222222222222218,-0.12363055555555552,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600843,上工申贝,纺织机械,2024-12-04,2024-12-18,2700,16.1,13.28,-7614.0000000000055,59.49450000000001,-7673.494500000005,-0.1751552795031057,-0.17652391304347836,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300607,拓斯达,专用机械,2024-12-06,2024-12-20,1300,33.5,29.57,-5109.0,61.493249999999996,-5170.49325,-0.1173134328358209,-0.11872544776119404,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002195,岩山科技,软件服务,2024-12-09,2024-12-23,18500,5.2,5.0,-3700.000000000003,141.525,-3841.5250000000033,-0.03846153846153849,-0.03993269230769234,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,688165,埃夫特-U,专用机械,2024-12-11,2024-12-25,2100,38.5,35.0,-7350.0,115.7625,-7465.7625,-0.09090909090909091,-0.09234090909090908,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002281,光迅科技,通信设备,2024-12-17,2024-12-31,1500,47.2646,55.8746,12915.0,116.03160000000001,12798.9684,0.18216593391248417,0.1805293094620498,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601919,中远海控,水运,2024-12-18,2025-01-02,2100,16.5497,17.2485,1467.4799999999968,53.232165,1414.247834999997,0.042224330350399006,0.04069266210263621,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,000938,紫光股份,IT设备,2024-12-20,2025-01-06,1400,27.2598,24.7224,-3552.3599999999974,54.581309999999995,-3606.9413099999974,-0.09308212092531853,-0.09451230933462454,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002371,北方华创,半导体,2024-12-23,2025-01-07,100,554.8408,511.5362,-4330.459999999994,79.97827500000001,-4410.438274999994,-0.07804869432817475,-0.07949015780742863,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601398,工商银行,银行,2024-11-19,2025-01-09,81,6.5549,7.0213,37.77840000000001,0.8247541500000001,36.953645850000015,0.0711528779996644,0.06959951334116465,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601398,工商银行,银行,2024-12-25,2025-01-09,15419,7.1807,7.0213,-2457.788599999996,164.23547850000003,-2622.0240784999964,-0.022198392914339792,-0.02368174411965404,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600584,长电科技,半导体,2024-12-31,2025-01-15,1900,43.1723,40.2191,-5611.0800000000045,118.832745,-5729.912745000004,-0.06840497263291515,-0.06985366890344046,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601988,中国银行,银行,2024-08-30,2025-01-16,186,5.2291,5.8255,110.9304,1.5421166999999998,109.38828330000001,0.11405404371689203,0.11246850318410435,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601988,中国银行,银行,2025-01-02,2025-01-16,6214,5.8681,5.8255,-264.7164000000012,54.4980228,-319.2144228000012,-0.007259589986537413,-0.00875414529404751,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601899,紫金矿业,铜,2025-01-06,2025-01-20,2100,16.0313,16.6141,1223.8799999999976,51.416505,1172.4634949999977,0.03635388271693492,0.03482661730489722,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,000333,美的集团,家用电器,2025-01-07,2025-01-21,600,79.1182,79.3925,164.579999999998,71.329815,93.250184999998,0.0034669646174963114,0.001964364394033189,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,688256,寒武纪-U,半导体,2025-01-09,2025-01-23,100,725.0,650.0,-7500.0,103.125,-7603.125,-0.10344827586206896,-0.10487068965517242,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002681,奋达科技,元器件,2025-01-15,2025-02-06,16000,7.31,7.2,-1759.999999999991,174.12,-1934.1199999999908,-0.015047879616962986,-0.016536593707250264,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300493,润欣科技,元器件,2025-01-16,2025-02-07,1000,34.6487,28.7604,-5888.299999999997,47.556824999999996,-5935.856824999997,-0.16994288386000045,-0.17131542669710545,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,603893,瑞芯微,半导体,2025-01-20,2025-02-11,200,143.5973,189.2635,9133.240000000002,49.92911999999999,9083.31088,0.3180157287079911,0.3162772169114601,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002400,省广集团,广告包装,2025-01-21,2025-02-12,6100,9.1857,9.5672,2327.149999999994,85.7945175,2241.355482499994,0.04153194639493985,0.04000079743514365,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300502,新易盛,通信设备,2025-01-23,2025-02-14,300,198.9023,156.7463,-12646.800000000001,80.02093500000001,-12726.820935000002,-0.21194325053053686,-0.21328429309263897,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300418,昆仑万维,互联网,2025-02-06,2025-02-20,2800,42.3,42.55,700.0,178.18499999999997,521.815,0.0059101654846335705,0.004405732860520095,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600580,卧龙电驱,电气设备,2025-02-07,2025-02-21,1000,28.8631,33.1076,4244.499999999998,46.478025,4198.021974999998,0.14705627600638874,0.14544598379938392,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600050,中国联通,电信运营,2025-02-11,2025-02-25,7100,5.5716,6.7375,8277.889999999998,65.5459575,8212.344042499997,0.20925766386675276,0.20760072061885268,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,688343,云天励飞-U,软件服务,2025-02-12,2025-02-26,800,68.14,79.0,8688.0,88.28399999999999,8599.716,0.1593777516877018,0.15775821837393603,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300251,光线传媒,影视音像,2025-02-14,2025-02-28,1500,32.8731,24.45,-12634.650000000003,64.48848749999999,-12699.138487500004,-0.256230778356772,-0.25753860527300443,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300718,长盛轴承,机械基件,2025-02-20,2025-03-06,1100,104.5441,107.8614,3649.0300000000034,175.23453750000002,3473.7954625000034,0.03173110677694871,0.030207308446865994,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600498,烽火通信,通信设备,2025-02-21,2025-03-07,1300,27.8278,26.1327,-2203.63,52.6114875,-2256.2414875,-0.060913906237647246,-0.062368220807969006,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002747,埃斯顿,机械基件,2025-02-25,2025-03-11,2100,23.8,24.58,1637.999999999995,76.1985,1561.801499999995,0.032773109243697376,0.031248529411764606,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300383,光环新网,软件服务,2025-02-26,2025-03-12,2700,22.7974,21.2408,-4202.819999999999,89.17735500000002,-4291.997354999999,-0.06827971610797721,-0.06972850632089622,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,688525,佰维存储,半导体,2025-02-28,2025-03-14,500,77.26,73.0,-2130.0000000000027,56.347500000000004,-2186.3475000000026,-0.05513849339891283,-0.056597139528863645,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300458,全志科技,半导体,2025-03-06,2025-03-20,1100,99.2953,92.1443,-7866.099999999996,157.93766999999997,-8024.037669999996,-0.07201750737446784,-0.07346349424393699,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,688521,芯原股份,半导体,2025-03-07,2025-03-21,400,94.86,96.79,772.0000000000027,57.495000000000005,714.5050000000027,0.0203457727176893,0.018830513388151032,rebalance_unlocked
