strategy,symbol,name,industry,recommendation_count,first_recommendation,last_recommendation,average_rank,completed_trade_count,cumulative_net_pnl,average_net_return,win_rate,best_trade_return,worst_trade_return,max_loss_amount,total_cost
tiered_liquidity_then_bs_v2,600900,长江电力,水力发电,3,2024-06-13,2025-04-08,3.6666666666666665,,,,,,,,
tiered_liquidity_then_bs_v2,600905,三峡能源,新型电力,4,2024-02-02,2026-03-25,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,600909,华安证券,证券,1,2023-08-04,2023-08-04,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,600919,江苏银行,银行,5,2024-01-15,2025-06-23,3.8,,,,,,,,
tiered_liquidity_then_bs_v2,600926,杭州银行,银行,4,2024-05-10,2025-06-20,3.75,,,,,,,,
tiered_liquidity_then_bs_v2,600930,华电新能,新型电力,1,2026-03-25,2026-03-25,1.0,1.0,-1612.0162500000004,-0.17009773662551445,0.0,-0.17009773662551445,-0.17009773662551445,-1612.0162500000004,13.016250000000001
tiered_liquidity_then_bs_v2,600938,中国海油,石油开采,12,2023-03-07,2026-02-24,2.75,4.0,-3388.9749900000165,0.005345648799709677,0.5,0.06837837592261231,-0.05749359830396635,-4770.782940000013,191.57499
tiered_liquidity_then_bs_v2,600941,中国移动,电信运营,11,2023-03-06,2025-04-18,3.3636363636363638,,,,,,,,
tiered_liquidity_then_bs_v2,600958,东方证券,证券,1,2023-04-11,2023-04-11,5.0,,,,,,,,
tiered_liquidity_then_bs_v2,600985,淮北矿业,煤炭开采,1,2024-02-07,2024-02-07,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,600986,浙文互联,互联网,2,2024-12-16,2025-02-07,4.0,1.0,-5266.189512500001,-0.19379265787406144,0.0,-0.19379265787406144,-0.19379265787406144,-5266.189512500001,36.839512500000005
tiered_liquidity_then_bs_v2,600988,赤峰黄金,黄金,10,2023-08-08,2025-04-14,2.1,1.0,250.13920000000147,0.016023963634313805,1.0,0.016023963634313805,0.016023963634313805,250.13920000000147,23.6208
tiered_liquidity_then_bs_v2,600989,宝丰能源,化工原料,2,2023-02-20,2026-01-28,4.0,,,,,,,,
tiered_liquidity_then_bs_v2,601001,晋控煤业,煤炭开采,2,2023-09-14,2024-05-27,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,601003,柳钢股份,普钢,1,2025-07-23,2025-07-23,1.0,,,,,,,,
tiered_liquidity_then_bs_v2,601006,大秦铁路,铁路,2,2024-02-01,2025-04-16,5.0,,,,,,,,
tiered_liquidity_then_bs_v2,601009,南京银行,银行,1,2025-06-20,2025-06-20,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,601020,华钰矿业,铅锌,8,2024-05-07,2025-10-14,2.125,2.0,844.0312874999986,-0.09124459936643942,0.5,0.06921042830540035,-0.2516996270382792,-3264.6700125,109.21871249999998
tiered_liquidity_then_bs_v2,601058,赛轮轮胎,汽车配件,2,2023-08-31,2024-04-18,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,601059,信达证券,证券,2,2023-08-07,2023-08-17,1.0,,,,,,,,
tiered_liquidity_then_bs_v2,601069,西部黄金,黄金,3,2025-04-22,2025-09-10,3.6666666666666665,,,,,,,,
tiered_liquidity_then_bs_v2,601086,国芳集团,百货,2,2023-08-14,2023-08-15,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,601088,中国神华,煤炭开采,14,2023-03-07,2026-03-23,3.142857142857143,1.0,-425.8532999999965,-0.00498125770255433,0.0,-0.00498125770255433,-0.00498125770255433,-425.8532999999965,128.01330000000002
tiered_liquidity_then_bs_v2,601099,太平洋,证券,3,2023-07-27,2023-08-02,3.3333333333333335,1.0,3030.2444999999925,0.06026379690949212,1.0,0.06026379690949212,0.06026379690949212,3030.2444999999925,77.75549999999998
tiered_liquidity_then_bs_v2,601100,恒立液压,工程机械,2,2025-02-06,2025-03-07,3.0,1.0,3007.9138000000003,0.22321186440677968,1.0,0.22321186440677968,0.22321186440677968,3007.9138000000003,22.4862
tiered_liquidity_then_bs_v2,601108,财通证券,证券,1,2023-08-02,2023-08-02,4.0,1.0,-1149.4716750000075,-0.022947201470414,0.0,-0.022947201470414,-0.022947201470414,-1149.4716750000075,74.331675
tiered_liquidity_then_bs_v2,601117,中国化学,建筑工程,4,2024-02-23,2026-03-12,2.25,,,,,,,,
tiered_liquidity_then_bs_v2,601126,四方股份,电气设备,6,2025-11-05,2026-05-08,1.5,2.0,7286.126000000001,0.1656977713329181,1.0,0.2829330426658362,0.04846250000000001,3633.992,137.874
tiered_liquidity_then_bs_v2,601127,赛力斯,汽车整车,5,2023-07-04,2024-08-16,5.0,,,,,,,,
tiered_liquidity_then_bs_v2,601136,首创证券,证券,3,2023-07-26,2023-08-22,4.0,1.0,-5270.668600000003,-0.11569769371527319,0.0,-0.11569769371527319,-0.11569769371527319,-5270.668600000003,64.4286
tiered_liquidity_then_bs_v2,601137,博威合金,小金属,1,2025-08-20,2025-08-20,5.0,,,,,,,,
tiered_liquidity_then_bs_v2,601138,工业富联,通信设备,13,2023-03-20,2025-07-30,3.3846153846153846,2.0,35445.904045,0.35451790281780077,1.0,0.389066689989343,0.3199691156462585,1070.0567150000002,164.255955
tiered_liquidity_then_bs_v2,601156,东航物流,仓储物流,2,2023-12-12,2023-12-13,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,601166,XD兴业银,银行,4,2024-01-22,2024-12-30,4.0,1.0,119.27857500000003,0.0056784449310894785,1.0,0.0056784449310894785,0.0056784449310894785,119.27857500000003,31.621425000000002
tiered_liquidity_then_bs_v2,601168,西部矿业,铜,10,2023-04-14,2026-01-29,2.1,1.0,-5103.9842899999985,-0.04404930611772868,0.0,-0.04404930611772868,-0.04404930611772868,-5103.9842899999985,170.10429
tiered_liquidity_then_bs_v2,601169,北京银行,银行,2,2024-01-17,2024-07-02,2.5,1.0,-1232.6881274999992,-0.09768183700201746,0.0,-0.09768183700201746,-0.09768183700201746,-1232.6881274999992,18.0181275
tiered_liquidity_then_bs_v2,601177,杭齿前进,机械基件,2,2025-03-05,2025-03-07,1.5,1.0,649.550085000001,0.05362642600619203,1.0,0.05362642600619203,0.05362642600619203,649.550085000001,18.669915
tiered_liquidity_then_bs_v2,601179,中国西电,电气设备,7,2023-05-15,2026-01-15,3.2857142857142856,,,,,,,,
tiered_liquidity_then_bs_v2,601186,中国铁建,建筑工程,5,2023-03-15,2023-04-20,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,601208,东材科技,化工原料,2,2025-07-18,2026-02-27,3.5,,,,,,,,
tiered_liquidity_then_bs_v2,601211,国泰海通,证券,1,2024-10-14,2024-10-14,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,601216,君正集团,化工原料,2,2024-12-17,2025-02-13,2.5,,,,,,,,
tiered_liquidity_then_bs_v2,601225,陕西煤业,煤炭开采,13,2023-07-05,2026-03-23,2.923076923076923,1.0,-15981.777765,-0.24264092962434616,0.0,-0.24264092962434616,-0.24264092962434616,-15981.777765,86.87776500000001
tiered_liquidity_then_bs_v2,601229,上海银行,银行,1,2025-04-17,2025-04-17,5.0,,,,,,,,
tiered_liquidity_then_bs_v2,601231,环旭电子,元器件,2,2024-07-11,2026-02-06,3.5,,,,,,,,
tiered_liquidity_then_bs_v2,601288,农业银行,银行,10,2024-02-05,2025-10-22,3.0,1.0,-546.3262374999997,-0.043794283168588244,0.0,-0.043794283168588244,-0.043794283168588244,-546.3262374999997,18.3162375
tiered_liquidity_then_bs_v2,601318,中国平安,保险,6,2023-01-09,2025-12-23,3.5,,,,,,,,
tiered_liquidity_then_bs_v2,601319,中国人保,保险,7,2023-04-27,2025-05-15,3.857142857142857,,,,,,,,
tiered_liquidity_then_bs_v2,601328,交通银行,银行,3,2024-06-27,2025-04-16,2.0,1.0,-2832.3547175000012,-0.08721375309035811,0.0,-0.08721375309035811,-0.08721375309035811,-2832.3547175000012,46.6247175
tiered_liquidity_then_bs_v2,601333,广深铁路,铁路,3,2023-05-18,2023-06-08,3.3333333333333335,1.0,-7155.956399999995,-0.07732089881230221,0.0,-0.07732089881230221,-0.07732089881230221,-7155.956399999995,133.55640000000002
tiered_liquidity_then_bs_v2,601336,新华保险,保险,9,2023-04-28,2025-06-24,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,601360,三六零,互联网,2,2024-11-22,2025-11-18,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,601390,中国中铁,建筑工程,3,2023-03-03,2023-04-28,3.6666666666666665,,,,,,,,
tiered_liquidity_then_bs_v2,601398,工商银行,银行,9,2024-02-05,2026-03-31,2.888888888888889,1.0,-105.35439999999971,-0.0071131576104569326,0.0,-0.0071131576104569326,-0.0071131576104569326,-105.35439999999971,22.1544
tiered_liquidity_then_bs_v2,601399,国机重装,工程机械,2,2025-12-08,2026-01-09,4.5,,,,,,,,
tiered_liquidity_then_bs_v2,601456,国联民生,证券,1,2023-12-18,2023-12-18,3.0,,,,,,,,
tiered_liquidity_then_bs_v2,601519,大智慧,软件服务,5,2023-08-03,2025-07-11,1.8,,,,,,,,
tiered_liquidity_then_bs_v2,601555,东吴证券,证券,1,2023-08-10,2023-08-10,5.0,,,,,,,,
tiered_liquidity_then_bs_v2,601567,三星医疗,电气设备,1,2024-08-30,2024-08-30,2.0,,,,,,,,
tiered_liquidity_then_bs_v2,601595,上海电影,影视音像,1,2024-09-10,2024-09-10,2.0,1.0,357.75879500000013,0.09021828252821856,1.0,0.09021828252821856,0.09021828252821856,357.75879500000013,6.221205
tiered_liquidity_then_bs_v2,601600,中国铝业,铝,5,2023-04-17,2025-11-13,3.8,,,,,,,,
