asof_date,asof_date_key,symbol,ts_code,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,bs_score_v2,bs_score_v2_label,bs_research_score,bs_research_label,bs_research_reason,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected,score_opt_gap,score_claude_gap,opt_claude_gap,score_dispersion,rs_liquidity_combo,breakout_volume_combo,overextended_flag,pullback_flag,event_seq_for_symbol,total_b_points,total_s_points,buy_points_count,sell_points_count,p_signal,model_rank_score
2026-05-08,20260508,300674,300674.SZ,宇信科技,42.54,42.54,0.0,0.0,43.85,86.01,34.56,59.71,19.05,7.75,54.2621,58.07,75.0,49.25,剔除,32.45,回避,流动性偏弱,20.68,20.68,0.0,0,,1,-34.96,-11.722099999999998,23.237900000000003,17.793300353503845,25.658682740935863,58.606,0,0,,,,,,0.3236279452553298,37.42895616787308
2026-05-08,20260508,002677,002677.SZ,浙江美大,67.18,67.18,0.0,100.0,92.62,93.89,43.11,35.46,6.54,7.05,42.3799,61.68,87.62,50.3,剔除,34.8,回避,流动性偏弱,8.25,7.93,4.04,0,WATCH,1,-3.319999999999993,24.800100000000008,28.1201,15.366670556868636,16.791051188058475,93.0645,0,0,,,,,,0.31900873777784333,37.42061164444903
2026-05-08,20260508,300710,300710.SZ,万隆光电,54.02,54.02,0.0,100.0,43.85,29.12,70.96,80.94,12.55,6.5,39.874,59.65,92.41,51.18,剔除,37.98,回避,相对强弱靠前；流动性偏弱,33.18,31.43,5.57,0,,1,-10.979999999999997,14.146,25.126,12.596200432405531,29.84205086786094,38.694500000000005,0,0,,,,,,0.31506212783901255,37.40834894873088
2026-05-08,20260508,600558,600558.SH,大西洋,53.16,53.16,0.0,100.0,43.85,29.12,55.23,91.68,10.48,7.4,50.9001,62.15,87.75,49.67,剔除,32.12,回避,流动性偏弱,5.87,5.64,4.08,0,,1,-20.840000000000003,2.2598999999999947,23.0999,12.734586291016027,24.058478754900527,38.694500000000005,0,0,,,,,,0.3206562761097908,37.346939327685355
2026-05-08,20260508,601566,601566.SH,九牧王,62.55,62.55,0.0,100.0,43.85,78.92,36.32,83.13,6.59,6.85,54.0251,58.66,75.84,46.54,剔除,27.4,回避,流动性偏弱,10.96,10.93,0.27,0,WATCH,1,-5.950000000000003,8.524899999999995,14.474899999999998,7.275520027461954,15.470901719033703,56.1245,0,0,,,,,,0.33369398727837035,37.32057910948592
2026-05-08,20260508,000156,000156.SZ,华数传媒,41.68,41.68,0.0,0.0,43.85,69.02,40.51,73.72,8.59,7.25,52.3517,56.94,75.81,45.12,剔除,27.73,回避,流动性偏弱,7.6,7.58,0.26,0,,1,-30.82,-10.6717,20.1483,15.650940194229014,18.654246165417675,52.659499999999994,0,0,,,,,,0.3392191395949991,37.28133977164994
2026-05-08,20260508,300995,300995.SZ,奇德新材,40.02,40.02,0.0,0.0,43.85,85.92,48.31,37.24,4.36,7.7,47.2389,58.72,83.69,43.5,剔除,25.39,回避,流动性偏弱,36.59,35.6,2.78,0,,1,-36.98,-7.218899999999998,29.7611,19.60168356043259,14.51315265543638,58.5745,0,0,,,,,,0.34615931109028053,37.28115177631964
2026-05-08,20260508,603969,603969.SH,银龙股份,40.31,40.31,0.0,0.0,43.85,66.16,56.28,74.48,14.41,6.15,54.5033,56.26,75.0,49.69,剔除,33.68,回避,流动性偏弱,9.56,9.56,0.0,0,,1,-21.19,-14.1933,6.996699999999997,10.796756270442216,28.4779704333016,51.6585,0,0,,,,,,0.31864352307040045,37.21204661492803
2026-05-08,20260508,601975,601975.SH,招商南油,31.67,31.67,0.0,0.0,43.85,80.39,12.05,24.44,27.48,7.85,67.3135,58.77,96.38,45.93,剔除,36.02,回避,优势未形成共振,5.0,4.68,6.84,0,,1,-46.83,-35.6435,11.186499999999995,24.456239062524176,18.197087679076564,56.639,0,0,,,,,,0.33383807278042393,37.14766509462967
2026-05-08,20260508,600789,600789.SH,鲁抗医药,40.19,40.19,0.0,0.0,43.85,90.58,24.9,49.03,11.3,8.15,44.1027,55.3,78.72,42.79,剔除,25.79,回避,流动性偏弱,8.47,8.37,1.19,0,,1,-41.31,-3.912700000000001,37.3973,22.804909444313378,16.774087158471545,60.2055,0,0,,,,,,0.34608852241712423,37.063196569198695
2026-05-08,20260508,300491,300491.SZ,通合科技,53.49,53.49,0.0,100.0,43.85,29.12,78.35,56.9,18.39,6.45,47.5798,62.65,94.41,54.76,剔除,42.79,回避,相对强弱靠前；流动性偏弱,27.35,25.75,6.21,0,,1,-11.009999999999998,5.910200000000003,16.9202,8.587235993806933,37.958615622806896,38.694500000000005,0,0,,,,,,0.2939683390497756,37.00578373348429
2026-05-08,20260508,600712,600712.SH,南宁百货,64.49,64.49,0.0,100.0,91.54,83.33,46.97,22.6,4.6,7.65,41.9283,63.79,90.59,49.13,剔除,33.32,回避,流动性偏弱,6.52,6.21,4.99,0,WATCH,1,-12.010000000000003,22.561699999999995,34.5717,17.552173881412333,14.699047588194276,88.6665,0,0,,,,,,0.3169559262631938,36.925914838423566
2026-05-08,20260508,301525,301525.SZ,儒竞科技,62.69,62.69,0.0,100.0,94.4,98.7,73.47,49.34,11.56,8.35,55.4733,71.56,75.0,60.93,观察,51.15,回避,V2评分较好；相对强弱靠前；流动性偏弱,78.3,78.3,0.0,0,WATCH,1,-20.81,7.216699999999996,28.0267,14.552392539716624,29.142978571175597,95.905,0,0,,,,,,0.26597531466300905,36.89727202641063
2026-05-08,20260508,002320,002320.SZ,海峡股份,42.39,42.39,0.0,0.0,43.85,84.74,35.24,63.2,13.41,5.55,45.6824,49.89,79.78,44.71,剔除,28.58,回避,流动性偏弱,8.65,8.52,1.53,0,,1,-13.11,-3.2924000000000007,9.8176,6.820279411676132,21.738638411823313,58.1615,0,0,,,,,,0.33465236049694147,36.83866523478591
2026-05-08,20260508,600489,600489.SH,中金黄金,37.52,37.52,0.0,0.0,43.85,62.65,49.38,69.28,28.24,7.25,51.3125,57.83,80.28,52.42,剔除,46.29,回避,优势未形成共振,28.22,27.75,1.69,0,,1,-34.98,-13.792499999999997,21.1875,17.619797636465634,37.34288687287045,50.43,0,0,,,,,,0.2995454721756953,36.69418305229867
2026-05-08,20260508,300596,300596.SZ,利安隆,40.47,40.47,0.0,0.0,43.85,83.82,27.16,63.17,18.21,7.05,50.822,53.79,76.0,46.47,剔除,29.73,回避,流动性偏弱,44.56,44.42,0.32,0,,1,-30.03,-10.352000000000004,19.677999999999997,15.254444641917756,22.23923559837433,57.8395,0,0,,,,,,0.3241456944856318,36.63119861399423
2026-05-08,20260508,600027,600027.SH,华电国际,53.12,53.12,0.0,100.0,43.85,29.12,66.93,52.61,24.19,6.6,54.6291,63.31,96.5,54.94,剔除,48.69,回避,优势未形成共振,5.13,4.8,6.88,0,,1,-12.880000000000004,-1.5091000000000037,11.3709,7.041178282314213,40.237255125070355,38.694500000000005,0,0,,,,,,0.2878025661138252,36.62817962796777
2026-05-08,20260508,000868,000868.SZ,安凯客车,47.3,47.3,0.0,0.0,43.85,68.22,23.94,81.34,2.18,5.4,36.1801,45.69,75.69,36.72,剔除,19.11,回避,流动性偏弱,4.48,4.47,0.22,0,,1,-6.700000000000003,11.119899999999994,17.819899999999997,9.000842664439812,7.224209299293592,52.3795,0,0,,,,,,0.3653677362114025,36.591741534798174
2026-05-08,20260508,600148,600148.SH,长春一东,53.44,53.44,0.0,100.0,43.85,29.12,56.83,95.01,3.5,6.2,34.4841,54.33,83.72,43.68,剔除,25.35,回避,流动性偏弱,19.53,19.0,2.79,0,,1,-8.560000000000002,18.9559,27.5159,14.08145646834872,14.103368391983526,38.694500000000005,0,0,,,,,,0.33492180575979863,36.5485264031859
2026-05-08,20260508,600157,600157.SH,永泰能源,66.74,66.74,0.0,100.0,88.93,95.17,36.72,27.71,27.39,7.2,51.0455,63.08,87.5,56.77,剔除,54.22,回避,V2评分较好,1.82,1.75,4.0,0,WATCH,1,-5.260000000000005,15.694499999999998,20.954500000000003,10.901651254894066,31.713732041498996,91.114,0,0,,,,,,0.2787969676239879,36.54678773367915
2026-05-08,20260508,301251,301251.SZ,威尔高,40.07,40.07,0.0,0.0,43.85,60.34,65.48,58.56,22.07,7.7,50.8085,61.33,75.0,53.78,剔除,47.27,回避,优势未形成共振,67.95,67.95,0.0,0,,1,-36.93,-10.738500000000002,26.1915,18.99620556190104,38.015044390346304,49.6215,0,0,,,,,,0.29131314873871544,36.52592041171008
2026-05-08,20260508,300625,300625.SZ,三雄极光,53.39,53.39,0.0,100.0,43.85,29.12,51.08,79.2,1.07,6.7,41.6475,57.22,88.44,42.17,剔除,22.17,回避,流动性偏弱,12.13,11.63,4.3,0,,1,-13.61,11.7425,25.3525,12.687708372673136,7.3929425805967135,38.694500000000005,0,0,,,,,,0.340642336085824,36.495963526007685
2026-05-08,20260508,300741,300741.SZ,华宝股份,42.09,42.09,0.0,0.0,43.85,66.76,29.67,86.56,7.88,5.8,48.5147,49.99,75.0,41.85,剔除,24.75,回避,流动性偏弱,16.94,16.94,0.0,0,,1,-15.909999999999997,-6.424699999999994,9.485300000000002,8.003913482166082,15.290506858832378,51.8685,0,0,,,,,,0.3417338514463826,36.47636960124678
2026-05-08,20260508,600235,600235.SH,民丰特纸,56.84,56.84,0.0,100.0,43.85,75.73,49.28,43.48,4.2,7.35,45.853,59.81,81.81,44.55,剔除,25.92,回避,流动性偏弱,7.03,6.88,2.18,0,,1,-16.659999999999997,10.987000000000002,27.647,13.920167491808424,14.386660488104946,55.008,0,0,,,,,,0.32987657212316646,36.45636004862165
2026-05-08,20260508,603888,603888.SH,新华网,58.93,58.93,0.0,100.0,43.85,67.37,50.15,46.68,17.11,7.7,54.0283,63.03,78.66,51.49,剔除,34.96,回避,流动性偏弱,20.83,20.59,1.17,0,,1,-18.07,4.901699999999998,22.9717,12.098557515808787,29.292772146043124,52.082,0,0,,,,,,0.29995546465487327,36.44388252584113
2026-05-08,20260508,300469,300469.SZ,信息发展,56.38,56.38,0.0,100.0,43.85,61.09,70.12,39.74,23.98,8.25,34.2024,62.87,84.0,54.54,剔除,51.73,回避,相对强弱靠前,61.39,59.67,2.88,0,,1,-26.119999999999997,22.177600000000005,48.2976,24.17560239690696,41.00582397660118,49.884,0,0,,,,,,0.2865814717302225,36.422703021115574
2026-05-08,20260508,002163,002163.SZ,海南发展,44.43,44.43,0.0,0.0,43.85,84.96,27.95,70.88,22.05,5.8,29.4541,45.31,75.0,45.0,剔除,37.82,回避,优势未形成共振,12.71,12.71,0.0,0,,1,-13.57,14.9759,28.5459,14.278718941254263,24.825339876827467,58.2385,0,0,,,,,,0.32727703265343955,36.409392285740765
