strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,symbol,name,industry,is_bs_candidate,sort_col,rank_score,score,score_liq_breakout_adj,s_breakout,s_liquidity,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,entry_open,exit_close,gross_ret
liq_top_10_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq_top_10_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq_top_10_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq_top_10_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,score,80.97,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq_top_20_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq_top_20_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq_top_20_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq_top_20_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq_top_20_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,score,80.97,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq_top_30_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq_top_30_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq_top_30_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq_top_30_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq_top_30_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,score,80.97,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq_top_10_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score_liq_breakout_adj,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq_top_10_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score_liq_breakout_adj,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq_top_10_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score_liq_breakout_adj,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq_top_10_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score_liq_breakout_adj,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq_top_10_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,score_liq_breakout_adj,80.97,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq_top_20_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score_liq_breakout_adj,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq_top_20_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score_liq_breakout_adj,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq_top_20_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score_liq_breakout_adj,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq_top_20_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score_liq_breakout_adj,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq_top_20_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,score_liq_breakout_adj,80.97,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq_top_30_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score_liq_breakout_adj,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq_top_30_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score_liq_breakout_adj,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq_top_30_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score_liq_breakout_adj,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq_top_30_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score_liq_breakout_adj,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq_top_30_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,score_liq_breakout_adj,80.97,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq_top_20_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,bs_score_v2,73.71,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq_top_20_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,bs_score_v2,73.33,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq_top_20_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,002546,新联电子,,0,bs_score_v2,73.01,76.08,76.08,97.44,26.53,73.01,,,,,,,11.6907,9.0646,-0.22463154473213742
liq_top_20_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,601216,君正集团,,0,bs_score_v2,72.88,80.04,80.04,97.68,26.44,72.88,,,,,,,6.22,5.53,-0.11093247588424426
liq_top_20_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,603588,高能环境,,0,bs_score_v2,72.85,76.86,76.86,98.33,25.82,72.85,,,,,,,14.2635,13.1763,-0.07622252602797353
tiered_liquidity_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
tiered_liquidity_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
tiered_liquidity_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
tiered_liquidity_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
tiered_liquidity_then_score,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,score,80.97,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
tiered_liquidity_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score_liq_breakout_adj,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
tiered_liquidity_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score_liq_breakout_adj,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
tiered_liquidity_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score_liq_breakout_adj,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
tiered_liquidity_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score_liq_breakout_adj,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
tiered_liquidity_then_liq_breakout_adj,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,score_liq_breakout_adj,80.97,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
tiered_liquidity_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,bs_score_v2,73.71,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
tiered_liquidity_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,bs_score_v2,73.33,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
tiered_liquidity_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,000988,华工科技,,0,bs_score_v2,72.41,77.06,77.06,98.21,29.89,72.41,,,,,,,119.49,113.34,-0.05146874215415509
tiered_liquidity_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,002498,汉缆股份,,0,bs_score_v2,72.03,76.51,76.51,97.79,28.69,72.03,,,,,,,9.97,8.0,-0.1975927783350051
tiered_liquidity_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,bs_score_v2,72.02,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq20_score_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq20_score_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq20_score_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_score_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq20_score_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,score,80.97,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_score_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq20_score_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq20_score_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_score_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq20_score_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,score,80.97,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_score_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq20_score_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq20_score_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_score_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq20_score_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,score,80.97,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_score_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601778,晶科科技,,0,score,82.64,82.64,82.64,98.26,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq20_score_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,002648,卫星化学,,1,score,82.3392,76.24,76.24,98.65,28.58,70.85,,,,,TRADE,,25.63,25.67,0.0015606710885682773
liq20_score_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,002506,协鑫集成,,0,score,81.82,81.82,81.82,97.22,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq20_score_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,score,81.44,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_score_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601985,中国核电,,0,score,81.03,81.03,81.03,96.93,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq20_bs_score_v2_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,bs_score_v2,73.71,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_bs_score_v2_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,bs_score_v2,73.33,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_bs_score_v2_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,002546,新联电子,,0,bs_score_v2,73.01,76.08,76.08,97.44,26.53,73.01,,,,,,,11.6907,9.0646,-0.22463154473213742
liq20_bs_score_v2_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601216,君正集团,,0,bs_score_v2,72.88,80.04,80.04,97.68,26.44,72.88,,,,,,,6.22,5.53,-0.11093247588424426
liq20_bs_score_v2_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,603588,高能环境,,0,bs_score_v2,72.85,76.86,76.86,98.33,25.82,72.85,,,,,,,14.2635,13.1763,-0.07622252602797353
liq20_bs_score_v2_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,bs_score_v2,73.71,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_bs_score_v2_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,bs_score_v2,73.33,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_bs_score_v2_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,002546,新联电子,,0,bs_score_v2,73.01,76.08,76.08,97.44,26.53,73.01,,,,,,,11.6907,9.0646,-0.22463154473213742
liq20_bs_score_v2_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,002648,卫星化学,,1,bs_score_v2,72.9755,76.24,76.24,98.65,28.58,70.85,,,,,TRADE,,25.63,25.67,0.0015606710885682773
liq20_bs_score_v2_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601216,君正集团,,0,bs_score_v2,72.88,80.04,80.04,97.68,26.44,72.88,,,,,,,6.22,5.53,-0.11093247588424426
liq20_bs_score_v2_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,002648,卫星化学,,1,bs_score_v2,74.3925,76.24,76.24,98.65,28.58,70.85,,,,,TRADE,,25.63,25.67,0.0015606710885682773
liq20_bs_score_v2_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,bs_score_v2,73.71,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_bs_score_v2_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,bs_score_v2,73.33,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_bs_score_v2_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,002546,新联电子,,0,bs_score_v2,73.01,76.08,76.08,97.44,26.53,73.01,,,,,,,11.6907,9.0646,-0.22463154473213742
liq20_bs_score_v2_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601216,君正集团,,0,bs_score_v2,72.88,80.04,80.04,97.68,26.44,72.88,,,,,,,6.22,5.53,-0.11093247588424426
liq20_bs_score_v2_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,002648,卫星化学,,1,bs_score_v2,76.518,76.24,76.24,98.65,28.58,70.85,,,,,TRADE,,25.63,25.67,0.0015606710885682773
liq20_bs_score_v2_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,601088,中国神华,,0,bs_score_v2,73.71,80.97,80.97,98.59,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_bs_score_v2_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,600673,东阳光,,0,bs_score_v2,73.33,81.44,81.44,99.19,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_bs_score_v2_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,300773,拉卡拉,,1,bs_score_v2,73.28880000000001,66.07,66.07,96.72,28.31,67.86,,,,,WATCH,,30.0,23.95,-0.20166666666666666
liq20_bs_score_v2_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,10,5,002546,新联电子,,0,bs_score_v2,73.01,76.08,76.08,97.44,26.53,73.01,,,,,,,11.6907,9.0646,-0.22463154473213742
baseline_full_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,600681,百川能源,,0,score,83.05,83.05,83.05,99.58,21.45,74.99,,,,,,,4.8,4.17,-0.13124999999999998
baseline_full_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,300051,琏升科技,,1,score,82.93,82.93,82.93,99.71,21.2,73.47,,,,,TRADE,,11.8,12.3,0.04237288135593209
baseline_full_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,300939,秋田微,,0,score,81.83,81.83,81.83,99.84,20.78,74.29,,,,,,,45.91,38.82,-0.15443258549335648
baseline_full_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,601016,节能风电,,0,score,80.65,80.65,80.65,99.6,29.03,66.74,,,,,,,4.98,4.1,-0.17670682730923704
baseline_full_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,603105,芯能科技,,0,score,79.9,79.9,79.9,99.74,23.17,73.13,,,,,,,12.85,10.8,-0.15953307392996097
baseline_b_score_v2,2026-03-24,2026-03-25,2026-04-08,10,10,5,300051,琏升科技,,1,bs_score_v2,73.47,82.93,82.93,99.71,21.2,73.47,,,,,TRADE,,11.8,12.3,0.04237288135593209
baseline_b_score_v2,2026-03-24,2026-03-25,2026-04-08,10,10,5,600135,乐凯胶片,,1,bs_score_v2,68.45,72.3,72.3,49.5,21.07,68.45,,,,,WATCH,,11.13,10.25,-0.07906558849955081
baseline_b_score_v2,2026-03-24,2026-03-25,2026-04-08,10,10,5,000791,甘肃能源,,1,bs_score_v2,65.76,59.72,59.72,49.5,25.52,65.76,,,,,,,8.47,7.36,-0.1310507674144038
baseline_b_score_v2,2026-03-24,2026-03-25,2026-04-08,10,10,5,002183,怡亚通,,1,bs_score_v2,65.35,66.24,66.24,49.5,23.5,65.35,,,,,WATCH,,5.42,5.84,0.07749077490774914
baseline_b_score_v2,2026-03-24,2026-03-25,2026-04-08,10,10,5,603063,禾望电气,,1,bs_score_v2,64.0,54.81,54.81,49.5,26.08,64.0,,,,,,,32.58,31.62,-0.02946593001841613
baseline_full_liquidity,2026-03-24,2026-03-25,2026-04-08,10,10,5,300502,新易盛,,0,s_liquidity,30.0,59.22,59.22,49.5,30.0,63.53,,,,,,,490.21,501.5,0.02303094592113597
baseline_full_liquidity,2026-03-24,2026-03-25,2026-04-08,10,10,5,000988,华工科技,,0,s_liquidity,29.99,63.18,63.18,49.5,29.99,64.54,,,,,,,113.66,110.41,-0.02859405243709312
baseline_full_liquidity,2026-03-24,2026-03-25,2026-04-08,10,10,5,300308,中际旭创,,0,s_liquidity,29.99,59.23,59.23,49.5,29.99,63.0,,,,,,,625.7391,688.9537,0.10102389318487526
baseline_full_liquidity,2026-03-24,2026-03-25,2026-04-08,10,10,5,300750,宁德时代,,0,s_liquidity,29.98,61.6,61.6,49.5,29.98,62.68,,,,,,,399.163,397.4364,-0.0043255512159193765
baseline_full_liquidity,2026-03-24,2026-03-25,2026-04-08,10,10,5,300274,阳光电源,,0,s_liquidity,29.98,60.38,60.38,49.5,29.98,64.97,,,,,,,164.69,126.99,-0.22891493108264016
baseline_full_liq_breakout_adj,2026-03-24,2026-03-25,2026-04-08,10,10,5,600681,百川能源,,0,score_liq_breakout_adj,83.05,83.05,83.05,99.58,21.45,74.99,,,,,,,4.8,4.17,-0.13124999999999998
baseline_full_liq_breakout_adj,2026-03-24,2026-03-25,2026-04-08,10,10,5,300051,琏升科技,,1,score_liq_breakout_adj,82.93,82.93,82.93,99.71,21.2,73.47,,,,,TRADE,,11.8,12.3,0.04237288135593209
baseline_full_liq_breakout_adj,2026-03-24,2026-03-25,2026-04-08,10,10,5,300939,秋田微,,0,score_liq_breakout_adj,81.83,81.83,81.83,99.84,20.78,74.29,,,,,,,45.91,38.82,-0.15443258549335648
baseline_full_liq_breakout_adj,2026-03-24,2026-03-25,2026-04-08,10,10,5,601016,节能风电,,0,score_liq_breakout_adj,80.65,80.65,80.65,99.6,29.03,66.74,,,,,,,4.98,4.1,-0.17670682730923704
baseline_full_liq_breakout_adj,2026-03-24,2026-03-25,2026-04-08,10,10,5,603105,芯能科技,,0,score_liq_breakout_adj,79.9,79.9,79.9,99.74,23.17,73.13,,,,,,,12.85,10.8,-0.15953307392996097
liq_top_10_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,601016,节能风电,,0,score,80.65,80.65,80.65,99.6,29.03,66.74,,,,,,,4.98,4.1,-0.17670682730923704
liq_top_10_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,688195,腾景科技,,0,score,79.81,79.81,79.81,99.8,28.62,74.1,,,,,,,272.0,339.0,0.24632352941176472
liq_top_10_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,000617,中油资本,,0,score,73.02,73.02,73.02,99.08,29.18,69.86,,,,,,,10.46,10.39,-0.006692160611854736
liq_top_10_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,603738,泰晶科技,,0,score,73.01,73.01,73.01,49.5,27.47,70.29,,,,,,,26.0,26.19,0.007307692307692459
liq_top_10_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,000815,美利云,,0,score,72.16,72.16,72.16,49.5,29.13,70.2,,,,,,,20.81,20.31,-0.024026910139356095
liq_top_20_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,601016,节能风电,,0,score,80.65,80.65,80.65,99.6,29.03,66.74,,,,,,,4.98,4.1,-0.17670682730923704
liq_top_20_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,688195,腾景科技,,0,score,79.81,79.81,79.81,99.8,28.62,74.1,,,,,,,272.0,339.0,0.24632352941176472
liq_top_20_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,600032,浙江新能,,0,score,79.13,79.13,79.13,99.93,24.4,64.35,,,,,,,11.65,9.19,-0.2111587982832619
liq_top_20_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,603803,瑞斯康达,,0,score,78.93,78.93,78.93,99.34,25.67,72.29,,,,,,,15.61,14.0,-0.10313901345291476
liq_top_20_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,001258,立新能源,,0,score,77.63,77.63,77.63,99.93,24.91,71.39,,,,,,,10.88,8.62,-0.20772058823529427
liq_top_30_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,600681,百川能源,,0,score,83.05,83.05,83.05,99.58,21.45,74.99,,,,,,,4.8,4.17,-0.13124999999999998
liq_top_30_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,300051,琏升科技,,1,score,82.93,82.93,82.93,99.71,21.2,73.47,,,,,TRADE,,11.8,12.3,0.04237288135593209
liq_top_30_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,601016,节能风电,,0,score,80.65,80.65,80.65,99.6,29.03,66.74,,,,,,,4.98,4.1,-0.17670682730923704
liq_top_30_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,603105,芯能科技,,0,score,79.9,79.9,79.9,99.74,23.17,73.13,,,,,,,12.85,10.8,-0.15953307392996097
liq_top_30_then_score,2026-03-24,2026-03-25,2026-04-08,10,10,5,688195,腾景科技,,0,score,79.81,79.81,79.81,99.8,28.62,74.1,,,,,,,272.0,339.0,0.24632352941176472
liq_top_10_then_liq_breakout_adj,2026-03-24,2026-03-25,2026-04-08,10,10,5,601016,节能风电,,0,score_liq_breakout_adj,80.65,80.65,80.65,99.6,29.03,66.74,,,,,,,4.98,4.1,-0.17670682730923704
liq_top_10_then_liq_breakout_adj,2026-03-24,2026-03-25,2026-04-08,10,10,5,688195,腾景科技,,0,score_liq_breakout_adj,79.81,79.81,79.81,99.8,28.62,74.1,,,,,,,272.0,339.0,0.24632352941176472
liq_top_10_then_liq_breakout_adj,2026-03-24,2026-03-25,2026-04-08,10,10,5,000617,中油资本,,0,score_liq_breakout_adj,73.02,73.02,73.02,99.08,29.18,69.86,,,,,,,10.46,10.39,-0.006692160611854736
