signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_target_position_ratio,adaptive_position_reason,market_style_state,selected_strategy,target_position_ratio,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,strategy_source,ashare_resolved_strategy,route_reason,risk_veto_reason,dual_intersection_count,dual_union_count
2026-03-12,2026-03-13,adaptive_market_style,3,001309,德明利,半导体,92.41455543358947,0.040363235909486865,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-12,2026-03-13,adaptive_market_style,4,300827,上能电气,电气设备,92.17397731430664,0.0643627777233096,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-12,2026-03-13,adaptive_market_style,5,601868,中国能建,建筑工程,91.9940797658251,0.04173008274205951,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-13,2026-03-16,adaptive_market_style,1,001309,德明利,半导体,94.60414760597743,0.03785135093615162,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-13,2026-03-16,adaptive_market_style,2,601669,中国电建,建筑工程,94.33867642573955,0.05585853643714278,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-13,2026-03-16,adaptive_market_style,3,002384,东山精密,元器件,92.69923757243062,0.04029423850775193,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-13,2026-03-16,adaptive_market_style,4,601868,中国能建,建筑工程,91.97379688929553,0.04133108139021416,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-13,2026-03-16,adaptive_market_style,5,300827,上能电气,电气设备,91.94800853918878,0.06458655307201625,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-16,2026-03-17,adaptive_market_style,1,001309,德明利,半导体,95.31959283597475,0.03522048078890693,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
2026-03-16,2026-03-17,adaptive_market_style,2,601669,中国电建,建筑工程,94.45894858909934,0.04170385369119198,0.0,0,1,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.7,recent_champion_default_70pct,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1,index_neutral,normal,,,,,,
