strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio,strategy_source,ashare_resolved_strategy,route_reason,ashare_available,ashare_candidate_count,ashare_risk_veto_ratio,ashare_market_regime,ashare_governance_hint,risk_veto_reason,dual_intersection_count,dual_union_count
adaptive_market_style,2026-05-13,2026-05-12,107394.47212749996,393090.0,500484.4721275,1.000968944255,5,0.7854189727985389,5,378581.0,5,0,485975.4721275,5.0,0.8,5.0,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.2094511072095342,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,attack_risk_on_and_attack_not_failed,baseline_full_liquidity_detail_vol_position,2.6690249280975595,0.0,index_strong,normal,0.8,0.8,attack_enhancement_cap_80pct,0.8,,,,,,,,,,,
adaptive_market_style,2026-05-14,2026-05-13,107394.47212749996,376277.0,483671.4721275,0.967342944255,5,0.7779598791404636,5,388700.0,5,0,496094.4721275,5.0,0.8,5.0,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.1870649476166444,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,attack_risk_on_and_attack_not_failed,baseline_full_liquidity_detail_vol_position,3.6413008661573887,1.0,index_strong,normal,0.8,0.8,attack_enhancement_cap_80pct,0.8,,,,,,,,,,,
adaptive_market_style,2026-05-15,2026-05-14,107394.47212749996,376585.0,483979.4721275,0.967958944255,5,0.7781011833923239,5,374302.0,5,0,481696.4721275,5.0,0.8,5.0,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.2052662155513825,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,attack_risk_on_and_attack_not_failed,baseline_full_liquidity_detail_vol_position,4.329238119938228,1.0,index_strong,normal,0.8,0.8,attack_enhancement_cap_80pct,0.8,,,,,,,,,,,
adaptive_market_style,2026-05-18,2026-05-15,107394.47212749996,385264.0,492658.4721275,0.9853169442549999,5,0.7820103008404039,5,373878.0,5,0,481272.4721275,5.0,0.7,5.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.1762846008596137,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,4.283047305740341,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-05-19,2026-05-18,152066.4281275,338985.0,491051.4281275,0.982102856255,5,0.69032484294493,4,269239.0,5,2,489733.4721275,5.0,0.7,4.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0101623958070693,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,4.3357383880608324,0.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-05-20,2026-05-19,155807.4433775,346613.0,502420.4433775,1.004840886755,5,0.6898863383621672,3,253016.0,5,4,489671.4281275,5.0,0.7,2.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.9992111728295799,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,4.299295084406762,0.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-05-21,2026-05-20,163633.76937750002,332945.0,496578.76937750005,0.9931575387550001,5,0.6704777177996802,3,161805.0,5,4,506780.4433775,5.0,0.7,1.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0132792983993928,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,4.251476741383504,0.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-05-22,2026-05-21,163633.76937750002,352996.0,516629.76937750005,1.033259538755,5,0.6832668594094637,5,335546.0,5,0,499179.76937750005,5.0,0.7,1.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.175957155228334,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,4.339002441134851,0.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-05-25,2026-05-22,163633.76937750002,378996.0,542629.7693775,1.0852595387550001,5,0.698443066319013,5,357682.0,5,0,521315.76937750005,5.0,0.7,2.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.9699366631831262,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,4.190960959025844,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-05-26,2026-05-25,163633.76937750002,387203.42,550837.1893775,1.1016743787549999,5,0.7029362350018121,5,377907.12,5,0,541540.8893775,5.0,0.7,1.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0617100477701853,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,3.8575382163921734,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
