trade_date,history_dates,history_start,history_end,weight_score,weight_s_liquidity,weight_liquidity_detail_score,weight_score_liq_breakout_adj,weight_s_rs,weight_s_breakout,raw_score,raw_s_liquidity,raw_liquidity_detail_score,raw_score_liq_breakout_adj,raw_s_rs,raw_s_breakout,method,raw_ic_score,raw_ic_s_liquidity,raw_ic_liquidity_detail_score,raw_ic_score_liq_breakout_adj,raw_ic_s_rs,raw_ic_s_breakout
2024-10-29,20,2024-08-30,2024-09-30,0.0,0.7012450373168512,0.29875496268314883,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.11117917803078006,0.04736622637761473,0.0,0.0,0.0
2024-10-30,20,2024-09-02,2024-10-08,0.0,0.725860327745725,0.27413967225427505,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.10818081778771191,0.04085724594513418,0.0,0.0,0.0
2024-10-31,20,2024-09-03,2024-10-09,0.0,0.7754840804975551,0.22451591950244495,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.09998593268121946,0.028947639516765454,0.0,0.0,0.0
2024-11-01,20,2024-09-04,2024-10-10,0.0,0.8192669127538915,0.18073308724610845,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.09452951102723453,0.020853533931193168,0.0,0.0,0.0
2024-11-04,20,2024-09-05,2024-10-11,0.0,0.866405810493892,0.13359418950610802,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.08628312270518071,0.013304301178778793,0.0,0.0,0.0
2024-11-05,20,2024-09-06,2024-10-14,0.0,0.9791196729005117,0.020880327099488408,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.07492464585728072,0.0015978139921128051,0.0,0.0,0.0
2024-11-06,20,2024-09-09,2024-10-15,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.06773646712262743,0.0,0.0,0.0,0.0
2024-11-07,20,2024-09-10,2024-10-16,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.0567379488488316,0.0,0.0,0.0,0.0
2024-11-08,20,2024-09-11,2024-10-17,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.04554089102264345,0.0,0.0,0.0,0.0
2024-11-11,20,2024-09-12,2024-10-18,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.031791550154399814,0.0,0.0,0.0,0.0
2024-11-12,20,2024-09-13,2024-10-21,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,spearman_ic,0.0,0.01451505545356086,0.0,0.0,0.0,0.0
2024-11-13,20,2024-09-18,2024-10-22,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,spearman_ic,0.0,0.0,0.0,0.0,0.0,0.0
