sample_split,event_date,event_date_key,event_uid,symbol,ts_code,name,event_seq_for_symbol,buy_signal_description,sell_signal_description,total_b_points,total_s_points,buy_points_count,sell_points_count,process_time,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected,ret_1,max_ret_1,mdd_1,hit_1_5pct,hit_1_10pct,days_to_10pct_within_1,ret_3,max_ret_3,mdd_3,hit_3_5pct,hit_3_10pct,days_to_10pct_within_3,ret_5,max_ret_5,mdd_5,hit_5_5pct,hit_5_10pct,days_to_10pct_within_5,ret_10,max_ret_10,mdd_10,hit_10_5pct,hit_10_10pct,days_to_10pct_within_10,ret_20,max_ret_20,mdd_20,hit_20_5pct,hit_20_10pct,days_to_10pct_within_20
train,2026-02-25,20260225,20260225_603316_01,603316,603316.SH,诚邦股份,1,当天出现买点,当天无卖点,3,4,1,0,2026-02-25 15:58:19,31.56,31.56,0.0,0.0,47.27,20.41,50.99,35.16,14.15,4.95,31.0002,44.85,75.0,14.29,14.29,0.0,0,,1,-0.006998,0.0,-0.006998,0.0,0.0,,-0.024493,0.028691,-0.024493,0.0,0.0,,0.016795,0.028691,-0.075577,0.0,0.0,,0.142757,0.185444,-0.075577,1.0,1.0,7.0,0.085374,0.185444,-0.075577,1.0,1.0,7.0
train,2026-02-25,20260225,20260225_603799_01,603799,603799.SH,华友钴业,1,当天出现买点,当天无卖点,1,2,1,0,2026-02-25 16:00:30,40.69,40.69,0.0,0.0,47.27,81.17,63.96,27.22,29.6,7.3,63.4036,63.31,75.0,77.47,77.47,0.0,0,,1,-0.007616,0.0,-0.007616,0.0,0.0,,0.01265,0.014844,-0.007616,0.0,0.0,,-0.084678,0.014844,-0.084678,0.0,0.0,,-0.122112,0.014844,-0.132697,0.0,0.0,,-0.237899,0.014844,-0.281916,0.0,0.0,
train,2026-02-25,20260225,20260225_688063_02,688063,688063.SH,派能科技,2,当天出现买点,当天无卖点,3,3,1,0,2026-02-25 16:02:12,48.48,48.48,0.0,0.0,47.27,93.1,73.04,65.84,22.78,7.1,54.7303,63.07,75.0,63.98,63.98,0.0,0,,1,-0.010003,0.0,-0.010003,0.0,0.0,,0.030166,0.030166,-0.010003,0.0,0.0,,0.083932,0.088778,-0.010003,1.0,0.0,,0.140513,0.140513,-0.010003,1.0,1.0,8.0,0.282901,0.304939,-0.010003,1.0,1.0,8.0
train,2026-02-26,20260226,20260226_000410_01,000410,000410.SZ,沈阳机床,1,当天出现买点,当天无卖点,2,1,1,0,2026-02-26 16:00:39,37.39,37.39,0.0,0.0,46.56,24.54,47.87,66.97,18.6,1.65,30.8776,35.29,75.0,7.71,7.71,0.0,0,,1,0.010376,0.010376,0.0,0.0,0.0,,-0.055772,0.014267,-0.055772,0.0,0.0,,-0.036316,0.014267,-0.055772,0.0,0.0,,-0.006485,0.014267,-0.055772,0.0,0.0,,-0.158236,0.014267,-0.168612,0.0,0.0,
train,2026-02-26,20260226,20260226_000661_01,000661,000661.SZ,长春高新,1,当天出现买点,当天无卖点,2,1,1,0,2026-02-26 15:58:53,34.74,34.74,0.0,0.0,46.56,99.57,53.16,6.08,25.63,2.6,52.4854,43.93,75.0,98.5,98.5,0.0,0,,1,-0.027716,0.0,-0.027716,0.0,0.0,,-0.087005,0.0,-0.087005,0.0,0.0,,-0.094213,0.0,-0.096447,0.0,0.0,,-0.084467,0.0,-0.096447,0.0,0.0,,-0.140102,0.0,-0.149645,0.0,0.0,
train,2026-02-26,20260226,20260226_000733_01,000733,000733.SZ,振华科技,1,当天出现买点,当天无卖点,1,1,1,0,2026-02-26 15:59:52,39.62,39.62,0.0,0.0,46.56,97.84,65.27,30.01,26.74,2.7,57.6099,48.06,75.0,58.13,58.13,0.0,0,,1,-0.006709,0.0,-0.006709,0.0,0.0,,-0.096336,0.0,-0.096336,0.0,0.0,,-0.089455,0.0,-0.098572,0.0,0.0,,-0.12214,0.0,-0.12214,0.0,0.0,,-0.216239,0.0,-0.230174,0.0,0.0,
train,2026-02-26,20260226,20260226_000777_01,000777,000777.SZ,中核科技,1,当天出现买点,当天无卖点,3,2,1,0,2026-02-26 15:58:52,43.09,43.09,0.0,0.0,46.56,95.64,49.66,51.49,21.45,2.7,46.0483,43.35,75.0,26.32,26.32,0.0,0,,1,-0.005319,0.0,-0.005319,0.0,0.0,,-0.088526,0.0,-0.088526,0.0,0.0,,-0.031155,0.0,-0.088526,0.0,0.0,,-0.046353,0.0,-0.088526,0.0,0.0,,-0.147036,0.019757,-0.155775,0.0,0.0,
train,2026-02-26,20260226,20260226_000816_01,000816,000816.SZ,智慧农业,1,当天出现买点,当天无卖点,4,5,1,0,2026-02-26 15:59:23,40.56,40.56,0.0,0.0,46.56,96.57,49.99,14.69,24.08,3.15,42.0,43.36,75.0,3.97,3.97,0.0,0,,1,0.017632,0.017632,0.0,0.0,0.0,,-0.020151,0.017632,-0.020151,0.0,0.0,,-0.02267,0.017632,-0.02267,0.0,0.0,,-0.062972,0.017632,-0.062972,0.0,0.0,,-0.168766,0.017632,-0.193955,0.0,0.0,
train,2026-02-26,20260226,20260226_002074_02,002074,002074.SZ,国轩高科,2,当天出现买点,当天无卖点,2,2,1,0,2026-02-26 15:58:22,38.03,38.03,0.0,0.0,46.56,52.1,17.77,50.61,28.12,2.25,41.2977,35.27,75.0,38.07,38.07,0.0,0,,1,-0.004465,0.0,-0.004465,0.0,0.0,,-0.048069,0.0,-0.048069,0.0,0.0,,-0.041765,0.0,-0.056738,0.0,0.0,,0.023903,0.023903,-0.056738,0.0,0.0,,-0.030208,0.023903,-0.056738,0.0,0.0,
train,2026-02-26,20260226,20260226_002095_01,002095,002095.SZ,生意宝,1,当天出现买点,当天无卖点,3,3,1,0,2026-02-26 15:57:20,24.85,44.85,20.0,0.0,93.46,99.57,69.7,0.15,9.63,2.05,33.5496,32.89,75.0,20.0,20.0,0.0,1,,1,-0.015,0.0,-0.015,0.0,0.0,,-0.06,0.0,-0.06,0.0,0.0,,-0.0985,0.0,-0.114,0.0,0.0,,-0.075,0.0,-0.114,0.0,0.0,,-0.182,0.0,-0.2115,0.0,0.0,
