event_uid,event_date,symbol,ts_code,rel_ret_d0,rel_ret_d1,rel_ret_d2,rel_ret_d3,rel_ret_d4,rel_ret_d5,rel_ret_d6,rel_ret_d7,rel_ret_d8,rel_ret_d9,rel_ret_d10,rel_ret_d11,rel_ret_d12,rel_ret_d13,rel_ret_d14,rel_ret_d15,rel_ret_d16,rel_ret_d17,rel_ret_d18,rel_ret_d19,rel_ret_d20
20260130_000029_02,2026-01-30,000029,000029.SZ,0.0,0.012681,0.035326,0.03442,0.04529,0.000906,0.012681,-0.01721,0.051178,0.045743,0.049819,0.043478,0.066123,0.050725,0.051178,0.032609,-0.010417,-0.043478,-0.039855,-0.013587,-0.03442
20260130_000062_01,2026-01-30,000062,000062.SZ,0.0,-0.037799,-0.028253,-0.052691,-0.068729,-0.077129,-0.064529,-0.059183,-0.06949,-0.067202,-0.071402,-0.054983,-0.05651,-0.051545,-0.03398,-0.072163,-0.111493,-0.119893,-0.115312,-0.102709,-0.101182
20260130_000735_02,2026-01-30,000735,000735.SZ,0.0,-0.055621,-0.067456,-0.068639,-0.074556,-0.084024,-0.068639,-0.084024,-0.08284,-0.100592,-0.095858,-0.089941,-0.076923,-0.086391,-0.072189,-0.091124,-0.102959,-0.100592,-0.112426,-0.081657,-0.099408
20260130_000799_02,2026-01-30,000799,000799.SZ,0.0,0.034847,0.018127,0.052446,0.030623,-0.007744,-0.007392,-0.040655,-0.050686,-0.067406,-0.082189,-0.090285,-0.082893,-0.097325,-0.098733,-0.139916,-0.1327,-0.183562,-0.183386,-0.171067,-0.18057
20260130_002654_02,2026-01-30,002654,002654.SZ,0.0,-0.100188,-0.110207,-0.127113,-0.129618,-0.139011,-0.123356,-0.118973,-0.124609,-0.125861,-0.100188,-0.043832,-0.028178,-0.039449,-0.043832,-0.082029,-0.162179,-0.158422,-0.122104,-0.075767,-0.077646
20260130_002837_01,2026-01-30,002837,002837.SZ,0.0,-0.029722,0.025984,-0.006356,-0.072156,-0.068231,-0.029629,-0.029909,-0.070007,0.022993,0.057482,0.019721,0.025516,0.062716,0.014113,0.037947,-0.042901,-0.042153,-0.045705,-0.053183,-0.093373
20260130_300458_02,2026-01-30,300458,300458.SZ,0.0,-0.068837,-0.051249,-0.079479,-0.101412,-0.101846,-0.088164,-0.087514,-0.093377,-0.082735,-0.088816,-0.074918,-0.072312,-0.067969,-0.07405,-0.118566,-0.171335,-0.172637,-0.168295,-0.150706,-0.163952
20260130_300458_03,2026-01-30,300458,300458.SZ,0.0,-0.068837,-0.051249,-0.079479,-0.101412,-0.101846,-0.088164,-0.087514,-0.093377,-0.082735,-0.088816,-0.074918,-0.072312,-0.067969,-0.07405,-0.118566,-0.171335,-0.172637,-0.168295,-0.150706,-0.163952
20260130_300570_01,2026-01-30,300570,300570.SZ,0.0,-0.076259,0.005196,0.038289,-0.068585,-0.034692,0.101039,0.098801,0.066667,0.231415,0.145004,0.182814,0.113589,0.148681,0.086011,0.11295,0.085132,0.055076,0.031095,0.020783,-0.034532
20260130_301257_01,2026-01-30,301257,301257.SZ,0.0,-0.015067,0.009471,0.033003,-0.006457,-0.004879,0.03286,0.025829,-0.015928,-0.006888,-0.015928,-0.041469,-0.031855,-0.024394,-0.025398,-0.033577,-0.081934,-0.097431,-0.085378,-0.08136,-0.108193
