asof_date,asof_date_key,symbol,ts_code,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected
2026-05-08,20260508,301251,301251.SZ,威尔高,40.07,40.07,0.0,0.0,43.85,60.34,65.48,58.56,22.07,7.7,50.8085,61.33,75.0,67.95,67.95,0.0,0,,1
2026-05-08,20260508,688556,688556.SH,高测股份,53.8,53.8,0.0,0.0,90.58,81.62,61.15,84.47,24.63,6.55,44.7572,61.3,86.91,14.98,14.43,3.81,0,,1
2026-05-08,20260508,002812,002812.SZ,恩捷股份,50.68,50.68,0.0,100.0,43.85,29.12,73.5,17.06,29.42,6.4,49.6684,60.7,82.62,81.27,70.7,14.95,0,,1
2026-05-08,20260508,601890,601890.SH,亚星锚链,58.15,58.15,0.0,100.0,43.85,29.12,52.06,97.96,23.17,6.6,52.9364,60.69,89.31,10.96,10.48,4.58,0,,1
2026-05-08,20260508,000980,000980.SZ,众泰汽车,52.44,52.44,0.0,100.0,43.85,29.12,85.18,32.76,23.67,6.95,34.4174,60.47,81.8,2.64,2.29,15.28,0,,1
2026-05-08,20260508,601108,601108.SH,财通证券,57.08,57.08,0.0,100.0,43.85,29.12,51.38,62.96,22.51,7.15,50.6048,60.4,78.38,8.4,8.31,1.08,0,,1
2026-05-08,20260508,601155,601155.SH,新城控股,50.27,50.27,0.0,100.0,43.85,29.12,65.52,32.34,18.62,6.2,51.8384,60.21,90.94,15.46,14.71,5.1,0,,1
2026-05-08,20260508,300809,300809.SZ,华辰装备,41.15,41.15,0.0,0.0,43.85,94.05,60.37,53.1,15.25,7.65,48.587,60.02,75.0,35.46,35.46,0.0,0,,1
2026-05-08,20260508,300315,300315.SZ,掌趣科技,44.87,44.87,0.0,0.0,43.85,81.03,60.43,98.66,22.25,7.25,46.8397,60.01,85.59,5.18,5.01,3.39,0,,1
2026-05-08,20260508,600392,600392.SH,盛和资源,50.36,50.36,0.0,100.0,43.85,29.12,58.23,15.44,28.76,6.1,53.4832,59.89,97.38,26.5,24.73,7.16,0,,1
2026-05-08,20260508,600235,600235.SH,民丰特纸,56.84,56.84,0.0,100.0,43.85,75.73,49.28,43.48,4.2,7.35,45.853,59.81,81.81,7.03,6.88,2.18,0,,1
2026-05-08,20260508,688099,688099.SH,晶晨股份,58.07,58.07,0.0,100.0,43.85,29.12,95.94,72.02,28.24,7.05,61.3916,59.79,40.0,112.7,83.38,35.16,0,,1
2026-05-08,20260508,300601,300601.SZ,康泰生物,65.76,65.76,0.0,100.0,43.85,90.49,36.76,86.74,17.66,7.65,49.0335,59.77,69.9,14.53,14.68,-1.02,0,WATCH,1
