strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-17,600378,昊华科技,BUY,63.8,0,1900,1900,1900,0.0,0.24440273894191344,0.24440273894191344,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-17,002080,中材科技,BUY,82.41,0,1300,1300,1300,0.0,0.21833130216865812,0.21833130216865812,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-17,300285,国瓷材料,BUY,78.5,0,1000,1000,1000,0.0,0.1660621027750441,0.1660621027750441,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-17,301217,铜冠铜箔,BUY,181.69,0,500,500,500,0.0,0.20334999326636832,0.20334999326636832,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-17,301526,国际复材,BUY,40.23,0,2000,2000,2000,0.0,0.16785386284801607,0.16785386284801607,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,1.0
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-17,600378,昊华科技,BUY,63.8,0,1900,1900,1900,0.0,0.24440273894191344,0.24440273894191344,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,1.0
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-17,002745,木林森,BUY,11.43,0,8700,8700,8700,0.0,0.2,0.2,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,1.0
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-17,300024,机器人,BUY,17.17,0,5800,5800,5800,0.0,0.2,0.2,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,1.0
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-17,300219,鸿利智汇,BUY,9.24,0,10800,10800,10800,0.0,0.2,0.2,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,1.0
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-17,300283,温州宏丰,BUY,22.15,0,4500,4500,4500,0.0,0.2,0.2,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,1.0
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-17,300491,通合科技,BUY,35.3,0,2800,2800,2800,0.0,0.2,0.2,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,1.0
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-17,000700,模塑科技,BUY,15.96,0,6200,6200,6200,0.0,0.2,0.2,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,1.0
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-17,000831,中国稀土,BUY,59.09,0,1600,1600,1600,0.0,0.2,0.2,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,1.0
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-17,002903,宇环数控,BUY,53.32,0,1800,1800,1800,0.0,0.2,0.2,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,1.0
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-17,300024,机器人,BUY,17.17,0,5800,5800,5800,0.0,0.2,0.2,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,1.0
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-17,300491,通合科技,BUY,35.3,0,2800,2800,2800,0.0,0.2,0.2,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,1.0
dual_system_adaptive_route,双系统自适应路由策略,2026-06-17,002080,中材科技,BUY,82.41,0,1200,1200,1200,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,1.0
dual_system_adaptive_route,双系统自适应路由策略,2026-06-17,300285,国瓷材料,BUY,78.5,0,1200,1200,1200,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,1.0
dual_system_adaptive_route,双系统自适应路由策略,2026-06-17,301217,铜冠铜箔,BUY,181.69,0,500,500,500,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,1.0
dual_system_adaptive_route,双系统自适应路由策略,2026-06-17,301526,国际复材,BUY,40.23,0,2400,2400,2400,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,1.0
dual_system_adaptive_route,双系统自适应路由策略,2026-06-17,600378,昊华科技,BUY,63.8,0,1500,1500,1500,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,1.0
