strategy,sample,cost_rate,periods,first_signal_date,last_signal_date,avg_selected,avg_bs_count,gross_total_return,total_return,annualized_return,max_drawdown,win_rate,avg_return,median_return,best_period,worst_period,avg_score,avg_liquidity,avg_max_industry_weight,turnover_proxy
liq_top_10_then_score_industry_cap2,train,0.0,20,2026-02-13,2026-03-23,1.95,0.4,-0.8093466180931634,-0.8093466180931634,-0.8760895064284356,-0.7998392673234824,0.25,-0.07535133093972413,-0.09174994862632732,0.09768617262318363,-0.22138451930208047,80.06200000000001,28.647999999999996,1.0,1.0
baseline_full_liquidity_industry_cap2,train,0.0015,20,2026-02-13,2026-03-23,2.0,0.0,0.04446236983942842,0.013578822439602067,0.017139417874394214,-0.279838299653272,0.5,0.002600487837362475,-0.008434845460239787,0.10793147701617262,-0.11582444938141984,45.91074999999999,29.994999999999997,1.0,1.0
baseline_full_score,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.45,-0.09343547714114053,-0.1204842648363128,-0.14935774283587278,-0.4906978600569881,0.25,-0.0022130302767641463,-0.03327746888800433,0.21381793179926986,-0.1337448186483337,80.5569,24.3589,1.0,1.0
baseline_full_liquidity,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.0,-0.13780171886894277,-0.1635125056738448,-0.2014558909126647,-0.27661304290082156,0.4,-0.007966902389738146,-0.008436927512401713,0.10130199525214792,-0.06792728136997396,44.6779,29.988,1.0,1.0
baseline_full_liq_breakout_adj,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.45,-0.37887982129435216,-0.39773347946919035,-0.4721217242500536,-0.5497633429320725,0.25,-0.02249421378059111,-0.04048763541438164,0.1176999297616193,-0.1337448186483337,80.4574,25.4865,1.0,1.0
liq_top_30_then_liq_breakout_adj,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.5,-0.45347153175061705,-0.4701623964820222,-0.5508205284053791,-0.6034112403947529,0.25,-0.028977098834283,-0.04048763541438164,0.1176999297616193,-0.15359188180590777,80.31500000000001,26.213900000000002,1.0,1.0
liq_top_30_then_score,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.5,-0.45347153175061705,-0.4701623964820222,-0.5508205284053791,-0.6034112403947529,0.25,-0.028977098834283,-0.04048763541438164,0.1176999297616193,-0.15359188180590777,80.31500000000001,26.213900000000002,1.0,1.0
baseline_full_liquidity_detail,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.15,-0.46014889995276664,-0.47664557637042293,-0.5577347334868108,-0.4972592182118698,0.3,-0.029630427352894173,-0.020080521241052716,0.11072786620566713,-0.15719378492336852,62.2321,29.299500000000002,1.0,1.0
liq_top_20_then_liquidity_detail,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.15,-0.46014889995276664,-0.47664557637042293,-0.5577347334868108,-0.4972592182118698,0.3,-0.029630427352894173,-0.020080521241052716,0.11072786620566713,-0.15719378492336852,62.2321,29.299500000000002,1.0,1.0
liq_top_30_then_liquidity_detail,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.15,-0.46014889995276664,-0.47664557637042293,-0.5577347334868108,-0.4972592182118698,0.3,-0.029630427352894173,-0.020080521241052716,0.11072786620566713,-0.15719378492336852,62.2321,29.299500000000002,1.0,1.0
liq_top_10_then_liquidity_detail,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.1,-0.4650043055995181,-0.4813585908137634,-0.5627471411741394,-0.5017865986233914,0.3,-0.030142797226864436,-0.026419263813773394,0.11072786620566713,-0.15719378492336852,62.3338,29.358400000000007,1.0,1.0
tiered_liquidity_then_liquidity_detail,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.15,-0.4864359508888185,-0.5021678852662839,-0.5847358254250787,-0.5217762662160821,0.3,-0.032049311354019845,-0.026419263813773394,0.11072786620566713,-0.15719378492336852,62.218399999999995,29.3299,1.0,1.0
baseline_b_score_v2,train,0.0015,20,2026-02-13,2026-03-23,5.0,5.0,-0.5201839661428793,-0.5349319445740872,-0.6188720470496427,-0.6249607777936586,0.35,-0.035293287578234016,-0.04260821001315772,0.09536422412015445,-0.14981556438713511,72.2365,24.4005,1.0,1.0
liq_top_30_then_dynamic_factor,train,0.0015,20,2026-02-13,2026-03-23,4.95,0.35,-0.5685588855832497,-0.5818823596496268,-0.6666993977563241,-0.6119613629830427,0.35,-0.040948554200090095,-0.05046381280867092,0.0627369257243347,-0.13405857520576486,74.27172500000002,28.635174999999993,1.0,1.0
