trade_date,symbol,action,s60_shares,entry_price,in_risk,epc_shares,exit_price,fwd_5d,fwd_10d,fwd_20d
2024-12-02,300377,SKIPPED_BUY,1100.0,35.97,False,,,-0.026967,-0.121212,-0.133445
2024-12-04,600843,SKIPPED_BUY,2600.0,15.6,False,,,0.015385,-0.141667,-0.242308
2024-12-12,688165,SKIPPED_BUY,2400.0,34.4,False,,,-0.06657,-0.189826,-0.04186
2024-12-13,600887,SKIPPED_BUY,2300.0,29.25,False,,,-0.001709,0.030769,-0.02735
2024-12-16,300502,SKIPPED_BUY,100.0,132.18,False,,,-0.056968,-0.088818,-0.139885
2024-12-18,601919,SKIPPED_BUY,2100.0,14.98,False,,,0.004673,0.003338,-0.038051
2024-12-26,601398,SKIPPED_BUY,9000.0,6.93,False,,,-0.031746,-0.037518,-0.037518
2024-12-27,603083,SKIPPED_BUY,1500.0,45.23,False,,,-0.100155,-0.170683,-0.118284
2024-12-31,600584,SKIPPED_BUY,1300.0,40.86,False,,,-0.095448,-0.021292,0.034753
2025-01-02,601988,SKIPPED_BUY,7300.0,5.37,False,,,0.01676,0.020484,-0.01676
2025-01-10,000333,SKIPPED_BUY,800.0,76.37,False,,,-0.02645,-0.046484,-0.056698
2025-01-15,000831,SKIPPED_BUY,1800.0,29.23,False,,,-0.040027,0.03729,0.050633
2025-01-16,300493,SKIPPED_BUY,1200.0,30.61,False,,,0.036263,-0.082979,-0.108135
2025-02-06,300442,SKIPPED_BUY,700.0,62.08,False,,,-0.088112,-0.079414,0.099388
2025-02-06,603893,SKIPPED_BUY,100.0,186.52,False,,,-0.088784,-0.054311,-0.106423
2025-02-07,600580,SKIPPED_BUY,1600.0,26.54,False,,,-0.065561,0.061417,0.076865
2025-02-17,000938,SKIPPED_BUY,2000.0,30.99,False,,,0.06486,-0.057761,-0.053566
2025-02-19,603501,SKIPPED_BUY,400.0,157.96,False,,,-0.059952,-0.08154,-0.113067
2025-02-20,300251,SKIPPED_BUY,1000.0,27.38,False,,,-0.113221,-0.1187,-0.168736
2025-02-20,300718,SKIPPED_BUY,300.0,107.0,False,,,-0.051308,0.012523,-0.107009
2025-03-03,688525,SKIPPED_BUY,900.0,70.88,False,,,0.102427,0.122743,0.008888
2025-03-05,300035,SKIPPED_BUY,3200.0,17.48,False,,,-0.025172,0.007437,-0.066934
2025-03-06,300458,SKIPPED_BUY,200.0,61.5,False,,,-0.079024,-0.067317,-0.194797
2025-03-06,300476,SKIPPED_BUY,500.0,58.21,False,,,0.232434,0.455076,0.25408
2025-03-17,002155,SKIPPED_BUY,2100.0,23.93,False,,,-0.040953,-0.044296,0.065608
2025-03-19,601899,SKIPPED_BUY,2900.0,18.05,False,,,0.00831,-0.030471,-0.012742
2025-03-20,000333,SKIPPED_BUY,600.0,75.17,False,,,0.017693,-0.024079,-0.056539
2025-03-21,300100,SKIPPED_BUY,300.0,65.7,False,,,-0.074429,-0.114612,0.083257
2025-03-24,002553,SKIPPED_BUY,1800.0,23.09,False,,,-0.117367,-0.310091,-0.188826
2025-03-31,000737,SKIPPED_BUY,6400.0,10.5,False,,,-0.217143,-0.142857,-0.16381
2025-04-02,600276,SKIPPED_BUY,1000.0,50.85,False,,,-0.046214,-0.040708,0.00295
2025-04-03,300760,SKIPPED_BUY,200.0,225.27,False,,,-0.046034,-0.036356,-0.012696
2025-04-07,601288,SKIPPED_BUY,6500.0,5.03,False,,,0.029821,0.067594,0.081511
2025-04-10,603501,SKIPPED_BUY,200.0,123.0,False,,,-0.004878,-0.010569,0.067073
2025-04-15,600171,SKIPPED_BUY,1700.0,37.04,False,,,-0.00351,-0.058585,-0.085043
2025-04-17,002155,SKIPPED_BUY,1400.0,24.33,False,,,-0.045212,-0.027949,-0.076449
2025-04-18,600988,SKIPPED_BUY,1600.0,28.18,False,,,-0.038325,-0.02626,-0.012775
2025-04-21,002261,SKIPPED_BUY,1300.0,30.2,False,,,0.039735,0.115232,0.027483
2025-04-24,300773,SKIPPED_BUY,900.0,24.61,False,,,-0.108086,-0.097928,-0.215766
2025-04-29,300766,SKIPPED_BUY,1600.0,38.49,False,,,-0.009873,0.063393,-0.104962
2025-05-06,600839,SKIPPED_BUY,4000.0,11.24,False,,,-0.029359,-0.060498,-0.11121
2025-05-07,300548,SKIPPED_BUY,800.0,49.98,False,,,0.042617,-0.04962,0.089036
2025-05-08,000158,SKIPPED_BUY,1900.0,24.42,False,,,0.006143,-0.051597,-0.072891
2025-05-13,002130,SKIPPED_BUY,800.0,20.97,False,,,-0.051502,-0.076776,0.02289
2025-05-16,601919,SKIPPED_BUY,3800.0,16.05,False,,,0.031776,0.021184,0.004361
2025-05-21,300750,SKIPPED_BUY,200.0,274.08,False,,,-0.074723,-0.082385,-0.116681
2025-05-21,300963,SKIPPED_BUY,200.0,28.71,False,,,0.243817,0.012191,-0.151515
2025-05-23,600418,SKIPPED_BUY,1500.0,40.81,False,,,-0.061505,-0.055624,0.018378
2025-05-29,601229,SKIPPED_BUY,1700.0,10.59,False,,,0.004721,-0.017941,0.003777
2025-05-30,002639,SKIPPED_BUY,6300.0,11.67,False,,,0.12168,-0.035133,-0.104542
2025-06-05,002550,SKIPPED_BUY,4100.0,8.22,False,,,0.131387,0.027981,0.141119
2025-06-09,300255,SKIPPED_BUY,1100.0,52.09,False,,,0.000768,-0.051065,-0.10789
2025-06-17,300085,SKIPPED_BUY,1600.0,38.9,False,,,0.039846,0.130077,0.075321
