degraded_trade_date,symbol,strategy,production_strategy,candidate_rank,is_recovery_event,is_shadow_incremental_day,is_common_execution_risk,is_shadow_incremental_symbol,position_diff,theory_gap,monitor_execution_feasibility,candidate_degraded_reasons,candidate_hard_block_reasons,candidate_warning_reasons,execution_hard_block,execution_slippage_warning,execution_v22_severity,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact
2026-02-09,600487,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,4,False,False,True,False,0.0,-0.0194534953983847,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0373297002724795,0.0,0.0,0.0,0.0373297002724795,0.0
2026-02-09,000547,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,5,False,False,True,False,0.0,-0.0194534953983847,degraded_large_slippage_proxy,,,,False,False,pass,0.0161449752883031,0.0,0.0,0.0,0.0161449752883031,0.0
2026-02-24,300766,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,1,False,False,True,False,0.0,0.0401421954374869,degraded_large_slippage_proxy,large_slippage_proxy|open_gap_proxy,open_gap_proxy,,True,False,hard_block,0.077656405163853,0.0,0.0,0.0,-0.077656405163853,0.0
2026-02-24,603667,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,2,False,False,True,False,0.0,0.0401421954374869,degraded_large_slippage_proxy,,,,False,False,pass,0.0026478375992938,0.0,0.0,0.0,-0.0026478375992938,0.0
2026-02-24,688521,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,3,False,False,True,False,0.0,0.0401421954374869,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0344827586206897,0.0,0.0,0.0,0.0344827586206897,0.0
2026-02-24,300251,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,4,False,False,True,False,0.0,0.0401421954374869,degraded_large_slippage_proxy,large_slippage_proxy|limit_down_sell_ratio|open_gap_proxy,open_gap_proxy|limit_down_sell_ratio,,True,False,hard_block,0.1498897869213813,0.0,0.0,1.0,-0.1498897869213813,0.0
2026-02-24,601869,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,5,False,False,True,False,0.0,0.0401421954374869,degraded_large_slippage_proxy,large_slippage_proxy|open_gap_proxy,open_gap_proxy,,True,False,hard_block,0.0684661886686348,0.0,0.0,0.0,0.0684661886686348,0.0
2026-03-03,601872,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,1,False,False,True,False,0.0,-0.0078936237164409,degraded_large_slippage_proxy,large_slippage_proxy|open_gap_proxy,open_gap_proxy,,True,False,hard_block,0.0582306830907053,0.0,0.0,0.0,0.0582306830907053,0.0
2026-03-03,000960,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,2,False,False,True,False,0.0,-0.0078936237164409,degraded_large_slippage_proxy,large_slippage_proxy|open_gap_proxy,open_gap_proxy,,True,False,hard_block,0.0637295102817432,0.0,0.0,0.0,-0.0637295102817432,0.0
2026-03-03,600410,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,3,False,False,True,False,0.0,-0.0078936237164409,degraded_large_slippage_proxy,,,,False,False,pass,0.019346230820547,0.0,0.0,0.0,-0.019346230820547,0.0
2026-03-03,300395,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,4,False,False,True,False,0.0,-0.0078936237164409,degraded_large_slippage_proxy,,,,False,False,pass,0.01003861003861,0.0,0.0,0.0,0.01003861003861,0.0
2026-03-03,600010,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,5,False,False,True,False,0.0,-0.0078936237164409,degraded_large_slippage_proxy,,,,False,False,pass,0.0150602409638553,0.0,0.0,0.0,-0.0150602409638553,0.0
2026-03-04,601872,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,1,False,False,True,False,0.0,0.0039175326913386,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0432569974554706,0.0,0.0,0.0,-0.0432569974554706,0.0
2026-03-04,300395,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,2,False,False,True,False,0.0,0.0039175326913386,degraded_large_slippage_proxy,,,,False,False,pass,0.0111180289958195,0.0,0.0,0.0,-0.0111180289958195,0.0
2026-03-04,600549,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,3,False,False,True,False,0.0,0.0039175326913386,degraded_large_slippage_proxy,large_slippage_proxy|open_gap_proxy,open_gap_proxy,,True,False,hard_block,0.072505953956073,0.0,0.0,0.0,-0.072505953956073,0.0
2026-03-04,000960,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,4,False,False,True,False,0.0,0.0039175326913386,degraded_large_slippage_proxy,large_slippage_proxy|open_gap_proxy,open_gap_proxy,,True,False,hard_block,0.0582864533400864,0.0,0.0,0.0,-0.0582864533400864,0.0
