month,strategy,monthly_return,max_drawdown,avg_position,calmar,return_per_exposure,worst_20d_return,trade_count,shadow_fail_ratio,champion_score,is_production_candidate
2024-08,baseline_full_liquidity,-0.08082508520496234,-0.1045950775613127,0.5567012759317089,-0.7727427245090325,-0.1451857373053286,-0.10459507756131259,26,,-0.9987535470193234,False
2024-08,production_governed_adaptive,-0.08334323385394571,-0.09885779827781238,0.36460129035243843,-0.8430618049952185,-0.2285873255505562,-0.09885779827781294,16,,-1.1549923643997204,False
2024-08,production_governed_adaptive_pattern_guard,-0.08334323385394571,-0.09885779827781238,0.36460129035243843,-0.8430618049952185,-0.2285873255505562,-0.09885779827781294,16,,-1.1549923643997204,False
2024-08,adaptive_market_style,-0.06222162429732525,-0.07210243697474328,0.25914300742839874,-0.8629614602225002,-0.24010535694086632,-0.07210243697474328,17,,-1.1652884414606917,False
2024-08,baseline_full_liquidity_detail,-0.09967088154603998,-0.10406514447205373,0.6973761225517529,-0.957773921822654,-0.14292270458205045,-0.10406514447205362,22,,-1.2003675079507445,False
2024-08,baseline_full_liquidity_detail_vol_position,-0.10424492848847933,-0.10669772166065761,0.697470070058718,-0.9770117568210204,-0.1494615080467944,-0.1066977216606575,22,,-1.230718193356294,False
2024-08,production_governed_vol_position,-0.07802058154474611,-0.07802058154474611,0.44328543702823153,-1.0,-0.176005289205513,-0.0727709775663209,22,,-1.2540258707502592,False
2024-08,production_governed_vol_position_pattern_guard,-0.07802058154474611,-0.07802058154474611,0.44328543702823153,-1.0,-0.176005289205513,-0.0727709775663209,22,,-1.2540258707502592,False
2024-08,baseline_full_liquidity_detail_vol_position_pattern_rerank,-0.11283366503959047,-0.11283366503959047,0.6935538017796806,-1.0,-0.16268913060537737,-0.10859787202382376,22,,-1.275522795644968,False
2024-08,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,-0.11283366503959047,-0.11283366503959047,0.6935538017796806,-1.0,-0.16268913060537737,-0.10859787202382376,22,,-1.275522795644968,False
2024-09,adaptive_market_style,0.06513638656400422,-0.013415501406942698,0.3322266593048621,4.855307646592716,0.19606008349929838,0.06513638656400378,19,,5.116504116656019,False
2024-09,production_governed_adaptive,0.08468261692110146,-0.025790275530103157,0.42762400794956873,3.2835095857063434,0.19803054867557482,0.08468261692110124,19,,3.5662227513030196,True
2024-09,production_governed_adaptive_pattern_guard,0.08468261692110146,-0.025790275530103157,0.42762400794956873,3.2835095857063434,0.19803054867557482,0.08468261692110124,19,,3.5662227513030196,False
2024-09,baseline_full_liquidity_detail,0.10339025422745296,-0.05854616005623137,0.6899950836602446,1.7659613222822905,0.14984201579958298,0.10339025422745274,19,,2.0191935923093265,False
2024-09,baseline_full_liquidity_detail_vol_position_pattern_rerank,0.09904846599333661,-0.05844796471543601,0.6871508928632741,1.694643542774691,0.14414369103213082,0.09904846599333683,21,,1.9378356998001585,False
2024-09,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,0.09904846599333661,-0.05844796471543601,0.6871508928632741,1.694643542774691,0.14414369103213082,0.09904846599333683,21,,1.9378356998001585,False
2024-09,baseline_full_liquidity_detail_vol_position,0.09773928143929389,-0.05770149577226391,0.6890841019299817,1.6938777778838003,0.14183940852146557,0.09773928143929411,20,,1.9334564678445598,False
2024-09,baseline_full_liquidity,0.08579661119852555,-0.05470828552221618,0.5273427056006065,1.568256259167268,0.1626961182686868,0.08579661119852511,28,,1.8167489886344803,False
