split,factor,horizon,mean_ic,ic_std,ic_ir,positive_ic_ratio,n_days
crisis_2024,liquidity,40,0.03368046568353127,0.24572400666000915,0.13706624005253398,0.5247933884297521,242
crisis_2024,market_beta,5,5.7501778458904066e-05,0.25336393623086795,0.000226953288278991,0.49586776859504134,242
crisis_2024,market_beta,10,0.017341097999985053,0.24827776179587374,0.06984555473092417,0.5082644628099173,242
crisis_2024,market_beta,20,0.01951512423398703,0.24900446136841436,0.07837258869476015,0.5454545454545454,242
crisis_2024,market_beta,40,0.029100433862863224,0.19929329836095783,0.1460181255576233,0.5578512396694215,242
crisis_2024,momentum,5,-0.058040200607837385,0.19650324614583017,-0.2953650982679657,0.3512396694214876,242
crisis_2024,momentum,10,-0.08187229121580715,0.17184082486790225,-0.4764426106470575,0.29338842975206614,242
crisis_2024,momentum,20,-0.09526575663026005,0.17595504609319865,-0.5414209978371427,0.25206611570247933,242
crisis_2024,momentum,40,-0.10404047427656096,0.1381694483750364,-0.7529918914792335,0.19008264462809918,242
crisis_2024,score,5,0.012909031545829711,0.20084599256239613,0.06427328412748542,0.5743801652892562,242
crisis_2024,score,10,0.01796710962324805,0.20794207647662372,0.08640439649196185,0.6198347107438017,242
crisis_2024,score,20,0.014720332579425439,0.22142690902255502,0.0664794204299984,0.6363636363636364,242
crisis_2024,score,40,0.026136741189630542,0.2176640485992093,0.12007835633782973,0.6198347107438017,242
crisis_2024,size,5,-0.008398748307837219,0.2421036768366364,-0.034690709441411824,0.5165289256198347,242
crisis_2024,size,10,-0.0006856831356879855,0.26329623156279214,-0.0026042269257638825,0.5867768595041323,242
crisis_2024,size,20,0.00039942984213526997,0.2867655574149598,0.0013928794159797965,0.6157024793388429,242
crisis_2024,size,40,0.026144564888024392,0.28388241671167946,0.09209645736733914,0.5165289256198347,242
crisis_2024,value,5,-0.007735864774784121,0.13515632611650097,-0.05723642390305891,0.49173553719008267,242
crisis_2024,value,10,-0.025146935489025593,0.1387633551368796,-0.1812217315170856,0.48760330578512395,242
crisis_2024,value,20,-0.04174270305375781,0.135654821703486,-0.3077126380734104,0.45041322314049587,242
crisis_2024,value,40,-0.06175466172654194,0.12717074524158423,-0.4856043078872236,0.34297520661157027,242
crisis_2024,volatility,5,0.06503094526084956,0.23278106905781065,0.27936526593019156,0.6322314049586777,242
crisis_2024,volatility,10,0.06477574549424892,0.2345137576707661,0.276212986980438,0.6570247933884298,242
