strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason,planned_shares,planned_price,filled_shares,filled_price,reject_reason,open_weight_drift_bps,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,risk_event_triggered,risk_event_types,missing_cap_risk_label,missed_risk_event
baseline_full_liquidity_detail_vol_position,2026-02-26,300502,新易盛,通信设备,SELL,538.3129,200,107662.58,80.74693500000001,399779.3934375,rebalance_unlocked,,,,,,,0.3164267946839045,0.30000000000000004,0.30000000000000004,0.016426794683904455,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-26,601872,招商轮船,水运,BUY,14.64,7600,111264.0,83.44800000000001,288431.9454375,rebalance_unlocked,7600.0,14.64,7600.0,14.64,,-18.320405228511305,0.3164267946839045,0.30000000000000004,0.30000000000000004,0.016426794683904455,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-02-26,688521,芯原股份,半导体,BUY,251.69,300,75507.0,56.630250000000004,212868.31518750003,rebalance_unlocked,300.0,251.69,300.0,251.69,,-148.92540049764798,0.3164267946839045,0.30000000000000004,0.30000000000000004,0.016426794683904455,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-09,300395,菲利华,玻璃,SELL,106.63,1000,106630.0,79.9725,319418.34268750006,rebalance_unlocked,,,,,,,0.30951049553778737,0.30000000000000004,0.30000000000000004,0.009510495537787322,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-09,001309,德明利,半导体,BUY,268.1023,400,107240.92000000001,80.43069000000001,212096.99199750007,rebalance_unlocked,400.0,268.1023,400.0,268.1023,,-96.72083613300548,0.30951049553778737,0.30000000000000004,0.30000000000000004,0.009510495537787322,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-10,300766,每日互动,互联网,SELL,44.16,1400,61823.99999999999,46.367999999999995,273874.62399750005,rebalance_unlocked,,,,,,,0.30273176139127034,0.30000000000000004,0.30000000000000004,0.002731761391270293,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-10,002261,拓维信息,软件服务,BUY,42.15,1500,63225.0,47.41875,210602.20524750004,rebalance_unlocked,1500.0,42.15,1500.0,42.15,,-28.257505792649575,0.30273176139127034,0.30000000000000004,0.30000000000000004,0.002731761391270293,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-11,600410,华胜天成,软件服务,SELL,31.2,3800,118560.0,88.92,329073.28524750005,rebalance_unlocked,,,,,,,0.30687248033161413,0.30000000000000004,0.30000000000000004,0.006872480331614084,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-11,300475,香农芯创,元器件,BUY,160.51,700,112357.0,84.26775,216632.01749750006,rebalance_unlocked,700.0,160.51,700.0,160.51,,-70.42484307637181,0.30687248033161413,0.30000000000000004,0.30000000000000004,0.006872480331614084,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-12,601872,招商轮船,水运,SELL,16.3,7600,123880.0,92.91,340419.1074975,rebalance_unlocked,,,,,,,0.30151648452671015,0.30000000000000004,0.30000000000000004,0.0015164845267101046,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-12,688521,芯原股份,半导体,SELL,220.16,300,66048.0,49.536,406417.57149750006,rebalance_unlocked,,,,,,,0.30151648452671015,0.30000000000000004,0.30000000000000004,0.0015164845267101046,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-12,601179,中国西电,电气设备,BUY,18.8,3400,63920.0,47.94,342449.63149750006,rebalance_unlocked,3400.0,18.8,3400.0,18.8,,-17.52375327991773,0.30151648452671015,0.30000000000000004,0.30000000000000004,0.0015164845267101046,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-12,601669,中国电建,建筑工程,BUY,6.48,20400,132192.0,99.144,210158.48749750006,rebalance_unlocked,20400.0,6.48,20400.0,6.48,,-0.5413290170286356,0.30151648452671015,0.30000000000000004,0.30000000000000004,0.0015164845267101046,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-23,001309,德明利,半导体,SELL,320.3373,400,128134.92000000001,96.10119000000002,338197.30630750005,rebalance_unlocked,,,,,,,0.33034170106149097,0.30000000000000004,0.30000000000000004,0.030341701061490922,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-23,300308,中际旭创,通信设备,BUY,591.0081,200,118201.62,88.651215,219907.03509250004,rebalance_unlocked,200.0,591.0081,200.0,591.0081,,-305.275016645182,0.33034170106149097,0.30000000000000004,0.30000000000000004,0.030341701061490922,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-24,002261,拓维信息,软件服务,SELL,35.0,1500,52500.0,39.375,272367.66009250004,rebalance_unlocked,,,,,,,0.4065569299153143,0.30000000000000004,0.30000000000000004,0.10655692991531424,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-25,300475,香农芯创,元器件,SELL,144.49,700,101143.0,75.85725000000001,373434.80284250004,rebalance_unlocked,,,,,,,0.3292246006625875,0.30000000000000004,0.30000000000000004,0.029224600662587474,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-25,001309,德明利,半导体,BUY,355.3142,100,35531.420000000006,26.648565000000005,337876.7342775,rebalance_unlocked,100.0,355.3142,100.0,355.3142,,-221.5409475263632,0.3292246006625875,0.30000000000000004,0.30000000000000004,0.029224600662587474,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-25,603259,药明康德,化学制药,BUY,96.1358,1200,115362.96,86.52222,222427.2520575,rebalance_unlocked,1200.0,96.1358,1200.0,96.1358,,-72.58128935746899,0.3292246006625875,0.30000000000000004,0.30000000000000004,0.029224600662587474,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-26,601179,中国西电,电气设备,SELL,16.62,3400,56508.0,42.381,278892.8710575,rebalance_unlocked,,,,,,,0.3926442938775787,0.30000000000000004,0.30000000000000004,0.09264429387757867,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-26,601669,中国电建,建筑工程,SELL,6.12,20400,124848.0,93.636,403647.2350575,rebalance_unlocked,,,,,,,0.3926442938775787,0.30000000000000004,0.30000000000000004,0.09264429387757867,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-26,603799,华友钴业,小金属,BUY,59.3076,2300,136407.48,102.30561000000002,267137.4494475,rebalance_unlocked,2300.0,59.3076,2300.0,59.3076,,-19.58880364513249,0.3926442938775787,0.30000000000000004,0.30000000000000004,0.09264429387757867,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-03-27,601689,拓普集团,汽车配件,BUY,57.5074,1100,63258.14,47.443605,203831.8658425,rebalance_unlocked,1100.0,57.5074,1100.0,57.5074,,-41.351868709322005,0.3040859345375461,0.30000000000000004,0.30000000000000004,0.0040859345375460765,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-04-07,300308,中际旭创,通信设备,SELL,608.719,200,121743.80000000002,91.30785000000002,325484.3579925,rebalance_unlocked,,,,,,,0.30698026209607976,0.30000000000000004,0.30000000000000004,0.006980262096079715,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-04-07,600487,亨通光电,通信设备,BUY,58.35,2000,116700.0,87.525,208696.8329925,rebalance_unlocked,2000.0,58.35,2000.0,58.35,,-71.62514501337813,0.30698026209607976,0.30000000000000004,0.30000000000000004,0.006980262096079715,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-04-09,001309,德明利,半导体,SELL,383.19,100,38319.0,28.739250000000002,246987.0937425,rebalance_unlocked,,,,,,,0.3350809611489295,0.30000000000000004,0.30000000000000004,0.035080961148929446,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-04-09,603259,药明康德,化学制药,SELL,105.3806,1200,126456.72,94.84254,373348.9712025,rebalance_unlocked,,,,,,,0.3350809611489295,0.30000000000000004,0.30000000000000004,0.035080961148929446,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-04-09,300433,蓝思科技,元器件,BUY,29.31,3600,105516.0,79.137,267753.8342025,rebalance_unlocked,3600.0,29.31,3600.0,29.31,,-38.17246047720685,0.3350809611489295,0.30000000000000004,0.30000000000000004,0.035080961148929446,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-04-09,601869,长飞光纤,通信设备,BUY,354.86,100,35486.0,26.6145,232241.2197025,rebalance_unlocked,100.0,354.86,100.0,354.86,,-314.83654301082595,0.3350809611489295,0.30000000000000004,0.30000000000000004,0.035080961148929446,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2026-04-10,603799,华友钴业,小金属,SELL,60.407,2300,138936.1,104.20207500000001,371073.1176275,rebalance_unlocked,,,,,,,0.33176677292105766,0.30000000000000004,0.30000000000000004,0.03176677292105762,0.0,0,0.0,0,0,0,,0,0
