strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio
adaptive_market_style,2026-05-13,2026-05-12,10852.294322500049,569227.0,580079.2943225,1.160158588645,5,0.9812917054121456,5,551561.0,5,0,562413.2943225,5,1.0,5,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.2094511072095342,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.0,1.0,attack_full_position,1.0
adaptive_market_style,2026-05-14,2026-05-13,10852.294322500049,552250.0,563102.2943225,1.126204588645,5,0.980727668077508,5,569235.0,5,0,580087.2943225,5,1.0,5,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.1870649476166444,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.0,1.0,attack_full_position,1.0
adaptive_market_style,2026-05-15,2026-05-14,3829.4393225000094,568610.0,572439.4393225,1.1448788786450002,5,0.9933103153636089,3,331116.0,5,4,567198.2943225,5,1.0,3,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.2052662155513825,index_strong,attack,tiered_liquidity_then_bs_v2,attack_risk_on_and_attack_not_failed,1.0,1.0,attack_full_position,1.0
adaptive_market_style,2026-05-18,2026-05-15,3829.4393225000094,561114.0,564943.4393225,1.129886878645,5,0.9932215527149189,5,555092.0,5,0,558921.4393225,5,0.8,5,balanced,baseline_full_liquidity_detail_market_gate,balanced_rolling_performance_leads,1.1762846008596137,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_rolling_performance_leads,0.8,0.8,balanced_reduce_to_80pct,0.8
adaptive_market_style,2026-05-19,2026-05-18,3829.4393225000094,557148.0,560977.4393225,1.121954878645,5,0.9931736304277675,5,557552.0,5,0,561381.4393225,5,0.8,5,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.0101623958070693,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.8,0.8,balanced_reduce_to_80pct,0.8
adaptive_market_style,2026-05-20,2026-05-19,115897.97657249996,448135.0,564032.9765725,1.128065953145,5,0.7945191480172212,2,226950.0,5,6,555323.4393225,5,0.8,2,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.9992111728295799,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.8,0.8,balanced_reduce_to_80pct,0.8
adaptive_market_style,2026-05-21,2026-05-20,115897.97657249996,461770.0,577667.9765725,1.1553359531449998,5,0.7993692202566568,5,472572.0,5,0,588469.9765725,5,0.8,3,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.0132792983993928,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.8,0.8,balanced_reduce_to_80pct,0.8
adaptive_market_style,2026-05-22,2026-05-21,115897.97657249996,483387.0,599284.9765725,1.1985699531449998,5,0.8066062372606817,5,458150.0,5,0,574047.9765725,5,0.8,3,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.175957155228334,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.8,0.8,balanced_reduce_to_80pct,0.8
adaptive_market_style,2026-05-25,2026-05-22,115897.97657249996,508472.0,624369.9765725,1.2487399531449999,5,0.8143761216567046,5,490808.0,5,0,606705.9765725,5,0.8,3,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.9699366631831262,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.8,0.8,balanced_reduce_to_80pct,0.8
adaptive_market_style,2026-05-26,2026-05-25,115897.97657249996,523739.0,639636.9765725,1.279273953145,5,0.8188066343607272,5,504775.0,5,0,620672.9765725,5,0.8,2,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.0617100477701853,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.8,0.8,balanced_reduce_to_80pct,0.8
adaptive_market_style,2026-05-27,2026-05-26,115897.97657249996,540186.0,656083.9765725,1.312167953145,5,0.8233488688780791,5,532850.0,5,0,648747.9765725,5,0.8,4,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.0662809659872674,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.8,0.8,balanced_reduce_to_80pct,0.8
adaptive_market_style,2026-05-28,2026-05-27,115897.97657249996,525413.0,641310.9765725,1.2826219531449998,5,0.8192795994356449,5,526087.0,5,0,641984.9765725,5,0.8,3,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.051517125115213,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.8,0.8,balanced_reduce_to_80pct,0.8
adaptive_market_style,2026-05-29,2026-05-28,160692.52257249996,472878.0,633570.5225724999,1.2671410451449998,5,0.7463699511775947,3,273958.0,5,4,640059.9765725,5,0.8,1,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.9604919110208976,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.8,0.8,balanced_reduce_to_80pct,0.8
adaptive_market_style,2026-06-01,2026-05-29,160692.52257249996,456806.0,617498.5225724999,1.2349970451449999,5,0.7397685715861236,5,472735.0,5,0,633427.5225724999,5,0.8,2,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,1.0604143873073542,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_default_with_enough_history,0.8,0.8,balanced_reduce_to_80pct,0.8
adaptive_market_style,2026-06-02,2026-06-01,160692.52257249996,467244.0,627936.5225724999,1.2558730451449998,5,0.7440943203714564,5,458071.0,5,0,618763.5225724999,5,0.8,2,balanced,baseline_full_liquidity_detail_market_gate,balanced_rolling_performance_leads,0.9155053347580117,index_neutral,balanced,baseline_full_liquidity_detail_market_gate,balanced_rolling_performance_leads,0.8,0.8,balanced_reduce_to_80pct,0.8
