strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_cap_skipped
baseline_full_dynamic_factor_industry_cap2,2026-03-02,2026-02-27,2455.4755199998326,674270.0,676725.4755199999,1.3534509510399997,5,0.9963715337920254,5.0,680297.0,5.0,0.0,682752.4755199999,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-03-03,2026-03-02,2455.4755199998326,626572.0,629027.4755199999,1.2580549510399996,5,0.9960963938531143,5.0,674753.0,5.0,0.0,677208.4755199999,5.0,3.0
baseline_full_dynamic_factor_industry_cap2,2026-03-04,2026-03-03,8418.71676999981,641038.0,649456.7167699998,1.2989134335399997,5,0.9870372935522642,2.0,356622.0,5.0,6.0,599409.4755199999,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-03-05,2026-03-04,5066.627769999788,649270.0,654336.6277699998,1.3086732555399996,5,0.9922568483025824,3.0,246282.0,5.0,4.0,656052.7167699998,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-03-06,2026-03-05,5066.627769999788,640506.0,645572.6277699998,1.2911452555399996,5,0.9921517308013795,5.0,637039.0,5.0,0.0,642105.6277699998,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-03-09,2026-03-06,5066.627769999788,648357.0,653423.6277699998,1.3068472555399995,5,0.992246029138415,5.0,663808.0,5.0,0.0,668874.6277699998,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-03-10,2026-03-09,5066.627769999788,654578.0,659644.6277699998,1.3192892555399995,5,0.9923191555624002,5.0,613939.0,5.0,0.0,619005.6277699998,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-03-11,2026-03-10,5066.627769999788,678863.0,683929.6277699998,1.3678592555399995,5,0.9925918872874101,5.0,654507.0,5.0,0.0,659573.6277699998,5.0,3.0
baseline_full_dynamic_factor_industry_cap2,2026-03-12,2026-03-11,5066.627769999788,666182.0,671248.6277699998,1.3424972555399997,5,0.9924519357501974,5.0,685382.0,5.0,0.0,690448.6277699998,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-03-13,2026-03-12,7409.580019999776,646249.0,653658.5800199998,1.3073171600399995,5,0.9886644492300964,2.0,427325.0,5.0,6.0,672440.6277699998,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-03-16,2026-03-13,14100.770929999766,619507.66,633608.4309299998,1.2672168618599995,5,0.9777452915055077,3.0,231232.0,5.0,4.0,641412.5800199998,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-03-17,2026-03-13,14100.770929999766,599582.9199999999,613683.6909299997,1.2273673818599993,5,0.9770227380352394,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-03-18,2026-03-17,14100.770929999766,618136.58,632237.3509299997,1.2644747018599996,5,0.9776970295898241,5.0,604330.1,5.0,0.0,618430.8709299997,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-03-19,2026-03-18,14100.770929999766,596690.22,610790.9909299997,1.2215819818599996,5,0.9769139179532925,5.0,601243.78,5.0,0.0,615344.5509299998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-03-20,2026-03-19,14100.770929999766,581260.7,595361.4709299997,1.1907229418599994,5,0.9763156139278323,5.0,598881.04,5.0,0.0,612981.8109299998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-03-23,2026-03-20,14100.770929999766,564124.04,578224.8109299998,1.1564496218599996,5,0.9756136875079426,5.0,564772.38,5.0,0.0,578873.1509299998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-03-24,2026-03-23,9310.653179999761,596005.16,605315.8131799998,1.2106316263599997,5,0.98461851982507,2.0,359931.0,5.0,6.0,581872.7709299998,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-03-25,2026-03-24,596.2517899997765,610016.0,610612.2517899998,1.2212245035799996,5,0.9990235181356878,3.0,213869.0,5.0,4.0,607728.1731799998,5.0,3.0
baseline_full_dynamic_factor_industry_cap2,2026-03-26,2026-03-25,596.2517899997765,606558.0,607154.2517899998,1.2143085035799996,5,0.9990179566588854,5.0,599145.0,5.0,0.0,599741.2517899998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-03-27,2026-03-26,596.2517899997765,608712.0,609308.2517899998,1.2186165035799996,5,0.9990214283357428,5.0,598978.0,5.0,0.0,599574.2517899998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-03-30,2026-03-27,596.2517899997765,586268.0,586864.2517899998,1.1737285035799996,5,0.9989840039017862,5.0,595025.0,5.0,0.0,595621.2517899998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-03-31,2026-03-30,596.2517899997765,578728.0,579324.2517899998,1.1586485035799996,5,0.998970780546201,5.0,579034.0,5.0,0.0,579630.2517899998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-04-01,2026-03-31,596.2517899997765,586528.0,587124.2517899998,1.1742485035799997,5,0.9989844538218581,5.0,583171.0,5.0,0.0,583767.2517899998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-04-02,2026-04-01,4268.957289999773,589875.0,594143.9572899998,1.1882879145799996,5,0.9928149445304951,2.0,384756.0,5.0,6.0,588202.2517899998,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-04-03,2026-04-02,416.40953999976045,569320.0,569736.4095399998,1.1394728190799996,5,0.9992691189591763,3.0,199575.0,5.0,4.0,585903.9572899998,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-04-07,2026-04-03,416.40953999976045,566844.0,567260.4095399998,1.1345208190799996,5,0.9992659287815671,5.0,570566.0,5.0,0.0,570982.4095399998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-04-08,2026-04-03,416.40953999976045,581528.0,581944.4095399998,1.1638888190799996,5,0.9992844513441946,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-04-09,2026-04-08,416.40953999976045,570156.0,570572.4095399998,1.1411448190799995,5,0.9992701898426257,5.0,581424.0,5.0,0.0,581840.4095399998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-04-10,2026-04-09,416.40953999976045,569390.0,569806.4095399998,1.1396128190799997,5,0.9992692087469919,5.0,568349.0,5.0,0.0,568765.4095399998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-04-13,2026-04-09,416.40953999976045,570848.0,571264.4095399998,1.1425288190799996,5,0.9992710738967003,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-04-14,2026-04-13,31764.735789999744,552368.0,584132.7357899997,1.1682654715799994,5,0.9456206888541522,2.0,377732.0,5.0,6.0,571738.4095399998,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-04-15,2026-04-14,96982.67269999976,475438.45999999996,572421.1326999997,1.1448422653999994,5,0.8305746116630054,3.0,171968.0,5.0,4.0,584564.7357899997,5.0,3.0
baseline_full_dynamic_factor_industry_cap2,2026-04-16,2026-04-14,96982.67269999976,503187.48,600170.1526999997,1.2003403053999995,5,0.838408037681145,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-04-17,2026-04-14,96982.67269999976,534304.26,631286.9326999998,1.2625738653999996,5,0.8463730711402387,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-04-20,2026-04-14,96982.67269999976,527725.02,624707.6926999998,1.2494153853999996,5,0.8447551169398305,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-04-21,2026-04-14,96982.67269999976,528986.54,625969.2126999998,1.2519384253999997,5,0.8450679830056125,,,,,,,
