trade_date,production_strategy,shadow_strategy,production_target_position,shadow_target_position,position_diff,production_risk_decision,shadow_risk_decision,risk_decision_diff,shadow_recovery_status,shadow_risk_governor_reasons,top5_overlap,production_top5,shadow_top5,buy_list_added_by_shadow,buy_list_removed_by_shadow,sell_list_added_by_shadow,sell_list_removed_by_shadow,production_estimated_order_value,shadow_estimated_order_value,estimated_order_value_diff,production_theory_return,shadow_theory_return,theory_gap,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_feasibility,fp_explanation_label
2026-02-03,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002149|300394|300502|601899|603993,002149|300394|300502|601899|603993,603993,300394,000338,688525,102750.0,190754.0,88004.0,0.02568902150002339,0.009866576612698408,-0.015822444887324982,0.0344014792017196,0.0,0.0,0.0,0.0344014792017196,2.1457447955500323e-06,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-02-04,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002149|300394|300502|603993|688008,002149|300394|300502|603993|688008,,,,,0.0,0.0,0.0,-0.006581805588530498,-0.009781169077226148,-0.00319936348869565,0.031162407878767683,0.0,0.0,0.0,-0.012274556603367801,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-02-05,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002149|300308|300394|300502|600519,002149|300308|300394|300502|600519,,,,,0.0,0.0,0.0,-0.033302682224821245,-0.03565188815964604,-0.002349205934824794,0.02512983329008176,0.0,0.0,0.0,-0.024408400669869438,0.0,pass,unknown_pending_forward_return
2026-02-06,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.5,0.5,0.0,reduce_position,reduce_position,False,blocked_non_whitelisted_reason,low_liquidity,1.0,000547|002149|300394|300548|600519,000547|002149|300394|300548|600519,,,,,0.0,0.0,0.0,-0.005649023222681238,-0.008041810274241556,-0.002392787051560319,0.01505184288371048,0.0,0.0,0.0,-0.012320600327140479,0.0,pass,unknown_pending_forward_return
2026-02-09,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.5,0.5,0.0,reduce_position,reduce_position,False,blocked_non_whitelisted_reason,low_liquidity,1.0,000547|002149|300394|300502|600487,000547|002149|300394|300502|600487,,,,,0.0,0.0,0.0,0.03367996972869336,0.014226474330308658,-0.0194534953983847,0.03927192711667824,0.0,0.0,0.0,0.03760616575509944,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-02-10,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.5,0.5,0.0,reduce_position,reduce_position,False,blocked_non_whitelisted_reason,low_liquidity,1.0,002149|300394|300502|300548|688498,002149|300394|300502|300548|688498,,,600988,,0.0,11115.0,11115.0,-0.0046101680818879665,-0.0014699055774798353,0.003140262504408131,0.0180195272645464,0.0,0.0,0.0,0.004591707022147841,0.0,pass,unknown_pending_forward_return
2026-02-11,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.5,0.5,0.0,reduce_position,reduce_position,False,blocked_non_whitelisted_reason,low_liquidity,1.0,002149|300251|600487|603667|688498,002149|300251|600487|603667|688498,,,,601899,233060.0,138731.0,-94329.0,0.002839379757057614,0.013790591056792367,0.010951211299734753,0.028403160134519656,0.0,0.0,0.0,-0.009974763757474182,1.3519127257562588e-06,pass,unknown_pending_forward_return
2026-02-12,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.5,0.5,0.0,reduce_position,reduce_position,False,blocked_non_whitelisted_reason,low_liquidity,1.0,002384|300251|300395|600977|603881,002384|300251|300395|600977|603881,,300395,,600547,115800.0,0.0,-115800.0,0.019580590202242343,-0.0008142102823203157,-0.02039480048456266,0.02796196629930246,0.0,0.0,0.0,-0.008069449856806658,0.0,pass,unknown_pending_forward_return
2026-02-13,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002384|300394|300395|300766|688521,002384|300394|300395|300766|688521,300395,688521,600547,603993,173250.0,290200.0,116950.0,0.001484535166897949,-0.03185401201807392,-0.03333854718497187,0.01822645188834088,0.0,0.0,0.0,-0.01822645188834088,1.7823545189357745e-05,pass,unknown_pending_forward_return
2026-02-24,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.5,0.5,0.0,reduce_position,reduce_position,False,blocked_non_whitelisted_reason,low_liquidity,1.0,300251|300766|601869|603667|688521,300251|300766|601869|603667|688521,,,601899,,0.0,51337.0,51337.0,8.050977313800445e-05,0.04022270521062499,0.04014219543748698,0.06662859539477052,0.0,0.0,0.2,-0.02544901647904072,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-02-25,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,300395|600150|600410|601872|688521,300395|600150|600410|601872|688521,688521,,603993,300394,152096.0,240138.0,88042.0,0.017776629565519064,0.07789749360607345,0.06012086404055439,0.018629529892845283,0.0,0.0,0.0,0.0016923937002919997,4.360404019119939e-06,pass,unknown_pending_forward_return
2026-02-26,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,300395|600150|600410|601872|688521,300395|600150|600410|601872|688521,,,,,0.0,0.0,0.0,0.037717200384501215,0.04243399822915328,0.004716797844652065,0.01045193414838194,0.0,0.0,0.0,-0.00285679244797706,0.0,pass,unknown_pending_forward_return
2026-02-27,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,300395|300476|601872|603228|688521,300395|300476|601872|603228|688521,,,,,0.0,0.0,0.0,0.03785317557452483,0.031763811205522074,-0.006089364369002759,0.026414057366515163,0.0,0.0,0.0,-0.016414057366515123,0.0,pass,unknown_pending_forward_return
2026-03-02,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,002463|300395|600410|601872|688521,002463|300395|600410|601872|688521,,,,,0.0,0.0,0.0,-0.006862146609787456,-0.011906470633312183,-0.005044324023524727,0.025328281390423903,0.0,0.0,0.0,0.005706201368196819,0.0,pass,unknown_pending_forward_return
2026-03-03,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000960|300395|600010|600410|601872,000960|300395|600010|600410|601872,,,,,0.0,0.0,0.0,-0.07258641762128148,-0.08048004133772246,-0.007893623716440978,0.033281055039092164,0.0,0.0,0.0,-0.00597333778736604,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-03-04,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000960|002756|300395|600549|601872,000960|002756|300395|600549|601872,,,,,0.0,0.0,0.0,-0.0053976231988394074,-0.001480090507500753,0.003917532691338654,0.03989019545637332,0.0,0.0,0.0,-0.03989019545637332,0.0,degraded_large_slippage_proxy,unknown_pending_forward_return
2026-03-05,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000960|002261|002353|600549|601872,000960|002261|002353|600549|601872,,,,,119920.0,32051.0,-87869.0,0.008701689219174025,0.008578521726805954,-0.00012316749236807034,0.019908523012233562,0.0,0.0,0.0,0.011551662481459963,5.166378209965667e-07,pass,unknown_pending_forward_return
2026-03-06,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,001309|002261|002281|600549|601872,001309|002261|002281|600549|601872,,001309,,300395,118833.98000000001,0.0,-118833.98000000001,0.01246197079368705,-0.002469824973215462,-0.014931795766902511,0.0104207437439082,0.0,0.0,0.0,-0.00716610855649996,0.0,pass,unknown_pending_forward_return
2026-03-09,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,001309|002261|002281|600549|601872,001309|002261|002281|600549|601872,001309,002261,300395,688521,240567.0,427741.84,187174.84000000003,0.005324857792166293,0.0039081596906811455,-0.0014166981014851476,0.021560640207569197,0.0,0.0,0.0,-0.00490406524376764,8.839829797342097e-06,pass,unknown_pending_forward_return
2026-03-10,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,000933|001309|002261|601868|601872,000933|001309|002261|601868|601872,,,,,0.0,0.0,0.0,0.009480521880958381,0.03330549202011168,0.0238249701391533,0.02250666052457188,0.0,0.0,0.0,-0.0056359611532599205,0.0,pass,unknown_pending_forward_return
2026-03-11,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,001309|002261|300475|601868|601872,001309|002261|300475|601868|601872,002261,,688521,,202386.0,326146.0,123760.0,-0.014702686489228345,-0.0035986134491851063,0.011104073040043239,0.005490070563516061,0.0,0.0,0.0,-0.00421618521319766,5.086958501294329e-06,pass,unknown_pending_forward_return
2026-03-12,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,001309|002261|002281|601179|601669,001309|002261|002281|601179|601669,,,,,0.0,0.0,0.0,-0.017877294530258325,-0.015241557090304947,0.0026357374399533784,0.00902252640377856,0.0,0.0,0.0,-0.0008198241266770799,0.0,pass,unknown_pending_forward_return
2026-03-13,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,001309|002281|300827|601669|601868,001309|002281|300827|601669|601868,,,,,0.0,0.0,0.0,-0.012950226907041062,0.026818388132260562,0.039768615039301625,0.029565977919516297,0.0,0.0,0.0,-0.0007824962053344205,0.0,pass,unknown_pending_forward_return
2026-03-16,production_governed_vol_position,production_governed_vol_position_v1_2b_gate_tuned,0.7,0.7,0.0,normal,normal,False,not_applicable,normal_production_risk_budget,1.0,001309|002384|300827|601669|601868,001309|002384|300827|601669|601868,,,,,0.0,0.0,0.0,0.025824847386577865,0.0500094963583535,0.024184648971775635,0.013902338347467019,0.0,0.0,0.0,-8.387625425518019e-05,0.0,pass,unknown_pending_forward_return
