strategy,signal_date,execution_date,rank,symbol,name,industry,rank_score,planned_shares,planned_price,filled_shares,filled_price,exit_date,exit_price,gross_return,net_return,net_pnl,entry_cost,round_trip_cost,plan_reject_reason,trade_reject_reason,execution_tradable,locked,skipped_by_position_cap,risk_decision,risk_governor_reasons,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_mode,causality_pass,exit_reason
dual_system_adaptive_route,2024-08-28,2024-08-29,4,300308,中际旭创,通信设备,29.98,0,,,,,,,,,,,,,,0,1,,,0.0514393681877778,0.0,0.0,0.0,-0.0514393681877778,0.0,,,
dual_system_adaptive_route,2024-08-28,2024-08-29,5,600686,金龙汽车,汽车整车,29.98,0,,,,,,,,,,,,,,1,0,,,0.0059186786751547,0.0,0.0,0.0,-0.0059186786751547,0.0,,,
dual_system_adaptive_route,2024-08-29,2024-08-30,1,600611,大众交通,公共交通,30.0,7900,9.2757,300.0,9.2849757,2024-09-02,9.5787117,0.031635623989839746,0.03011189727184737,83.87647033499974,2.0891195325,4.244329665,,,,0,0,,,0.0118147145931433,0.0,0.0,0.0,-0.0118147145931433,1.6964179914803466e-05,,,rebalance_unlocked
dual_system_adaptive_route,2024-08-29,2024-08-30,2,600519,贵州茅台,白酒,29.99,0,1488.1251,,,,,,,,,,,,,0,0,,,0.0002122354866602,0.0,0.0,0.0,-0.0002122354866602,1.324124647205296e-05,,,
dual_system_adaptive_route,2024-08-29,2024-08-30,3,601127,赛力斯,汽车整车,29.99,0,,,,,,,,,,,,,,1,0,,,0.0018065962529451,0.0,0.0,0.0,-0.0018065962529451,0.0,,,
dual_system_adaptive_route,2024-08-29,2024-08-30,4,300308,中际旭创,通信设备,29.98,0,,,,,,,,,,,,,,0,1,,,0.0020632852645644,0.0,0.0,0.0,-0.0020632852645644,0.0,,,
dual_system_adaptive_route,2024-08-29,2024-08-30,5,300750,宁德时代,电气设备,29.98,0,,,,,,,,,,,,,,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
dual_system_adaptive_route,2024-08-30,2024-09-02,1,601398,工商银行,银行,96.87258645997234,25700,6.4036,25700.0,6.4100036,2024-09-18,6.0393546,-0.05782352446728726,-0.05928015682393679,-9765.640679304983,123.55281938999998,239.96137930499998,,,,0,0,,,0.0133735979292494,0.0,0.0,0.0,-0.0133735979292494,4.884148557863892e-05,,,rebalance_unlocked
dual_system_adaptive_route,2024-08-30,2024-09-02,2,601939,建设银行,银行,95.21068608298047,20700,7.9648,20700.0,7.972764799999999,2024-09-18,7.6150773,-0.04486367138285568,-0.04633002362931854,-7646.13249860248,123.77717352,242.00124860249997,,,,0,0,,,0.0106207222091101,0.0,0.0,0.0,-0.0106207222091101,0.0001057671027189,,,rebalance_unlocked
dual_system_adaptive_route,2024-08-30,2024-09-02,3,601288,农业银行,银行,95.12537292628066,0,,,,,,,,,,,,,,0,1,,,0.0022079568221775,0.0,0.0,0.0,0.0022079568221775,0.0,,,
