strategy,sample,cost_rate,periods,first_signal_date,last_signal_date,avg_selected,avg_bs_count,avg_gross_exposure,pit_status,risk_note,market_gate,position_mode,gross_total_return,total_return,annualized_return,max_drawdown,win_rate,avg_return,median_return,best_period,worst_period,avg_score,avg_liquidity,avg_max_industry_weight,turnover_proxy
baseline_full_dynamic_factor,test,0.0,13,2026-03-26,2026-04-23,5.0,0.07692307692307693,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.3102954786677539,1.3102954786677539,4.069387809861049,-0.038372916583724104,0.7692307692307693,0.06926947972978435,0.061281442663953564,0.1884518099198705,-0.03749382513520198,73.26861538461539,25.917076923076927,0.43076923076923074,1.0
liq_top_10_then_dynamic_factor,test,0.0,13,2026-03-26,2026-04-23,5.0,0.3076923076923077,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.2524225254072419,1.2524225254072419,3.826120860770615,-0.03837291658372399,0.6923076923076923,0.06722408727068496,0.03250279668503435,0.1884518099198705,-0.02829898816217382,71.67123076923076,29.14338461538462,0.4461538461538461,1.0
liq20_bs_score_v2_b_bonus_3pct,test,0.0,13,2026-03-26,2026-04-23,5.0,1.0,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.243289357617067,1.243289357617067,3.7882591884983006,-0.042134508051022146,0.8461538461538461,0.06758650643257269,0.03953925958679585,0.24894082864244474,-0.08565244808123669,78.71876923076921,27.10861538461538,0.2923076923076924,1.0
tiered_liquidity_then_bs_v2_market_gate,test,0.0,13,2026-03-26,2026-04-23,4.769230769230769,1.0,0.9384615384615385,trusted,uses_signal_date_or_prior_data,1,equal,1.2403983124196727,1.2403983124196727,3.7763044051357184,-0.010948511290325924,0.7692307692307693,0.06629005725270734,0.06662405702894494,0.22080893547731653,-0.010948511290325948,78.01923076923077,28.379846153846152,0.2846153846153846,1.0
liq20_bs_score_v2_b_bonus_0pct,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6153846153846154,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.160000363470278,1.160000363470278,3.449650235842795,-0.04213450805102237,0.8461538461538461,0.06429513433588606,0.03953925958679585,0.24354553632560835,-0.08565244808123669,79.10107692307693,27.073076923076925,0.30769230769230776,1.0
liq_top_20_then_bs_v2,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6153846153846154,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.160000363470278,1.160000363470278,3.449650235842795,-0.04213450805102237,0.8461538461538461,0.06429513433588606,0.03953925958679585,0.24354553632560835,-0.08565244808123669,79.10107692307693,27.073076923076925,0.30769230769230776,1.0
liq20_bs_score_v2_b_bonus_3pct_market_gate,test,0.0,13,2026-03-26,2026-04-23,5.0,1.0,0.9384615384615385,trusted,uses_signal_date_or_prior_data,1,equal,1.1282308425076217,1.1282308425076217,3.3236616160677235,-0.04213450805102226,0.8461538461538461,0.06326521364473267,0.039539259586795855,0.24894082864244477,-0.08565244808123669,78.71876923076921,27.10861538461538,0.2923076923076924,1.0
baseline_full_score,test,0.0,13,2026-03-26,2026-04-23,5.0,0.15384615384615385,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.0864764169700076,1.0864764169700076,3.1607416135824273,-0.03749382513520205,0.8461538461538461,0.05969759339781068,0.046167398653935265,0.1573783368307604,-0.03749382513520198,81.57153846153848,22.56553846153846,0.2461538461538462,1.0
baseline_full_score_hist_mdd_position,test,0.0,13,2026-03-26,2026-04-23,5.0,0.15384615384615385,1.0,trusted,uses_signal_date_or_prior_data,0,hist_mdd_20,1.0864764169700076,1.0864764169700076,3.1607416135824273,-0.03749382513520205,0.8461538461538461,0.05969759339781068,0.046167398653935265,0.1573783368307604,-0.03749382513520199,81.57153846153848,22.56553846153846,0.2461538461538462,1.0
liq_top_30_then_bs_v2,test,0.0,13,2026-03-26,2026-04-23,5.0,0.6153846153846154,1.0,trusted,uses_signal_date_or_prior_data,0,equal,1.0818638684293993,1.0818638684293993,3.1429299433363127,-0.06271453893702505,0.6923076923076923,0.06198275546997318,0.06830929626824997,0.24951872333405206,-0.06962983759819455,79.68907692307691,26.072,0.2923076923076924,1.0
