strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,hard_stop_loss_count
baseline_full_dynamic_factor_industry_cap2,2026-02-13,2026-02-12,1004.2919775001355,613137.0,614141.2919775001,1.2282825839550002,5,0.9983647216192445,4.0,503181.0,5.0,1.0,601992.5924775002,5.0,1.0,4.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-02-24,2026-02-13,1004.2919775001355,623459.0,624463.2919775001,1.2489265839550001,5,0.9983917517804453,5.0,626261.0,5.0,0.0,627265.2919775001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-02-25,2026-02-24,20823.54072750012,600693.0,621516.5407275001,1.2430330814550001,5,0.9664955968780402,1.0,94900.0,5.0,8.0,611360.2919775001,5.0,1.0,1.0,
baseline_full_dynamic_factor_industry_cap2,2026-02-26,2026-02-25,6604.520227500121,634410.0,641014.5202275001,1.2820290404550003,5,0.9896967697000746,4.0,486356.0,5.0,1.0,615422.2977275001,5.0,1.0,4.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-02-27,2026-02-26,6604.520227500121,653328.0,659932.5202275001,1.3198650404550003,5,0.9899921279448036,5.0,627760.0,5.0,0.0,634364.5202275001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-02,2026-02-27,6604.520227500121,680356.0,686960.5202275001,1.3739210404550002,5,0.9903858809450754,5.0,649180.0,5.0,0.0,655784.5202275001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-03,2026-03-02,6604.520227500121,651363.0,657967.5202275001,1.3159350404550003,5,0.9899622397391037,5.0,688388.0,5.0,0.0,694992.5202275001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-04,2026-03-03,6604.520227500121,667930.0,674534.5202275001,1.3490690404550003,5,0.9902087735624374,5.0,641018.0,5.0,0.0,647622.5202275001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-05,2026-03-04,6604.520227500121,653665.0,660269.5202275001,1.3205390404550001,5,0.9899972359390079,5.0,677407.0,5.0,0.0,684011.5202275001,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-06,2026-03-05,8787.636477500128,674243.0,683030.6364775001,1.3660612729550001,5,0.987134345067127,4.0,550352.0,5.0,1.0,665969.6989775001,5.0,1.0,4.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-03-09,2026-03-06,1364.2134775001323,698557.0,699921.2134775001,1.3998424269550003,5,0.9980509042286029,4.0,554398.0,5.0,2.0,673841.6364775001,5.0,1.0,3.0,
