trade_date,ts_code,strategy,target_weight,exec_date,forward_ret_d1,forward_ret_d2,forward_ret_d3,forward_ret_d4,forward_ret_d5,forward_ret_1w,forward_max_ret
20260615,002466,production_governed_vol_position,0.2882724542695317,20260616,0.013462147608489072,0.014254038644282652,-0.015204307887234703,0.02898321191004105,,,0.02898321191004105
20260615,600869,production_governed_vol_position,0.1491466710271448,20260616,0.05230578768183225,0.029402661714639233,0.017022593624264948,0.118848653667595,,,0.118848653667595
20260616,000657,production_governed_vol_position,0.19918243010178713,20260617,0.005955056179775209,0.10651685393258425,0.21719101123595497,,,,0.21719101123595497
20260616,002466,production_governed_vol_position,0.3761076252964636,20260617,-0.006977826019537781,-0.03581950690029456,0.00744301442084061,,,,0.00744301442084061
20260616,301217,production_governed_vol_position,0.14049095305860151,20260617,0.019641955216342044,0.12239744093383464,0.1027554857174926,,,,0.12239744093383464
20260616,600378,production_governed_vol_position,0.17664987951071914,20260617,0.11929824561403501,0.14315789473684215,0.23192982456140343,,,,0.23192982456140343
20260616,688146,production_governed_vol_position,0.10756911203242868,20260617,0.09580645161290313,0.17419354838709666,0.25803225806451624,,,,0.25803225806451624
20260617,002080,production_governed_vol_position,0.21833130216865806,20260618,-0.020668693009118555,0.025167173252279573,,,,,0.025167173252279573
20260617,300285,production_governed_vol_position,0.1660621027750441,20260618,0.08917274939172737,0.2031630170316301,,,,,0.2031630170316301
20260617,301217,production_governed_vol_position,0.20334999326636832,20260618,0.1154489682097044,0.09592861126603447,,,,,0.1154489682097044
20260617,301526,production_governed_vol_position,0.16785386284801604,20260618,0.0349278663629462,0.05289800050620097,,,,,0.05289800050620097
20260617,600378,production_governed_vol_position,0.24440273894191342,20260618,0.007888631090487097,0.0861562258313997,,,,,0.0861562258313997
20260618,300285,production_governed_vol_position,0.06484409198116522,20260622,0.0634408602150538,,,,,,0.0634408602150538
20260618,300857,production_governed_vol_position,0.11737442558531394,20260622,0.11824503194380709,,,,,,0.11824503194380709
20260618,301217,production_governed_vol_position,0.08465317627178116,20260622,0.004858092559447691,,,,,,0.004858092559447691
20260618,600378,production_governed_vol_position,0.10044196768920789,20260622,0.04805970149253724,,,,,,0.04805970149253724
20260618,600392,production_governed_vol_position,0.1326863384725318,20260622,0.05186089078706524,,,,,,0.05186089078706524
