signal_date,trade_date,risk_state,opp_structure,total_position,budgets,health_scores
2026-01-20,2026-01-21,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.5, ""attack"": 52.5, ""balanced"": 52.5, ""defensive"": 52.5}"
2026-01-21,2026-01-22,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.5, ""attack"": 52.5, ""balanced"": 52.5, ""defensive"": 52.5}"
2026-01-22,2026-01-23,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.5, ""attack"": 52.5, ""balanced"": 52.5, ""defensive"": 52.5}"
2026-01-23,2026-01-26,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.5, ""attack"": 52.5, ""balanced"": 52.5, ""defensive"": 52.5}"
2026-01-26,2026-01-27,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.5, ""attack"": 52.5, ""balanced"": 52.5, ""defensive"": 52.5}"
2026-01-27,2026-01-28,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.5, ""attack"": 52.5, ""balanced"": 52.5, ""defensive"": 52.5}"
2026-01-28,2026-01-29,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11522835912486887, ""attack"": 0.0, ""balanced"": 0.08210020587646906, ""defensive"": 0.3526714349986621}","{""core"": 53.41666666666667, ""attack"": 53.11666666666667, ""balanced"": 53.41666666666667, ""defensive"": 52.516666666666666}"
2026-01-29,2026-01-30,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.5, ""attack"": 52.5, ""balanced"": 52.5, ""defensive"": 52.5}"
2026-01-30,2026-02-02,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.5, ""attack"": 52.5, ""balanced"": 52.5, ""defensive"": 52.5}"
2026-02-02,2026-02-03,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.5, ""attack"": 52.5, ""balanced"": 52.5, ""defensive"": 52.5}"
