signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,adaptive_role,adaptive_underlying_strategy,adaptive_reason
2025-07-02,2025-07-03,adaptive_style_switch,1,600150,中国船舶,船舶,94.11108687853768,0.2,0.0,1,0,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed
2025-07-02,2025-07-03,adaptive_style_switch,2,300065,海兰信,船舶,93.42185553788376,0.2,0.0,0,1,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed
2025-07-02,2025-07-03,adaptive_style_switch,3,600967,内蒙一机,运输设备,92.23878737662815,0.2,0.0,1,0,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed
2025-07-02,2025-07-03,adaptive_style_switch,4,002987,京北方,软件服务,92.14581238908838,0.2,0.0,0,1,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed
2025-07-02,2025-07-03,adaptive_style_switch,5,000100,TCL科技,元器件,91.41030948911597,0.2,0.0,0,1,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed
2025-07-03,2025-07-04,adaptive_style_switch,1,002987,京北方,软件服务,93.41663914928999,0.2,0.0,0,1,defensive,baseline_full_liquidity_detail,hold_min_state_3_days
2025-07-03,2025-07-04,adaptive_style_switch,2,000063,中兴通讯,通信设备,93.29068381505544,0.2,0.0,0,1,defensive,baseline_full_liquidity_detail,hold_min_state_3_days
2025-07-03,2025-07-04,adaptive_style_switch,3,600150,中国船舶,船舶,91.94697417186043,0.2,0.0,1,0,defensive,baseline_full_liquidity_detail,hold_min_state_3_days
2025-07-03,2025-07-04,adaptive_style_switch,4,300065,海兰信,船舶,91.6331408653697,0.2,0.0,0,1,defensive,baseline_full_liquidity_detail,hold_min_state_3_days
2025-07-03,2025-07-04,adaptive_style_switch,5,603228,景旺电子,元器件,91.38544718123609,0.2,0.0,0,1,defensive,baseline_full_liquidity_detail,hold_min_state_3_days
2025-07-04,2025-07-07,adaptive_style_switch,1,002555,三七互娱,互联网,72.81,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-04,2025-07-07,adaptive_style_switch,2,002558,巨人网络,互联网,72.64,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-04,2025-07-07,adaptive_style_switch,3,600521,华海药业,化学制药,72.3,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-04,2025-07-07,adaptive_style_switch,4,301511,德福科技,电气设备,72.11,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-04,2025-07-07,adaptive_style_switch,5,002463,沪电股份,元器件,71.33,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-07,2025-07-08,adaptive_style_switch,1,603716,塞力医疗,医药商业,74.01,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-07,2025-07-08,adaptive_style_switch,2,002602,世纪华通,互联网,72.48,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-07,2025-07-08,adaptive_style_switch,3,600016,民生银行,银行,71.33,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-07,2025-07-08,adaptive_style_switch,4,601519,大智慧,软件服务,70.69,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-07,2025-07-08,adaptive_style_switch,5,000001,平安银行,银行,70.31,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-08,2025-07-09,adaptive_style_switch,1,300533,冰川网络,互联网,74.39,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,hold_min_state_3_days
2025-07-08,2025-07-09,adaptive_style_switch,2,603127,昭衍新药,医疗保健,71.77,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,hold_min_state_3_days
2025-07-08,2025-07-09,adaptive_style_switch,3,300872,天阳科技,软件服务,71.65,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,hold_min_state_3_days
2025-07-08,2025-07-09,adaptive_style_switch,4,002602,世纪华通,互联网,71.46,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,hold_min_state_3_days
2025-07-08,2025-07-09,adaptive_style_switch,5,002080,中材科技,玻璃,71.1,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,hold_min_state_3_days
2025-07-09,2025-07-10,adaptive_style_switch,1,002721,金一文化,服饰,72.66,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-09,2025-07-10,adaptive_style_switch,2,600318,新力金融,多元金融,71.77,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-09,2025-07-10,adaptive_style_switch,3,600095,湘财股份,证券,71.37,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-09,2025-07-10,adaptive_style_switch,4,603127,昭衍新药,医疗保健,71.24,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-09,2025-07-10,adaptive_style_switch,5,002602,世纪华通,互联网,70.68,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-10,2025-07-11,adaptive_style_switch,1,601288,农业银行,银行,74.1,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-10,2025-07-11,adaptive_style_switch,2,601519,大智慧,软件服务,73.48,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-10,2025-07-11,adaptive_style_switch,3,000617,中油资本,多元金融,72.4,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-10,2025-07-11,adaptive_style_switch,4,000001,平安银行,银行,71.41,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-10,2025-07-11,adaptive_style_switch,5,300019,硅宝科技,化工原料,71.33,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-11,2025-07-14,adaptive_style_switch,1,601519,大智慧,软件服务,73.86,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-11,2025-07-14,adaptive_style_switch,2,300803,指南针,软件服务,72.47,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-11,2025-07-14,adaptive_style_switch,3,002414,高德红外,电器仪表,71.28,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-11,2025-07-14,adaptive_style_switch,4,002657,中科金财,软件服务,70.8,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-11,2025-07-14,adaptive_style_switch,5,600390,五矿资本,多元金融,70.73,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
