strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,symbol,name,industry,is_bs_candidate,sort_col,rank_score,score,s_liquidity,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,entry_open,exit_close,gross_ret
liq20_score_b_bonus_3pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,002270,华明装备,,1,score,80.9992,78.64,25.69,72.65,,,,,TRADE,,36.1169,27.4053,-0.2412056405726959
liq20_score_b_bonus_3pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,002490,山东墨龙,,0,score,80.64,80.64,25.13,73.08,,,,,,,14.52,10.6,-0.26997245179063356
liq20_score_b_bonus_3pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,002126,银轮股份,,0,score,80.55,80.55,28.28,74.96,,,,,,,52.01,43.05,-0.17227456258411844
liq20_score_b_bonus_3pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600268,国电南自,,1,score,80.3194,77.98,24.38,72.74,,,,,TRADE,,14.59,13.82,-0.0527758738862234
liq20_score_b_bonus_5pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600875,东方电气,,1,score,83.328,79.36,29.64,62.33,,,,,TRADE,,42.11,36.9,-0.12372358109712656
liq20_score_b_bonus_5pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,002270,华明装备,,1,score,82.572,78.64,25.69,72.65,,,,,TRADE,,36.1169,27.4053,-0.2412056405726959
liq20_score_b_bonus_5pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600268,国电南自,,1,score,81.879,77.98,24.38,72.74,,,,,TRADE,,14.59,13.82,-0.0527758738862234
liq20_score_b_bonus_5pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,300001,特锐德,,1,score,81.48,77.6,26.91,72.78,,,,,TRADE,,32.45,28.69,-0.11587057010785828
liq20_score_b_bonus_5pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600216,浙江医药,,1,score,81.36449999999999,77.49,24.53,73.95,,,,,TRADE,,18.35,15.2,-0.17166212534059955
liq20_score_b_bonus_8pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600875,东方电气,,1,score,85.70880000000001,79.36,29.64,62.33,,,,,TRADE,,42.11,36.9,-0.12372358109712656
liq20_score_b_bonus_8pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,002270,华明装备,,1,score,84.9312,78.64,25.69,72.65,,,,,TRADE,,36.1169,27.4053,-0.2412056405726959
liq20_score_b_bonus_8pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600268,国电南自,,1,score,84.21840000000002,77.98,24.38,72.74,,,,,TRADE,,14.59,13.82,-0.0527758738862234
liq20_score_b_bonus_8pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,300001,特锐德,,1,score,83.80799999999999,77.6,26.91,72.78,,,,,TRADE,,32.45,28.69,-0.11587057010785828
liq20_score_b_bonus_8pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600216,浙江医药,,1,score,83.6892,77.49,24.53,73.95,,,,,TRADE,,18.35,15.2,-0.17166212534059955
liq20_bs_score_v2_b_bonus_0pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,002126,银轮股份,,0,bs_score_v2,74.96,80.55,28.28,74.96,,,,,,,52.01,43.05,-0.17227456258411844
liq20_bs_score_v2_b_bonus_0pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,000988,华工科技,,0,bs_score_v2,74.52,80.24,29.87,74.52,,,,,,,112.0,116.08,0.03642857142857148
liq20_bs_score_v2_b_bonus_0pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600216,浙江医药,,1,bs_score_v2,73.95,77.49,24.53,73.95,,,,,TRADE,,18.35,15.2,-0.17166212534059955
liq20_bs_score_v2_b_bonus_0pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,002001,新和成,,0,bs_score_v2,73.6,76.6,28.5,73.6,,,,,,,36.68,34.25,-0.06624863685932392
liq20_bs_score_v2_b_bonus_0pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,300658,延江股份,,0,bs_score_v2,73.09,77.75,26.22,73.09,,,,,,,28.13,23.57,-0.16210451475293275
liq20_bs_score_v2_b_bonus_3pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600216,浙江医药,,1,bs_score_v2,76.16850000000001,77.49,24.53,73.95,,,,,TRADE,,18.35,15.2,-0.17166212534059955
liq20_bs_score_v2_b_bonus_3pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,300001,特锐德,,1,bs_score_v2,74.96340000000001,77.6,26.91,72.78,,,,,TRADE,,32.45,28.69,-0.11587057010785828
liq20_bs_score_v2_b_bonus_3pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,002126,银轮股份,,0,bs_score_v2,74.96,80.55,28.28,74.96,,,,,,,52.01,43.05,-0.17227456258411844
liq20_bs_score_v2_b_bonus_3pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600268,国电南自,,1,bs_score_v2,74.9222,77.98,24.38,72.74,,,,,TRADE,,14.59,13.82,-0.0527758738862234
liq20_bs_score_v2_b_bonus_3pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,601877,正泰电器,,1,bs_score_v2,74.8913,76.52,27.25,72.71,,,,,TRADE,,35.15,35.05,-0.002844950213371278
liq20_bs_score_v2_b_bonus_5pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600216,浙江医药,,1,bs_score_v2,77.64750000000001,77.49,24.53,73.95,,,,,TRADE,,18.35,15.2,-0.17166212534059955
liq20_bs_score_v2_b_bonus_5pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,300001,特锐德,,1,bs_score_v2,76.41900000000001,77.6,26.91,72.78,,,,,TRADE,,32.45,28.69,-0.11587057010785828
liq20_bs_score_v2_b_bonus_5pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600268,国电南自,,1,bs_score_v2,76.377,77.98,24.38,72.74,,,,,TRADE,,14.59,13.82,-0.0527758738862234
liq20_bs_score_v2_b_bonus_5pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,601877,正泰电器,,1,bs_score_v2,76.3455,76.52,27.25,72.71,,,,,TRADE,,35.15,35.05,-0.002844950213371278
liq20_bs_score_v2_b_bonus_5pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,002270,华明装备,,1,bs_score_v2,76.28250000000001,78.64,25.69,72.65,,,,,TRADE,,36.1169,27.4053,-0.2412056405726959
liq20_bs_score_v2_b_bonus_8pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600216,浙江医药,,1,bs_score_v2,79.86600000000001,77.49,24.53,73.95,,,,,TRADE,,18.35,15.2,-0.17166212534059955
liq20_bs_score_v2_b_bonus_8pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,300001,特锐德,,1,bs_score_v2,78.6024,77.6,26.91,72.78,,,,,TRADE,,32.45,28.69,-0.11587057010785828
liq20_bs_score_v2_b_bonus_8pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,600268,国电南自,,1,bs_score_v2,78.5592,77.98,24.38,72.74,,,,,TRADE,,14.59,13.82,-0.0527758738862234
liq20_bs_score_v2_b_bonus_8pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,601877,正泰电器,,1,bs_score_v2,78.5268,76.52,27.25,72.71,,,,,TRADE,,35.15,35.05,-0.002844950213371278
liq20_bs_score_v2_b_bonus_8pct,2026-03-06,2026-03-09,2026-03-20,10,1,5,002270,华明装备,,1,bs_score_v2,78.46200000000002,78.64,25.69,72.65,,,,,TRADE,,36.1169,27.4053,-0.2412056405726959
baseline_full_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,601778,晶科科技,,0,score,82.64,82.64,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
baseline_full_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,002506,协鑫集成,,0,score,81.82,81.82,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
baseline_full_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,002826,易明医药,,0,score,81.57,81.57,18.2,73.64,,,,,,,22.43,18.08,-0.19393669193045038
baseline_full_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,score,81.44,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
baseline_full_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,601985,中国核电,,0,score,81.03,81.03,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
baseline_b_score_v2,2026-03-09,2026-03-10,2026-03-23,10,1,5,300677,英科医疗,,1,bs_score_v2,71.26,77.62,23.33,71.26,,,,,TRADE,,48.58,53.81,0.10765747221078636
baseline_b_score_v2,2026-03-09,2026-03-10,2026-03-23,10,1,5,002648,卫星化学,,1,bs_score_v2,70.85,76.24,28.58,70.85,,,,,TRADE,,25.63,25.67,0.0015606710885682773
baseline_b_score_v2,2026-03-09,2026-03-10,2026-03-23,10,1,5,688300,联瑞新材,,1,bs_score_v2,68.91,72.76,22.83,68.91,,,,,WATCH,,88.01,77.18,-0.12305419838654696
baseline_b_score_v2,2026-03-09,2026-03-10,2026-03-23,10,1,5,300773,拉卡拉,,1,bs_score_v2,67.86,66.07,28.31,67.86,,,,,WATCH,,30.0,23.95,-0.20166666666666666
baseline_b_score_v2,2026-03-09,2026-03-10,2026-03-23,10,1,5,002128,电投能源,,1,bs_score_v2,66.63,66.4,25.86,66.63,,,,,WATCH,,31.95,29.27,-0.08388106416275432
baseline_full_liquidity,2026-03-09,2026-03-10,2026-03-23,10,1,5,300308,中际旭创,,0,s_liquidity,30.0,30.25,30.0,35.85,,,,,,,540.6386,600.3291,0.11040739599429283
baseline_full_liquidity,2026-03-09,2026-03-10,2026-03-23,10,1,5,300394,天孚通信,,0,s_liquidity,29.99,53.48,29.99,60.46,,,,,,,329.0,298.49,-0.09273556231003033
baseline_full_liquidity,2026-03-09,2026-03-10,2026-03-23,10,1,5,300502,新易盛,,0,s_liquidity,29.99,35.26,29.99,43.16,,,,,,,394.75,460.44,0.16640911969601002
baseline_full_liquidity,2026-03-09,2026-03-10,2026-03-23,10,1,5,300750,宁德时代,,0,s_liquidity,29.98,49.43,29.98,56.96,,,,,,,380.8807,408.294,0.0719734552052651
baseline_full_liquidity,2026-03-09,2026-03-10,2026-03-23,10,1,5,601899,紫金矿业,,0,s_liquidity,29.98,40.72,29.98,46.85,,,,,,,36.98,30.58,-0.17306652244456455
liq_top_10_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,601778,晶科科技,,0,score,82.64,82.64,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq_top_10_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,002506,协鑫集成,,0,score,81.82,81.82,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq_top_10_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,score,81.44,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq_top_10_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,601985,中国核电,,0,score,81.03,81.03,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq_top_10_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,601088,中国神华,,0,score,80.97,80.97,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq_top_20_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,601778,晶科科技,,0,score,82.64,82.64,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq_top_20_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,002506,协鑫集成,,0,score,81.82,81.82,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq_top_20_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,score,81.44,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq_top_20_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,601985,中国核电,,0,score,81.03,81.03,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq_top_20_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,601088,中国神华,,0,score,80.97,80.97,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq_top_30_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,601778,晶科科技,,0,score,82.64,82.64,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq_top_30_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,002506,协鑫集成,,0,score,81.82,81.82,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq_top_30_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,score,81.44,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq_top_30_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,601985,中国核电,,0,score,81.03,81.03,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq_top_30_then_score,2026-03-09,2026-03-10,2026-03-23,10,1,5,601088,中国神华,,0,score,80.97,80.97,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq_top_20_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,1,5,601088,中国神华,,0,bs_score_v2,73.71,80.97,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq_top_20_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,bs_score_v2,73.33,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq_top_20_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,1,5,002546,新联电子,,0,bs_score_v2,73.01,76.08,26.53,73.01,,,,,,,11.6907,9.0646,-0.22463154473213742
liq_top_20_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,1,5,601216,君正集团,,0,bs_score_v2,72.88,80.04,26.44,72.88,,,,,,,6.22,5.53,-0.11093247588424426
liq_top_20_then_bs_v2,2026-03-09,2026-03-10,2026-03-23,10,1,5,603588,高能环境,,0,bs_score_v2,72.85,76.86,25.82,72.85,,,,,,,14.2635,13.1763,-0.07622252602797353
liq20_score_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601778,晶科科技,,0,score,82.64,82.64,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq20_score_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,002506,协鑫集成,,0,score,81.82,81.82,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq20_score_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,score,81.44,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_score_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601985,中国核电,,0,score,81.03,81.03,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq20_score_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601088,中国神华,,0,score,80.97,80.97,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_score_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601778,晶科科技,,0,score,82.64,82.64,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq20_score_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,002506,协鑫集成,,0,score,81.82,81.82,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq20_score_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,score,81.44,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_score_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601985,中国核电,,0,score,81.03,81.03,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq20_score_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601088,中国神华,,0,score,80.97,80.97,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_score_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601778,晶科科技,,0,score,82.64,82.64,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq20_score_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,002506,协鑫集成,,0,score,81.82,81.82,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq20_score_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,score,81.44,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_score_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601985,中国核电,,0,score,81.03,81.03,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq20_score_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601088,中国神华,,0,score,80.97,80.97,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_score_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601778,晶科科技,,0,score,82.64,82.64,27.61,64.06,,,,,,,5.06,5.38,0.06324110671936767
liq20_score_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,002648,卫星化学,,1,score,82.3392,76.24,28.58,70.85,,,,,TRADE,,25.63,25.67,0.0015606710885682773
liq20_score_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,002506,协鑫集成,,0,score,81.82,81.82,29.86,72.02,,,,,,,5.78,5.8,0.0034602076124565784
liq20_score_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,score,81.44,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_score_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601985,中国核电,,0,score,81.03,81.03,27.34,67.95,,,,,,,8.85,9.04,0.021468926553672274
liq20_bs_score_v2_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601088,中国神华,,0,bs_score_v2,73.71,80.97,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_bs_score_v2_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,bs_score_v2,73.33,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_bs_score_v2_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,002546,新联电子,,0,bs_score_v2,73.01,76.08,26.53,73.01,,,,,,,11.6907,9.0646,-0.22463154473213742
liq20_bs_score_v2_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601216,君正集团,,0,bs_score_v2,72.88,80.04,26.44,72.88,,,,,,,6.22,5.53,-0.11093247588424426
liq20_bs_score_v2_b_bonus_0pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,603588,高能环境,,0,bs_score_v2,72.85,76.86,25.82,72.85,,,,,,,14.2635,13.1763,-0.07622252602797353
liq20_bs_score_v2_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601088,中国神华,,0,bs_score_v2,73.71,80.97,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_bs_score_v2_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,bs_score_v2,73.33,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_bs_score_v2_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,002546,新联电子,,0,bs_score_v2,73.01,76.08,26.53,73.01,,,,,,,11.6907,9.0646,-0.22463154473213742
liq20_bs_score_v2_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,002648,卫星化学,,1,bs_score_v2,72.9755,76.24,28.58,70.85,,,,,TRADE,,25.63,25.67,0.0015606710885682773
liq20_bs_score_v2_b_bonus_3pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601216,君正集团,,0,bs_score_v2,72.88,80.04,26.44,72.88,,,,,,,6.22,5.53,-0.11093247588424426
liq20_bs_score_v2_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,002648,卫星化学,,1,bs_score_v2,74.3925,76.24,28.58,70.85,,,,,TRADE,,25.63,25.67,0.0015606710885682773
liq20_bs_score_v2_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601088,中国神华,,0,bs_score_v2,73.71,80.97,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_bs_score_v2_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,bs_score_v2,73.33,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_bs_score_v2_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,002546,新联电子,,0,bs_score_v2,73.01,76.08,26.53,73.01,,,,,,,11.6907,9.0646,-0.22463154473213742
liq20_bs_score_v2_b_bonus_5pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601216,君正集团,,0,bs_score_v2,72.88,80.04,26.44,72.88,,,,,,,6.22,5.53,-0.11093247588424426
liq20_bs_score_v2_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,002648,卫星化学,,1,bs_score_v2,76.518,76.24,28.58,70.85,,,,,TRADE,,25.63,25.67,0.0015606710885682773
liq20_bs_score_v2_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,601088,中国神华,,0,bs_score_v2,73.71,80.97,28.6,73.71,,,,,,,45.99,49.5,0.07632093933463802
liq20_bs_score_v2_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,600673,东阳光,,0,bs_score_v2,73.33,81.44,28.92,73.33,,,,,,,40.5,29.7,-0.2666666666666667
liq20_bs_score_v2_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,300773,拉卡拉,,1,bs_score_v2,73.28880000000001,66.07,28.31,67.86,,,,,WATCH,,30.0,23.95,-0.20166666666666666
liq20_bs_score_v2_b_bonus_8pct,2026-03-09,2026-03-10,2026-03-23,10,1,5,002546,新联电子,,0,bs_score_v2,73.01,76.08,26.53,73.01,,,,,,,11.6907,9.0646,-0.22463154473213742
baseline_full_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,300982,苏文电能,,0,score,83.24,83.24,19.0,74.15,,,,,,,26.63,24.94,-0.06346226060833637
baseline_full_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,301317,鑫磊股份,,0,score,82.28,82.28,23.79,75.82,,,,,,,63.98,47.8,-0.2528915286026884
baseline_full_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,000533,顺钠股份,,0,score,81.64,81.64,27.72,75.33,,,,,,,18.19,17.06,-0.062122045079714305
baseline_full_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,300693,盛弘股份,,1,score,81.29,81.29,25.34,71.74,,,,,TRADE,,48.5,44.3,-0.08659793814432992
baseline_full_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,300900,广联航空,,0,score,81.08,81.08,28.18,71.77,,,,,,,43.64,35.08,-0.19615032080659955
baseline_b_score_v2,2026-03-10,2026-03-11,2026-03-24,10,1,5,300693,盛弘股份,,1,bs_score_v2,71.74,81.29,25.34,71.74,,,,,TRADE,,48.5,44.3,-0.08659793814432992
baseline_b_score_v2,2026-03-10,2026-03-11,2026-03-24,10,1,5,601877,正泰电器,,1,bs_score_v2,68.42,77.13,27.87,68.42,,,,,TRADE,,40.1,34.8,-0.13216957605985047
baseline_b_score_v2,2026-03-10,2026-03-11,2026-03-24,10,1,5,002112,三变科技,,1,bs_score_v2,67.85,68.01,28.69,67.85,,,,,WATCH,,27.31,23.68,-0.13291834492859755
baseline_b_score_v2,2026-03-10,2026-03-11,2026-03-24,10,1,5,300829,金丹科技,,1,bs_score_v2,65.47,69.46,16.03,65.47,,,,,WATCH,,21.2,20.52,-0.0320754716981132
baseline_b_score_v2,2026-03-10,2026-03-11,2026-03-24,10,1,5,300682,朗新科技,,1,bs_score_v2,65.02,68.08,25.33,65.02,,,,,WATCH,,19.29,16.21,-0.1596682218766199
baseline_full_liquidity,2026-03-10,2026-03-11,2026-03-24,10,1,5,300308,中际旭创,,0,s_liquidity,30.0,32.58,30.0,39.27,,,,,,,557.6587,603.9033,0.08292634903750273
baseline_full_liquidity,2026-03-10,2026-03-11,2026-03-24,10,1,5,300394,天孚通信,,0,s_liquidity,29.99,58.14,29.99,65.08,,,,,,,342.69,298.71,-0.12833756456272438
baseline_full_liquidity,2026-03-10,2026-03-11,2026-03-24,10,1,5,300502,新易盛,,0,s_liquidity,29.99,35.23,29.99,39.94,,,,,,,400.01,468.0,0.1699707507312318
baseline_full_liquidity,2026-03-10,2026-03-11,2026-03-24,10,1,5,300750,宁德时代,,0,s_liquidity,29.98,43.82,29.98,57.56,,,,,,,385.5326,403.2156,0.04586641959720139
baseline_full_liquidity,2026-03-10,2026-03-11,2026-03-24,10,1,5,601899,紫金矿业,,0,s_liquidity,29.98,36.45,29.98,47.74,,,,,,,37.5,32.2,-0.1413333333333333
liq_top_10_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,000533,顺钠股份,,0,score,81.64,81.64,27.72,75.33,,,,,,,18.19,17.06,-0.062122045079714305
liq_top_10_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,300900,广联航空,,0,score,81.08,81.08,28.18,71.77,,,,,,,43.64,35.08,-0.19615032080659955
liq_top_10_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,300499,高澜股份,,0,score,78.1,78.1,28.17,72.64,,,,,,,41.29,37.93,-0.08137563574715423
liq_top_10_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,601877,正泰电器,,1,score,77.13,77.13,27.87,68.42,,,,,TRADE,,40.1,34.8,-0.13216957605985047
liq_top_10_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,002015,协鑫能科,,1,score,77.05,77.05,28.39,62.83,,,,,TRADE,,18.01,19.8,0.09938922820655183
liq_top_20_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,000533,顺钠股份,,0,score,81.64,81.64,27.72,75.33,,,,,,,18.19,17.06,-0.062122045079714305
liq_top_20_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,300693,盛弘股份,,1,score,81.29,81.29,25.34,71.74,,,,,TRADE,,48.5,44.3,-0.08659793814432992
liq_top_20_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,300900,广联航空,,0,score,81.08,81.08,28.18,71.77,,,,,,,43.64,35.08,-0.19615032080659955
liq_top_20_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,000534,万泽股份,,0,score,80.2,80.2,26.89,73.21,,,,,,,47.45,39.73,-0.16269757639620663
liq_top_20_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,688257,新锐股份,,0,score,79.45,79.45,24.45,72.08,,,,,,,82.38,62.96,-0.23573682932750661
liq_top_30_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,301317,鑫磊股份,,0,score,82.28,82.28,23.79,75.82,,,,,,,63.98,47.8,-0.2528915286026884
liq_top_30_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,000533,顺钠股份,,0,score,81.64,81.64,27.72,75.33,,,,,,,18.19,17.06,-0.062122045079714305
liq_top_30_then_score,2026-03-10,2026-03-11,2026-03-24,10,1,5,300693,盛弘股份,,1,score,81.29,81.29,25.34,71.74,,,,,TRADE,,48.5,44.3,-0.08659793814432992
