strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason,planned_shares,planned_price,filled_shares,filled_price,reject_reason,open_weight_drift_bps,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,decision_timestamp,proxy_asof_timestamp,order_submit_timestamp,fill_timestamp,execution_mode,causality_pass,daily_proxy_approximation,execution_mode_status,execution_promotion_eligible,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,precommit_uplift_risk_level,precommit_uplift_cap_reason,cap_input_coverage,cap_missing_fields,cap_trigger_count,strict_cap_candidate_vol_20,strict_cap_candidate_ret_1,precommit_cap_applied,pattern_guard_enabled,pattern_strategy_mode,risk_event_triggered,risk_event_types,missing_cap_risk_label,missed_risk_event
production_governed_vol_position_v1_2b_dynamic_score,2026-07-10,002371,北方华创,半导体,BUY,886.46,100,88646.0,66.4845,322298.58846500027,rebalance_unlocked,100.0,886.46,100.0,886.46,,-278.5694777290715,0.3599388940863803,0.30000000000000004,0.30000000000000004,0.05993889408638026,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-07-10,002384,东山精密,元器件,BUY,269.37,200,53874.0,40.4055,268384.1829650003,rebalance_unlocked,200.0,269.37,200.0,269.37,,-322.8183692475288,0.3599388940863803,0.30000000000000004,0.30000000000000004,0.05993889408638026,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-07-13,002008,大族激光,专用机械,SELL,131.19,900,118071.0,88.55325,386366.6297150003,rebalance_unlocked,,,,,,,0.31691976674930467,0.30000000000000004,0.30000000000000004,0.01691976674930462,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-07-13,688110,东芯股份,半导体,SELL,162.0,600,97200.0,72.9,483493.72971500026,rebalance_unlocked,,,,,,,0.31691976674930467,0.30000000000000004,0.30000000000000004,0.01691976674930462,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-07-13,603986,兆易创新,半导体,BUY,580.0,200,116000.0,87.0,367406.72971500026,rebalance_unlocked,200.0,580.0,200.0,580.0,,-161.15715319266226,0.31691976674930467,0.30000000000000004,0.30000000000000004,0.01691976674930462,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_dynamic_score,2026-07-13,688347,华虹公司,半导体,BUY,360.0,400,144000.0,108.0,223298.72971500026,rebalance_unlocked,400.0,360.0,400.0,360.0,,-11.494477590639207,0.31691976674930467,0.30000000000000004,0.30000000000000004,0.01691976674930462,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_execution_safe_uplift,2025-09-02,000988,华工科技,专用机械,BUY,75.5155,900,67963.95,50.9729625,431985.0770375,rebalance_unlocked,900.0,75.5155,900.0,75.5155,,-93.36814487444445,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,2025-09-01T15:00:00+08:00,2025-09-01T15:00:00+08:00,2025-09-01T15:00:00+08:00,2025-09-02T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1,strict_precommit_no_intraday_guard,0,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_execution_safe_uplift,2025-09-02,002436,兴森科技,元器件,BUY,21.3272,3200,68247.04000000001,51.185280000000006,363686.8517575,rebalance_unlocked,3200.0,21.3272,3200.0,21.3272,,-29.27769943463693,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,2025-09-01T15:00:00+08:00,2025-09-01T15:00:00+08:00,2025-09-01T15:00:00+08:00,2025-09-02T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1,strict_precommit_no_intraday_guard,0,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_execution_safe_uplift,2025-09-02,002594,比亚迪,汽车整车,BUY,108.79,1100,119669.0,89.75175,243928.10000749998,rebalance_unlocked,1100.0,108.79,1100.0,108.79,,-92.63545391250766,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,2025-09-01T15:00:00+08:00,2025-09-01T15:00:00+08:00,2025-09-01T15:00:00+08:00,2025-09-02T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1,strict_precommit_no_intraday_guard,0,,,,,,,,,,,0,,0,0
production_governed_vol_position_v1_2b_execution_safe_uplift,2025-09-02,300308,中际旭创,通信设备,BUY,402.9108,100,40291.08,30.218310000000002,203606.8016975,rebalance_unlocked,100.0,402.9108,100.0,402.9108,,-7.692371239448742,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,2025-09-01T15:00:00+08:00,2025-09-01T15:00:00+08:00,2025-09-01T15:00:00+08:00,2025-09-02T09:30:00+08:00,strict_t1_open_precommit,1,0,STRICT_PRECOMMIT_CAUSAL,1,strict_precommit_no_intraday_guard,0,,,,,,,,,,,0,,0,0
