名称,SinaApp,,现价,5日移动均线,10日移动均线,20日移动均线,市盈增长比率,公允价值,公允价值上行边际,公允价值不确定性,贝塔(5年),价格动能评分,现金流评分,财务成长稳健度评分,盈利评分,atr_14d,交易量(仅交易日),流通股份,市值(经调整),预期净利润增长率,毛利率,税前利润率,1周价格总回报,年初至今的价格总回报,市盈率(经调整),technical_signal_1d,technical_signal_1w,EV/EBITDA增长率,PEGY比率,每股股息(不包括特别股息及未就拆股调整)
奥飞娱乐,#N/A,2292,9.77,9.878,9.835,9.641,0.104593852,6.2162,-0.3637,高,-,2.8931625,3.133835,2.681791667,1.513504167,0.2829,77141230,1478699697,14506044027,1.676035639,0.391815,-0.094223879,-0.028712871,0.134104046,-316.6022594,强力买入,买入,0.519374974,0.104593852,-
信立泰,#N/A,2294,53.54,51.104,51.027,49.7455,16.75937161,37.1516,-0.3061,最低,0.460972,3.5237625,3.4412975,2.570104167,3.049904167,2.2586,8761628,1114816535,56131012537,0.072195943,0.740654,0.159070686,-0.051610473,0.649076644,84.10649065,强力买入,强力买入,5.575920936,14.40891201,0.5
*ST云网,#N/A,2306,1.88,1.906,1.915,1.872,-1.437534685,2.0674,0.0997,中性,0.314187,1.438020833,1.589616667,2.553927083,1.306454348,0.0629,20352020,869762500,1626455875,NM,0.068913,-0.115001366,-0.031088083,-0.350694444,-123.9096875,强力卖出,强力卖出,NM-,-1.437534685,-
海大集团,#N/A,2311,60.77,61.408,60.671,59.223,0.622244114,83.4223,0.3728,中性,0.536573,3.290270833,2.9911775,3.877154167,3.581433333,1.7221,7392752,1656970309,1.01904E+11,0.145871476,0.11553,0.0485859,-0.011095031,0.277606125,19.54624133,强力买入,强力买入,0.340814802,0.589917081,1.1
海峡股份,#N/A,2320,8.31,8.378,8.372,8.1175,-2.039542336,10.0319,0.2072,中性,-,3.4881375,3.359415,2.774145652,3.751170833,0.275,50084800,2228933187,18633881443,0.623862225,0.367167,0.259448054,0.006016847,0.285018435,128.2324324,强力买入,强力买入,0.255810331,-2.055049952,0.04
永太科技,#N/A,2326,15.34,15.218,15.338,14.486,-1.055283227,11.7541,-0.2338,中性,1.105056,2.894433333,1.4766275,1.90033125,0.62613125,0.6843,32526370,913760795,13806925612,0.384771517,0.107226,-0.120544655,-0.023270847,0.6901566,-31.70512374,强力买入,强力买入,NM-,-1.055283227,0
慈文传媒,2343,2343,8.49,8.538,8.745,8.452,0.630278816,7.7869,-0.0828,中性,0.988708,2.668,1.58283,2.263991667,2.4306375,0.4186,29238700,601572239,4975002416,4.777509009,0.131022,0.082127617,-0.077008929,0.333870968,130.8515875,中性,强力买入,4.511954972,0.630278816,-
泰尔股份,#N/A,2347,7.21,7.354,7.376,7.3215,6.460903366,6.0117,-0.1662,中性,0.325478,2.1932,1.909635,2.218995833,1.477827083,0.1986,18091300,504702276,3608621273,2.515082497,0.167417,0.016072242,-0.038978495,0.063761332,-226.4617772,强力卖出,中性,NM-,6.44437826,0.02
杰瑞股份,#N/A,2353,47.2,47.724,46.873,45.521,1.523883422,51.3557,0.088,中性,1.065292,3.775554167,3.5152475,3.355020833,3.418464583,1.5014,7827022,1020762177,48424957676,0.139116941,0.322264,0.221759383,-0.00960334,0.308869557,17.49469766,强力买入,强力买入,0.63733402,1.229214553,0.49
兴民智通,2355,2355,6.21,6.434,6.538,6.505,0.063680551,5.852,-0.0577,中性,-0.041237,1.6029875,2.02772,2.708216667,1.88414375,0.1729,27858000,620570400,3816507960,NM,-0.066039,0.63904764,-0.073795181,-0.034536892,-14.17406587,强力卖出,强力卖出,NM-,0.063680551,-
森源电气,2358,2358,5.34,5.474,5.472,5.3865,31.14205571,4.8454,-0.0926,中性,0.765832,2.46445,2.14307,3.521758333,2.446695833,0.145,24032710,929756977,4964902257,-0.083559141,0.276841,0.038557005,-0.029090909,0.165325878,50.88807389,中性,强力买入,0.086122914,25.57723814,0.02
卓翼科技,#N/A,2369,11.33,11.478,10.73,9.944,-0.622783536,8.1657,-0.2793,中性,0.37457,3.484183333,1.040655,1.810285417,0.899241667,0.6579,89811650,566956280,6315892959,NM,0.024738,-0.13692457,-0.023663453,0.751572327,-37.60873976,强力买入,强力买入,NM-,-0.622783536,-
星网锐捷,#N/A,2396,35.74,33.296,32.611,30.642,0.959809751,38.4736,0.0765,中性,-,3.666920833,2.75182,2.811245833,2.989008333,1.6279,25929120,585695098,19368936890,0.510055212,0.325553,0.051765622,-0.025346301,0.764117902,38.65645614,强力买入,强力买入,1.519422775,0.942460819,0.25
杭氧股份,#N/A,2430,24.1,24.37,24.011,23.3905,-1.755664101,26.5935,0.1035,最低,0.334806,3.086745833,2.54188,2.427358333,3.048829167,0.7393,12399400,978351223,23998955500,0.215354908,0.20558,0.09320533,0.024217119,0.14204893,24.50424795,强力买入,强力买入,12.43097728,-1.921450575,0.3
启明星辰,#N/A,2439,16.93,17.16,16.971,16.7465,1.118832446,14.7239,-0.1303,中性,-,1.837554167,2.5390175,1.239415217,1.763410417,0.4743,34772190,1203798896,20512733187,0.64739683,0.597498,-0.058518,-0.00525394,0.077117573,-98.51642858,强力买入,强力买入,NM-,1.118832446,0
中南文化,2445,2445,2.62,2.6,2.588,2.508,7.11%,2.1305,-18.68%,中性,0.928325,2.706891667,2.2994125,3.020435417,2.345935417,0.0964,65537770,2376607531,6060349204,119.46%,17.89%,11.27%,-3.04%,4.08%,85.78765964,强力买入,强力买入,0.79660154,0.071123732,-
中原内配,#N/A,2448,10.83,10.184,10.022,9.6355,-0.993064036,12.3087,0.1365,最低,0.452626,4.069083333,2.148105,2.976552083,3.010579167,0.4321,64965420,588409646,6266562729,0.246059982,0.25018,0.092623601,0.053412463,0.727924478,20.2923741,强力买入,强力买入,1.168756041,-1.038461591,0.13
益生股份,2458,2458,8.86,8.998,9.034,9.08,0.197271817,10.2608,0.1581,最低,1.054,1.910604167,2.59105,2.5773875,2.818816667,0.1993,8387291,1085199815,9582314366,0.198763392,0.224861,0.104163125,-0.023230088,-0.059326431,29.92680788,强力卖出,中性,0.024965378,0.19143342,0.2
赣锋锂业,2460,2460,40.67,38.978,38.824,38.244,368.11%,33.4167,-17.83%,中性,0.698576,2.579258333,1.53361,1.1014875,1.184983333,1.2614,73572320,2002356118,75457881237,125.27%,8.43%,-12.63%,1.68%,14.53%,-52.22649362,强力买入,强力买入,1.457970637,3.807534392,0.15
天齐锂业,#N/A,2466,43.86,43.456,43.44,42.571,0.112423179,60.37,0.3764,中性,0.85567,2.6871375,2.8787825,1.67953125,2.911766667,1.5129,69905160,1639441217,70959348274,1.143757229,0.397794,0.221705509,0.002737226,0.332121212,-12.58500626,强力买入,强力买入,0.044217111,0.112423179,0
立讯精密,2475,2475,45.27,45.122,42.924,40.161,107.36%,58.2497,28.67%,中性,0.998527,3.436925,2.4456075,3.121920833,3.38543125,1.9193,173029400,7252015767,3.33448E+11,11.86%,10.08%,6.24%,7.05%,13.44%,22.48701737,强力买入,强力买入,0.7254005,1.051444161,0.1999
雅化集团,#N/A,2497,13.97,14.044,14.089,14.13,0.40414801,15.5684,0.1144,中性,0.702503,2.2352375,2.70245,2.221325,2.02395,0.4143,38885900,1143312720,16017811207,2.377127098,0.153142,0.052544087,-0.019594122,0.201663385,80.65654288,中性,强力买入,0.253292217,0.403298588,0.04
金财互联,#N/A,2530,11.87,10.826,10.652,10.4095,42.81590102,8.1713,-0.3116,中性,0.544918,3.6720875,2.872905,3.1999125,1.765191667,0.3807,121980800,779198175,9116618647,8.284187143,0.271442,0.033038005,0.106906339,0.24335813,7034.652619,强力买入,强力买入,0.403274412,42.81590102,-
东方铁塔,2545,2545,10.52,10.032,9.913,9.8955,-446.09%,11.7544,11.73%,中性,0.62052,3.5447375,3.5389375,2.814802083,3.02320625,0.3379,26974680,1244062083,12639670763,135.35%,29.43%,17.89%,2.94%,49.14%,20.8998618,强力买入,强力买入,0.483353959,-11.98244697,0.3
金新农,#N/A,2548,4.39,4.314,4.253,4.171,0.628733606,4.1763,-0.0487,中性,-,2.271958333,2.0673425,3.2101125,1.726252083,0.13,26222200,805093658,3397495236,-0.933232318,0.099832,0.01204519,-0.02764977,0.062972292,474.3603472,强力买入,强力买入,0.009858647,0.628733606,-
凯美特气,#N/A,2549,16.74,15.976,16.206,14.838,1.039056746,11.8551,-0.2918,中性,0.27835,3.569895833,2.6341275,2.01341875,1.8655875,1.2421,114401800,695347901,11111659457,3.062245057,0.277597,0.099231259,0.003768844,1.60685155,207.1937397,强力买入,强力买入,0.084323095,1.039056746,-
三七互娱,#N/A,2555,19.65,19.125820143933,18.1878201439654,17.534827338225,3.143368104,25.8401,0.315,最低,0.959253,3.610758333,3.3087275,1.891441667,4.126058696,0.6493,101634500,2199698134,43312056258,0.039647522,0.771038,0.193505098,0.125200678,0.304653759,15.62805734,强力买入,强力买入,NM-,1.732343934,0
亚威股份,#N/A,2559,10.67,10.37,10.341,10.1855,-3.563827088,9.1589,-0.1416,最低,0.356406,3.314845833,2.30595,1.914820833,1.974822917,0.2829,42557470,543558024,5750843893,1.718988485,0.220009,0.020689176,0.026188167,0.188813646,57.11634916,强力买入,强力买入,NM-,-3.67567686,0.075
清新环境,#N/A,2573,4.1,4.092,4.059,4.0545,0.024476717,4.4668,0.0895,最低,0.467844,2.1636375,2.1494325,1.821360417,1.36361875,0.0829,20337600,1415267079,5774289682,3.546757656,0.154671,-0.045481735,-0.002444988,0.025125628,-12.26358213,强力买入,强力买入,NM-,0.024476717,0
领益智造,#N/A,2600,15.67,15.012,13.602,11.6645,-17.49702803,13.3902,-0.1455,中性,0.885616,4.548791667,2.4604625,2.509972917,3.248375,0.9843,642070300,6995791186,1.08715E+11,0.304254546,0.144635,0.049844897,0.146017699,0.947249389,50.75255011,强力买入,强力买入,1.360532838,-19.36318717,0.02
龙佰集团,#N/A,2601,18.82,18.7,18.312,17.889,-0.478321867,23.792,0.2642,最低,1.301914,2.880620833,2.2623925,2.047704167,2.9518,0.5193,32748460,2350249239,43691133353,0.294392226,0.225569,0.091344198,-0.002147075,0.0843376,23.17689484,强力买入,强力买入,3.68632577,-0.52226639,0
世纪华通,2602,2602,15.59,14.58,14.112,14.006,34.52%,16.185,3.82%,中性,0.525773,4.580104167,3.324715,3.498608333,3.511520833,0.5379,162221100,7354142848,1.1421E+11,140.44%,67.27%,8.64%,11.41%,202.14%,32.50099902,强力买入,强力买入,0.279839916,0.345196599,-
亚玛顿,#N/A,2623,21.37,21.742,22.148,21.739,0.111249866,20.7545,-0.0288,中性,0.085419,1.8144875,2.467565,1.547716667,1.470747917,0.9221,5597301,193062513,4058174023,3.997484212,0.041078,-0.049318974,-0.078070175,0.409813764,-30.18645662,强力卖出,强力买入,NM-,0.112229184,0.5
成都路桥,2628,2628,4.94,5.034,5.119,5.079,0.024496714,3.2015,-0.3519,高,-0.123711,2.275579167,1.203445,1.116427083,0.99555,0.1757,23862900,757100415,3687079021,NM,0.051816,-0.13639937,-0.058027079,0.075055188,-62.45059184,强力卖出,买入,NM-,0.024496714,0
ST仁智,#N/A,2629,7.54,6.936,7.017,7.2325,0.931319151,4.7259,-0.3732,中性,0.812469,3.2419,1.3557875,3.513295833,2.40459375,0.3329,12821600,426098000,2918771300,-1.565403785,0.137392,0.076725786,-0.015804598,0.611764706,148.8699955,强力买入,强力买入,NM-,0.931319151,-
青青稞酒,2646,2646,10.17,10.24,10.268,10.132,-4.350727372,10.0998,-0.0069,中性,1.081001,2.1829625,2.5282375,2.05711875,1.437802083,0.2686,10938610,482002974,4906790275,0.234118292,0.593713,0.033011374,-0.027698185,-0.051916152,524.582396,中性,强力买入,49.94364052,-4.463208885,0.13
利君股份,#N/A,2651,14.53,14.604,14.431,13.975,0.419091688,9.9853,-0.3128,高,-,3.941795833,3.6160925,1.75596087,2.315627083,1.0286,81063180,1033460000,15501900000,0.381269453,0.378678,0.14472007,-0.018966645,1.057070802,158.0129631,买入,强力买入,NM-,0.418640457,0.06
万润科技,#N/A,2654,13.99,13.002,12.794,12.3635,-7.959284621,9.9913,-0.2858,中性,0.14482,2.8108625,1.3792475,2.406135417,2.312810417,0.5007,40505360,845302544,10752248359,0.927008466,0.092242,0.006794609,-0.030487805,0.048639736,1793.671626,强力买入,强力买入,NM-,-7.959284621,-
共达电声,#N/A,2655,14.47,14.468,14.419,13.974,1.97043001,12.459,-0.139,中性,-,2.7213125,1.7040975,2.69860625,3.36165,0.435,15007300,360000000,5184000000,0.229227108,0.277898,0.081406308,0.002785515,0.133839465,47.57663031,强力买入,强力买入,1.900958301,1.956979736,0.03
茂硕电源,2660,2660,10.21,9.926,10.09,9.8635,-360.56%,7.6851,-24.73%,最低,0.472754,2.440504167,3.0801625,1.95283125,2.0331625,0.3743,11926710,356626019,3519898807,47.33%,21.89%,2.64%,-2.47%,-3.32%,73.0022641,强力买入,强力买入,NM-,-3.828644009,0.1
康达新材,2669,2669,15.46,13.968,14.143,14.136,1.70%,11.4208,-26.13%,中性,0.752086,2.881133333,1.82308,1.905564583,1.0093625,0.6221,33548850,302027700,4243489185,140.30%,15.39%,-7.40%,-1.06%,45.90%,-36.52929897,强力买入,强力买入,0.825413647,0.016968319,0
浙江美大,2677,2677,6.9,7.002,7.024,7.032,-1.190256516,5.722,-0.1707,最低,0.502209,1.54015,3.8267975,1.082915217,2.8335125,0.115,5336540,646051647,4431914298,-0.348110102,0.382713,0.062569331,-0.031073446,-0.026453224,99.83301223,强力卖出,强力卖出,NM-,-1.249865968,0.3
木林森,#N/A,2745,9.05,9.346,9.189,8.8835,-1.082605936,11.5415,0.2753,中性,-,2.249908333,2.7460075,2.172766667,2.488691667,0.3293,31822160,1484166399,13520755894,0.490736265,0.27224,0.031425478,-0.025668449,0.051287112,77.66774262,买入,强力买入,7.58050788,-1.311056516,0.338
埃斯顿,#N/A,2747,23.63,24.264,24.263,23.833,0.01251169,16.9087,-0.2844,中性,0.965144,2.726670833,1.3724125,1.170725,0.868675,0.8121,33577650,871018453,20834761395,1.123389077,0.276301,-0.180132614,-0.034315704,0.292972973,-45.01990161,中性,强力买入,NM-,0.01251169,0
永兴特钢,#N/A,2756,35.08,35.222,35.182,35.591,-0.394828409,44.89,0.2796,中性,0.895925,1.885941667,3.72931,1.593291667,3.092602083,0.9136,10730640,529868792,18624888038,-0.164326404,0.163817,0.117415478,-0.013194834,-0.053342086,35.13124484,强力卖出,中性,0.105980353,-0.450079614,0
永和智控,#N/A,2795,4.95,4.972,5.045,5.3475,0.089455689,4.3156,-0.1282,中性,0.233676,1.245445833,1.1567875,0.802625,0.461683333,0.1636,19650030,445754078,2166364819,NM,0.073731,-0.470475006,-0.04518664,0.191176471,-11.74501091,强力卖出,强力卖出,NM-,0.089455689,-
创新股份,#N/A,2812,32.6,31.814,31.849,31.4015,0.193950077,31.3801,-0.0374,中性,0.728031,1.9605625,1.51545,1.3479125,1.219179167,0.9786,42808770,962246961,31080576840,1.41882558,0.045192,-0.105980284,0.001861042,0.009690528,-30.67363887,强力买入,强力买入,NM-,0.193950077,0
凯莱英,2821,2821,110.78,105.4,105.742,105.958,-3508.95%,122.9899,11.02%,最低,0.26755,2.486766667,3.426445,1.610504348,2.715645833,4.4121,11868670,359151020,37754331456,25.44%,42.23%,19.69%,-3.32%,42.35%,38.15831302,强力买入,强力买入,1.215430985,NM,1.1
泰嘉股份,#N/A,2843,24.39,25.576,25.605,24.786,-2.355669084,22.0529,-0.0958,中性,-0.268041,2.886425,2.513185,1.54544375,2.1130625,1.2921,19966760,251737562,6182674522,2.08050825,0.16521,0.032794701,-0.075301205,0.157239743,109.7220174,卖出,强力买入,2.600405326,-2.369130211,0.1
宇环数控,2903,2903,22.92,22.912,22.643,22.2335,-852.45%,21.0064,-8.35%,中性,0.161021,3.0633875,1.483444118,1.69526,1.560025,0.9571,6295903,155805000,3497822250,544.31%,32.70%,2.05%,-0.40%,38.71%,2108.139252,强力买入,强力买入,NM-,-8.559625612,0.08
德生科技,#N/A,2908,11.46,11.782,11.802,11.6955,-5.077783904,14.428,0.259,中性,0.804614,2.338416667,3.2988125,1.567502083,2.465504167,0.4229,14471010,428286716,4925297234,17.84415637,0.418438,0.041560757,-0.039264829,0.319783178,251.9128722,卖出,强力买入,NM-,-5.112814365,0.05
集泰股份,#N/A,2909,7.13,7.212,7.136,6.799,-85.18318783,5.7102,-0.1991,中性,-0.310751,3.033816667,2.3417825,2.000189583,1.895889583,0.3386,33765040,386122917,2733750252,-0.132608394,0.251264,0.000254395,0.008547009,0.449583264,807.6105402,强力买入,强力买入,22.78894056,NM,0.1
明德生物,#N/A,2932,19.69,20.678,20.885,21.3295,3.698425304,21.1186,0.0726,最低,0.275895,1.799166667,2.183685,1.4069,1.7260125,0.6079,3561189,219486216,4348021938,NM,0.332004,-0.015807696,-0.079888528,0.141913736,15.92063534,强力卖出,卖出,NM-,3.01928292,0.12
郑州银行,#N/A,2936,2.06,2.094,2.091,2.0905,0.240982835,2.3422,0.137,中性,0.283356,2.505616667,1.021135294,1.90839,1.5032975,0.0386,191556900,9092091358,17233912273,6.143768064,-,,-0.023474178,-0.000519481,12.04914174,强力卖出,卖出,NM-,0.236435989,0.02
昂利康,#N/A,2940,49,51.494,51.42,53.4825,-3.311424457,29.1796,-0.4045,中性,0.861561,3.084675,2.364845,1.399645833,2.464470833,3.5293,7938625,196888186,9730214152,0.111542498,0.386563,0.09144581,-0.111470694,2.760973491,181.1623879,强力卖出,强力买入,7.053817834,-3.330928023,0.125
湖南宇晶机器股份有限公司,#N/A,2943,38.2,36.094,35.328,33.5135,0.035923726,31.98,-0.1628,中性,0.302405,4.277045833,1.1277775,1.127914583,0.573835417,1.7243,6475071,203828602,7562041134,3.418007703,0.012217,-0.612039984,0.097633136,0.869959677,-28.98471525,强力买入,强力买入,NM-,0.035923726,0
奥美医疗,#N/A,2950,10.47,10.078,9.898,9.7965,0.097553133,13.6025,0.2992,中性,-,2.978245833,3.3320275,2.439341667,3.117895833,0.3636,24721340,618757897,6169016233,0.337838753,0.283798,0.137465547,0.031023785,0.150176991,17.19125408,强力买入,强力买入,0.566684569,0.097232407,0.06
小熊电器,#N/A,2959,55.48,52.798,51.967,50.702,-0.853110457,62.4583,0.1258,最低,0.284241,2.905433333,3.0106125,2.05331087,3.259641667,2.02,7679290,154902274,8126173294,0.264822719,0.346607,0.067049669,0.013719807,0.118471983,31.89748764,强力买入,强力买入,1.682308131,-0.89732739,1
祥鑫科技,#N/A,2965,43.31,44.654,45.929,44.611,-1.062472055,46.376,0.0708,中性,0.012763,2.8281375,2.9937925,3.328623913,2.768758333,2.3793,18736930,265380359,11634274938,0.278371174,0.128902,0.052558829,-0.063247863,0.681396408,41.22937855,强力卖出,强力买入,0.44565042,-1.098614686,0.535
科安达,#N/A,2972,12.73,13.152,13.486,13.448,7.934516433,12.1963,-0.0419,最低,0.554737,1.848475,3.860265,2.554367391,3.333,0.4964,4749763,244842100,3114391512,0.51425052,0.569597,0.314643044,-0.0605613,0.24097561,37.36429532,强力卖出,买入,NM-,3.958158188,0.3
北摩高科,#N/A,2985,29.7,29.874,29.793,30.166,28.03223018,24.2824,-0.1824,中性,0.544918,2.1768,3.2781325,1.496719565,1.800166667,0.7907,5082852,331853600,9922422640,19.89547009,0.475085,-0.031689864,-0.003001,0.273351371,-5262.874192,卖出,强力买入,NM-,28.35024027,0.07
中岩大地,#N/A,3001,26.33,27.14,27.619,28.26,0.562329589,24.8812,-0.055,中性,0.329256,2.0094625,2.92662,2.469910526,2.748595833,0.6986,3291907,172868148,4527416796,1.355278246,0.262221,0.096896502,-0.069626998,-0.197112198,66.15883219,强力卖出,强力卖出,NM-,0.557219876,0.2815
思进智能,#N/A,3025,14.19,14.812,14.98,14.841,0.286489452,15.2476,0.0745,最低,0.489318,2.539045833,3.92358,3.296615625,3.8015,0.5143,7119646,283953558,4054856808,0.525969138,0.371008,0.343105988,-0.059907834,0.232708114,31.11465538,强力卖出,买入,2.112493223,0.280778967,0.22
华安创业板50ETF,#N/A,159949,1.374,1.285,1.2417,1.1638,-,NM,NM,非常高,-,2.261425,-,-,-,0.0422,2360260000,-,-,-,-,-,0.060031596,0.396462019,-,强力买入,强力买入,-,-,-
特锐德,#N/A,300001,24.67,24.212,23.918,23.4535,0.332942321,24.565,-0.0043,最低,1.019145,3.132208333,2.248855,3.814933333,3.15531875,0.6636,32107600,1047332373,25628223167,0.431757029,0.259638,0.076875688,0.012412081,0.121880023,30.05011138,强力买入,强力买入,0.468909944,0.330224507,0.15
天海防务,#N/A,300008,7.41,7.354,7.449,7.3275,4.419453829,6.4772,-0.1259,最低,0.347569,3.289020833,1.655445,3.004616667,2.428475,0.2643,103547800,1728029133,12787415584,0.455316321,0.147062,0.044942579,-0.006711409,0.581196581,97.21545445,中性,强力买入,0.652542974,4.419453829,-
网宿科技,#N/A,300017,12.06,12.308,12.307,11.849,3.036403003,10.6107,-0.1202,最低,0.174275,2.8235625,3.78208,2.943729167,3.369320833,0.4757,113165600,2444069777,29719888488,-0.128712819,0.322003,0.161272615,-0.024859663,0.176763319,45.16563761,买入,强力买入,1.811657696,2.623248087,0.25
银江股份,300020,300020,3.82,4.004,4.024,4,0.009693812,4.8487,0.2693,高,0.088856,1.525945833,0.92066,0.754235417,0.50649375,0.1071,36120420,794677974,3043616640,1.261288375,-0.319451,-7.51902848,-0.063569682,0.046448087,-3.361066956,强力卖出,强力卖出,NM-,0.009693812,-
机器人,#N/A,300024,19.99,20.214,20.393,19.743,0.289724093,13.5909,-0.3201,中性,0.377025,3.162129167,1.4149425,2.147466667,0.905610417,1,62760790,1565619950,31468960995,-0.006513318,0.121582,-0.060472919,-0.035971223,0.119777159,-125.5522992,买入,强力买入,NM-,0.289724093,-
Leascend Technology Co Ltd,300051,300051,7.43,7.526,7.667,7.642,0.411521679,10.8678,0.4627,中性,0.546391,1.597345833,0.8379825,1.421566667,0.647414583,0.2229,9516200,372136690,2716597837,4.165132829,-0.197953,-0.57757075,-0.061696658,0.091180867,-26.81726898,强力卖出,中性,NM-,0.411521679,-
万邦达,#N/A,300055,6.13,6.298,6.429,6.4165,1.429807783,5.9436,-0.0304,中性,0.359351,1.768816667,2.1070175,1.582625,0.65575,0.1857,12026540,836749606,5087437604,-0.197596038,0.096957,0.011675308,-0.073170732,0.272508322,1917.803559,强力卖出,中性,5.897513411,1.426774947,0.015
三维丝,#N/A,300056,15.25,15.606,15.174,15.128,7.621512094,8.4276,-0.4474,高,0.691703,3.631729167,0.868305,1.79974375,0.705547917,0.765,26391310,385490443,5932697917,NM,0.121165,-0.357635386,0.06875,0.158885542,-54.38394195,买入,强力买入,NM-,7.621512094,-
旗天科技,300061,300061,13.65,13.326,13.361,13.0645,-63.82%,7.1476,-47.64%,非常高,-,2.6482,0.9172425,1.3373625,1.094060417,0.5829,22468030,658993677,8481248622,NM,37.29%,-43.59%,-7.08%,-0.23%,-142.7916533,强力买入,强力买入,NM-,-0.638170215,-
创世纪,#N/A,300083,10.17,10.516,10.101,9.4835,0.491678903,10.3045,0.0132,中性,0.841433,3.412220833,2.383765,2.780045833,2.456664583,0.4493,85561230,1648067589,17106941573,1.166149435,0.235183,0.085561077,-0.011428571,0.594470046,42.45902902,强力买入,强力买入,0.260859295,0.491678903,-
海默科技,300084,300084,8.27,8.402,8.401,8.4045,0.031976188,6.7196,-0.1875,中性,0.554246,2.881095833,2.466685,1.95370625,0.9764875,0.2764,40645310,510247899,4209545166,1.788060522,0.267218,-0.376889391,-0.025974026,0.533457249,-27.31346,强力卖出,买入,NM-,0.031976188,-
智飞生物,#N/A,300122,22.86,23.184,23.276,23.3525,0.59320404,21.5995,-0.0551,中性,0.719685,1.099370833,1.238065,0.56474375,1.861639583,0.8371,33333550,2393789747,53884207204,0.452695249,0.280333,-0.086664271,-0.064033264,-0.144106464,-63.50127345,卖出,中性,NM-,0.616988842,0.8
中金环境,#N/A,300145,5.09,5.078,5.13,4.85,-4.11840283,4.6135,-0.0936,中性,-,3.4190625,2.5592475,2.834885417,2.699222917,0.3836,109693000,1909036236,9507000455,0.407094754,0.340924,0.058346406,-0.005988024,0.342318059,39.90548459,强力买入,强力买入,NM-,-4.11840283,-
汤臣倍健,#N/A,300146,12.19,12.356,12.374,12.2585,-0.75487829,14.7884,0.2132,最低,0.553264,1.926358333,3.6841625,1.030958333,2.675833333,0.2307,19257620,1679889244,20595442131,0.258360072,0.657005,0.132206397,-0.017628205,0.050544371,52.28482403,卖出,买入,NM-,-0.797658156,0.36
睿智医药,#N/A,300149,13.15,12.766,13.045,12.9665,-0.405982298,12.5811,-0.0433,高,1.044182,2.710016667,2.438515,2.073189583,0.995020833,0.6621,30115780,497963992,6339081618,10.71633265,0.233043,-0.195491685,-0.051415797,0.982866044,-69.37776192,强力买入,强力买入,NM-,-0.405982298,-
东方国信,#N/A,300166,11.81,12.318,12.375,12.0715,-68.02473437,10.3106,-0.127,中性,0.361315,2.617583333,2.3097375,1.9499625,1.521979167,0.5543,74919330,1138745748,13642174061,-3.020215591,0.292686,0.005518818,-0.043894653,0.274468085,-660.3252439,卖出,强力买入,NM-,-68.02473437,-
中电环保,#N/A,300172,5.47,5.598,5.641,5.6395,1.878057018,5.1159,-0.0647,最低,0.129602,1.971366667,3.87126,2.41624375,2.687016667,0.1229,18391820,676710000,3674535300,-0.066880953,0.267056,0.108976152,-0.050699301,0.085914663,45.1709343,强力卖出,中性,NM-,1.81348251,0.05
朗源股份,#N/A,300175,5.91,5.848,5.801,5.479,5.432080515,3.8747,-0.3444,中性,0.358861,3.008354167,1.635142105,1.674604167,0.5345125,0.24,8536400,470800000,2744764000,NM,0.084899,-0.1961696,-0.005119454,0.05615942,-58.39070636,强力买入,强力买入,NM-,5.432080515,-
华峰超纤,300180,300180,8.74,8.85,8.861,8.6965,0.879941081,6.2163,-0.2888,中性,0.568483,3.226833333,3.1198075,3.236414583,2.155572917,0.3279,111007600,1761060155,15514939965,-0.748332424,0.152323,0.024850401,-0.031868132,0.399115772,112.107442,中性,买入,NM-,0.879629698,0.005
纳川股份,#N/A,300198,2.41,2.436,2.409,2.3975,-0.198600558,1.5499,-0.3569,高,0.458026,2.110154167,1.48256,2.078816667,0.655779167,0.0721,21964400,1031548540,2496347466,NM,0.173709,-2.433148072,0.012552301,0.152380952,-16.35719328,卖出,中性,NM-,-0.198600558,-
易华录,300212,300212,23.44,24.284,24.231,23.6675,0.196437249,19.1472,-0.1831,高,1.530191,1.821958333,0.675635,1.1985375,0.283495833,0.8543,24676490,719892422,16996660083,1.082723602,-0.112373,-5.865077527,-0.049899396,0.008974359,-8.682907699,卖出,中性,NM-,0.196437249,-
银禧科技,#N/A,300221,9.93,9.714,9.85,9.698,0.673988176,8.0167,-0.1927,中性,0.812469,2.942045833,2.1936025,3.127322917,2.573379167,0.4243,19079200,479538185,4546021993,0.576455404,0.177136,0.033877929,-0.039513678,0.623287671,54.47667458,强力买入,强力买入,0.517209211,0.673988176,-
北京君正,#N/A,300223,78.9,76.2,74.673,71.568,-3.739891041,74.1224,-0.0606,中性,-,2.31805,4.0666275,2.530608696,2.528164583,3.2314,19472010,482540723,36277411555,0.889384555,0.344819,0.095854955,-0.004370282,0.104024838,107.0987434,强力买入,强力买入,NM-,-3.757302628,0.0998
瑞丰高材,300243,300243,11.23,11.062,11.194,11.201,-206.40%,9.419,-16.13%,中性,0.828178,2.002141667,2.071485,2.001429167,2.167572917,0.3371,9029100,250426501,2742170185,49.80%,13.90%,1.34%,-1.88%,15.54%,101.1068262,强力买入,强力买入,NM-,-2.076591339,0.05
