order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
323,2025-03-24,2,2025-03-21,002553,BUY,TARGET_REBALANCE,25.88,26.1741,1600,41878.6368,470.6368,31.408978,0.0,0.0,31.408978,-41910.05,319102.89,277192.84,0,1600,128586.0,169994.0,447688.89,447186.84,True,0.4,c0.00075_s0.001
324,2025-04-01,1,2025-03-31,601899,SELL,HOLD_EXPIRY,18.2,18.5892,1500,27883.7883,583.7883,20.912841,0.0,0.0,20.912841,27862.88,277192.84,305055.72,1500,0,155672.0,128372.0,432864.84,433427.72,True,0.4,c0.00075_s0.001
325,2025-04-01,2,2025-03-31,600418,BUY,TARGET_REBALANCE,35.6,35.6356,1000,35635.6,35.6,26.7267,0.0,0.0,26.7267,-35662.33,305055.72,269393.39,0,1000,128372.0,163972.0,433427.72,433365.39,True,0.4,c0.00075_s0.001
326,2025-04-03,1,2025-04-02,000333,SELL,HOLD_EXPIRY,74.6,78.6175,500,39308.7519,2008.7519,29.481564,0.0,0.0,29.481564,39279.27,269393.39,308672.66,500,0,158296.0,120996.0,427689.39,429668.66,True,0.4,c0.00075_s0.001
327,2025-04-03,2,2025-04-02,300760,BUY,TARGET_REBALANCE,228.0,235.3836,100,23538.3648,738.3648,17.653774,0.0,0.0,17.653774,-23556.02,308672.66,285116.64,0,100,120996.0,143796.0,429668.66,428912.64,True,0.4,c0.00075_s0.001
328,2025-04-07,1,2025-04-03,300100,SELL,HOLD_EXPIRY,56.65,79.5019,400,31800.7674,9140.7674,23.850576,0.0,0.0,23.850576,31776.92,285116.64,316893.56,400,0,130941.0,108281.0,416057.64,425174.56,True,0.4,c0.00075_s0.001
329,2025-04-07,2,2025-04-03,600797,SELL,HOLD_EXPIRY,9.45,9.4405,2700,25489.485,25.515,19.117114,0.0,0.0,19.117114,25470.37,316893.56,342363.93,2700,0,108281.0,82766.0,425174.56,425129.93,True,0.4,c0.00075_s0.001
330,2025-04-07,3,2025-04-03,002475,BUY,TARGET_REBALANCE,31.88,32.1921,600,19315.2359,187.2359,14.486427,0.0,0.0,14.486427,-19329.72,342363.93,323034.21,0,600,82766.0,101894.0,425129.93,424928.21,True,0.4,c0.00075_s0.001
331,2025-04-07,4,2025-04-03,601288,BUY,TARGET_REBALANCE,5.16,5.4621,12000,65544.6792,3624.6792,49.158509,0.0,0.0,49.158509,-65593.84,323034.21,257440.37,0,12000,101894.0,163814.0,424928.21,421254.37,True,0.4,c0.00075_s0.001
332,2025-04-08,1,2025-04-07,002553,SELL,HOLD_EXPIRY,15.82,15.9678,1600,25548.5059,236.5059,19.161379,0.0,0.0,19.161379,25529.34,257440.37,282969.71,1600,0,155328.0,130016.0,412768.37,412985.71,True,0.4,c0.00075_s0.001
333,2025-04-10,1,2025-04-09,603501,BUY,TARGET_REBALANCE,123.72,124.6218,200,24924.3595,180.3595,18.69327,0.0,0.0,18.69327,-24943.05,282969.71,258026.66,0,200,133460.0,158204.0,416429.71,416230.66,True,0.4,c0.00075_s0.001
334,2025-04-16,1,2025-04-15,600418,SELL,HOLD_EXPIRY,33.99,33.956,1000,33956.01,33.99,25.467008,0.0,0.0,25.467008,33930.54,258026.66,291957.2,1000,0,162118.0,128128.0,420144.66,420085.2,True,0.4,c0.00075_s0.001
335,2025-04-16,2,2025-04-15,600171,BUY,TARGET_REBALANCE,36.5,36.8936,1000,36893.5567,393.5567,27.670168,0.0,0.0,27.670168,-36921.23,291957.2,255035.98,0,1000,128128.0,164628.0,420085.2,419663.98,True,0.4,c0.00075_s0.001
336,2025-04-18,1,2025-04-17,300760,SELL,HOLD_EXPIRY,221.27,227.9793,100,22797.9293,670.9293,17.098447,0.0,0.0,17.098447,22780.83,255035.98,277816.81,100,0,166201.0,144074.0,421236.98,421890.81,True,0.4,c0.00075_s0.001
337,2025-04-18,2,2025-04-17,002155,BUY,TARGET_REBALANCE,24.33,32.3776,600,19426.5872,4828.5872,14.56994,0.0,0.0,14.56994,-19441.16,277816.81,258375.65,0,600,144074.0,158672.0,421890.81,417047.65,True,0.4,c0.00075_s0.001
338,2025-04-21,1,2025-04-18,002475,SELL,HOLD_EXPIRY,29.99,30.223,600,18133.828,139.828,13.600371,0.0,0.0,13.600371,18120.23,258375.65,276495.88,600,0,158354.0,140360.0,416729.65,416855.88,True,0.4,c0.00075_s0.001
339,2025-04-21,2,2025-04-18,601288,SELL,HOLD_EXPIRY,5.41,5.7153,12000,68583.348,3663.348,51.437511,0.0,0.0,51.437511,68531.91,276495.88,345027.79,12000,0,140360.0,75440.0,416855.88,420467.79,True,0.4,c0.00075_s0.001
340,2025-04-21,3,2025-04-18,002261,BUY,TARGET_REBALANCE,29.05,29.079,1400,40710.67,40.67,30.533002,0.0,0.0,30.533002,-40741.2,345027.79,304286.59,0,1400,75440.0,116110.0,420467.79,420396.59,True,0.4,c0.00075_s0.001
341,2025-04-21,4,2025-04-18,600988,BUY,TARGET_REBALANCE,29.32,29.7853,1500,44677.8832,697.8832,33.508412,0.0,0.0,33.508412,-44711.39,304286.59,259575.19,0,1500,116110.0,160090.0,420396.59,419665.19,True,0.4,c0.00075_s0.001
342,2025-04-24,1,2025-04-23,603501,SELL,HOLD_EXPIRY,123.88,124.5336,200,24906.7283,130.7283,18.680046,0.0,0.0,18.680046,24888.05,259575.19,284463.24,200,0,159744.0,134968.0,419319.19,419431.24,True,0.4,c0.00075_s0.001
343,2025-04-24,2,2025-04-23,300773,BUY,TARGET_REBALANCE,27.38,27.867,1000,27867.0392,487.0392,20.900279,0.0,0.0,20.900279,-27887.94,284463.24,256575.3,0,1000,134968.0,162348.0,419431.24,418923.3,True,0.4,c0.00075_s0.001
344,2025-04-30,1,2025-04-29,600171,SELL,HOLD_EXPIRY,35.09,35.3975,1000,35397.4671,307.4671,26.5481,0.0,0.0,26.5481,35370.92,256575.3,291946.22,1000,0,154596.0,119506.0,411171.3,411452.22,True,0.4,c0.00075_s0.001
345,2025-04-30,2,2025-04-29,300766,BUY,TARGET_REBALANCE,38.8,38.8388,1000,38838.8,38.8,29.1291,0.0,0.0,29.1291,-38867.93,291946.22,253078.29,0,1000,119506.0,158306.0,411452.22,411384.29,True,0.4,c0.00075_s0.001
346,2025-05-07,1,2025-05-06,002155,SELL,HOLD_EXPIRY,23.4,31.0778,600,18646.6747,4606.6747,13.985006,0.0,0.0,13.985006,18632.69,253078.29,271710.98,600,0,168765.0,154725.0,421843.29,426435.98,True,0.4,c0.00075_s0.001
