symbol,name,industry,closed_trades,wins,net_pnl,avg_net_return,win_rate,positive_profit_share
600845,宝信软件,软件服务,1,0,-1936.502895000002,-0.038534924748060806,0.0,0.0
601689,拓普集团,汽车配件,1,0,-1986.8940000000011,-0.06719744318181822,0.0,0.0
600276,恒瑞医药,化学制药,1,0,-2005.6158149999992,-0.055628555702034524,0.0,0.0
688165,埃夫特-U,专用机械,1,0,-2114.175,-0.20135000000000003,0.0,0.0
300153,科泰电源,电气设备,1,0,-2150.540000000001,-0.10039869281045756,0.0,0.0
601857,中国石油,石油开采,2,1,-2166.326377500004,0.004605810189277394,0.5,0.0
600941,中国移动,电信运营,1,0,-2173.900454999996,-0.022767391695721513,0.0,0.0
600418,江淮汽车,汽车整车,4,1,-2208.533599999988,0.0050078899369737605,0.25,0.0
688012,中微公司,半导体,2,0,-2223.8950000000095,-0.02455694971440234,0.0,0.0
600549,厦门钨业,小金属,1,0,-2256.4594999999995,-0.2787128829051383,0.0,0.0
002734,利民股份,农药化肥,1,0,-2310.108,-0.1747698592827962,0.0,0.0
300351,永贵电器,运输设备,1,0,-2320.323164999998,-0.11098068702782969,0.0,0.0
002855,捷荣技术,元器件,1,0,-2402.16875,-0.12446470207253885,0.0,0.0
300251,光线传媒,影视音像,1,0,-2492.347065000001,-0.15014717826470422,0.0,0.0
600887,伊利股份,乳制品,2,0,-2501.1465000000053,-0.014821618110146149,0.0,0.0
002456,欧菲光,元器件,1,0,-2516.2480000000023,-0.06977173913043484,0.0,0.0
601668,中国建筑,建筑工程,2,1,-2589.041799999993,-0.013746158526261572,0.5,0.0
002104,恒宝股份,通信设备,1,0,-2764.8877499999976,-0.10385725152129809,0.0,0.0
601698,中国卫通,电信运营,1,0,-2835.100000000001,-0.1143185483870968,0.0,0.0
600028,中国石化,石油加工,2,1,-2989.9803299999985,-0.014935893575670718,0.5,0.0
600988,赤峰黄金,黄金,2,0,-3048.584112500002,-0.10870958054953342,0.0,0.0
300458,全志科技,半导体,1,0,-3097.419275,-0.061548382561731306,0.0,0.0
603019,中科曙光,IT设备,1,0,-3224.2848000000035,-0.07999456164420955,0.0,0.0
600967,内蒙一机,运输设备,1,0,-3265.63425,-0.1321851548269581,0.0,0.0
603083,剑桥科技,通信设备,1,0,-3462.7910550000006,-0.23702973181099454,0.0,0.0
002916,深南电路,元器件,2,1,-3538.5207499999933,0.03416139008852554,0.5,0.0
002085,万丰奥威,汽车配件,2,1,-3555.3246199999994,-0.06640313756674533,0.5,0.0
601020,华钰矿业,铅锌,1,0,-3587.2281450000014,-0.1221045213922911,0.0,0.0
