signal_date,exit_date,role,underlying_strategy,cycle_ret,selected_count
2023-03-27,2023-04-13,balanced,baseline_full_dynamic_factor_industry_cap2,0.02781384664719622,5
2023-03-27,2023-04-13,defensive,baseline_full_liquidity_detail,0.02781384664719622,5
2023-03-27,2023-04-13,fallback,baseline_full_score,0.04219576866304799,5
2023-03-28,2023-04-14,attack,tiered_liquidity_then_bs_v2,-0.04774422321095197,5
2023-03-28,2023-04-14,balanced,baseline_full_dynamic_factor_industry_cap2,0.09538179136215108,5
2023-03-28,2023-04-14,defensive,baseline_full_liquidity_detail,-0.00478612477936251,5
2023-03-28,2023-04-14,fallback,baseline_full_score,0.024228960142942294,5
2023-03-29,2023-04-17,attack,tiered_liquidity_then_bs_v2,0.18026457608246477,5
2023-03-29,2023-04-17,balanced,baseline_full_dynamic_factor_industry_cap2,0.04968118939448976,5
2023-03-29,2023-04-17,defensive,baseline_full_liquidity_detail,-0.02692396560672991,5
2023-03-29,2023-04-17,fallback,baseline_full_score,0.11659469503546405,5
2023-03-30,2023-04-18,attack,tiered_liquidity_then_bs_v2,0.3452145790702009,5
2023-03-30,2023-04-18,balanced,baseline_full_dynamic_factor_industry_cap2,0.10846821349308534,5
2023-03-30,2023-04-18,defensive,baseline_full_liquidity_detail,0.0760439395704537,5
2023-03-30,2023-04-18,fallback,baseline_full_score,0.3346687916263759,5
2023-03-31,2023-04-19,attack,tiered_liquidity_then_bs_v2,0.037058021090052747,5
2023-03-31,2023-04-19,balanced,baseline_full_dynamic_factor_industry_cap2,0.013771015221782215,5
2023-03-31,2023-04-19,defensive,baseline_full_liquidity_detail,0.037271159015514164,5
2023-03-31,2023-04-19,fallback,baseline_full_score,0.07284834792817332,5
2023-04-03,2023-04-20,attack,tiered_liquidity_then_bs_v2,0.08487381705415925,5
2023-04-03,2023-04-20,balanced,baseline_full_dynamic_factor_industry_cap2,-0.08404138937394774,5
2023-04-03,2023-04-20,defensive,baseline_full_liquidity_detail,-0.049101363576474544,5
2023-04-03,2023-04-20,fallback,baseline_full_score,-0.03690260916794316,5
2023-04-04,2023-04-21,attack,tiered_liquidity_then_bs_v2,-0.004533955199722018,5
2023-04-04,2023-04-21,balanced,baseline_full_dynamic_factor_industry_cap2,-0.06627172919927524,5
2023-04-04,2023-04-21,defensive,baseline_full_liquidity_detail,0.03128677421285488,5
2023-04-04,2023-04-21,fallback,baseline_full_score,-0.007578790547686244,5
2023-04-06,2023-04-24,attack,tiered_liquidity_then_bs_v2,-0.1286655556813943,5
2023-04-06,2023-04-24,balanced,baseline_full_dynamic_factor_industry_cap2,0.016078209573791184,5
2023-04-06,2023-04-24,defensive,baseline_full_liquidity_detail,0.03994156399070484,5
2023-04-06,2023-04-24,fallback,baseline_full_score,-0.11408455109849419,5
2023-04-07,2023-04-25,attack,tiered_liquidity_then_bs_v2,-0.0887500746523606,5
2023-04-07,2023-04-25,balanced,baseline_full_dynamic_factor_industry_cap2,-0.09255652664294993,5
2023-04-07,2023-04-25,defensive,baseline_full_liquidity_detail,-0.009100788537563066,5
2023-04-07,2023-04-25,fallback,baseline_full_score,-0.11470506492663346,5
2023-04-10,2023-04-26,attack,tiered_liquidity_then_bs_v2,-0.07720185283012507,5
2023-04-10,2023-04-26,balanced,baseline_full_dynamic_factor_industry_cap2,-0.016251710560436394,5
2023-04-10,2023-04-26,defensive,baseline_full_liquidity_detail,0.008438923640035685,5
